# CIA Detailed Verification
# Layer Wavelength Original Reinterpolated Difference
1 668.819737 0.00000000e+00 0.00000000e+00 0.00000000e+00
1 1430.318359 0.00000000e+00 1.12862578e-48 0.00000000e+00
1 3058.837074 0.00000000e+00 2.56706680e-47 0.00000000e+00
1 6541.539643 0.00000000e+00 3.17022249e-46 0.00000000e+00
1 13989.545654 0.00000000e+00 5.27547471e-45 0.00000000e+00
25 668.819737 0.00000000e+00 0.00000000e+00 0.00000000e+00
25 1430.318359 0.00000000e+00 3.94374126e-49 0.00000000e+00
25 3058.837074 0.00000000e+00 4.06591071e-48 0.00000000e+00
25 6541.539643 0.00000000e+00 1.05512080e-46 0.00000000e+00
25 13989.545654 0.00000000e+00 4.81389881e-45 0.00000000e+00
49 668.819737 0.00000000e+00 0.00000000e+00 0.00000000e+00
49 1430.318359 0.00000000e+00 2.64693102e-49 0.00000000e+00
49 3058.837074 0.00000000e+00 7.92745611e-49 0.00000000e+00
49 6541.539643 0.00000000e+00 6.33900921e-47 0.00000000e+00
49 13989.545654 0.00000000e+00 4.63927305e-45 0.00000000e+00
73 668.819737 0.00000000e+00 0.00000000e+00 0.00000000e+00
73 1430.318359 0.00000000e+00 2.64693102e-49 0.00000000e+00
73 3058.837074 0.00000000e+00 7.92745611e-49 0.00000000e+00
73 6541.539643 0.00000000e+00 6.33900921e-47 0.00000000e+00
73 13989.545654 0.00000000e+00 4.63927305e-45 0.00000000e+00
97 668.819737 0.00000000e+00 0.00000000e+00 0.00000000e+00
97 1430.318359 0.00000000e+00 2.64693102e-49 0.00000000e+00
97 3058.837074 0.00000000e+00 7.92745611e-49 0.00000000e+00
97 6541.539643 0.00000000e+00 6.33900921e-47 0.00000000e+00
97 13989.545654 0.00000000e+00 4.63927305e-45 0.00000000e+00
