#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.0000000000e-01	3.1415926536e+02	6.4175564939e-06                 	3.5182852590e-06                 	2.8992712349e-06                 	5.4822817102e-01                 	9.4891538699e-01                 
2.0802000000e-01	3.0204717369e+02	6.4210442645e-06                 	3.5201637656e-06                 	2.9008804989e-06                 	5.4822294016e-01                 	9.4879105471e-01                 
2.1636160000e-01	2.9040205412e+02	6.4246122857e-06                 	3.5222368592e-06                 	2.9023754265e-06                 	5.4824115488e-01                 	9.4862220058e-01                 
2.2503770000e-01	2.7920589782e+02	6.4282632645e-06                 	3.5244988760e-06                 	2.9037643885e-06                 	5.4828166349e-01                 	9.4841060161e-01                 
2.3406170000e-01	2.6844141127e+02	6.4320013696e-06                 	3.5269416733e-06                 	2.9050596963e-06                 	5.4834280508e-01                 	9.4815875655e-01                 
2.4344750000e-01	2.5809200370e+02	6.4358323932e-06                 	3.5295514270e-06                 	2.9062809662e-06                 	5.4842189967e-01                 	9.4787058031e-01                 
2.5320980000e-01	2.4814147427e+02	6.4397638689e-06                 	3.5323042677e-06                 	2.9074596012e-06                 	5.4851456352e-01                 	9.4755238349e-01                 
2.6336350000e-01	2.3857464330e+02	6.4438046700e-06                 	3.5351665903e-06                 	2.9086380797e-06                 	5.4861479691e-01                 	9.4721269928e-01                 
2.7392430000e-01	2.2937670397e+02	6.4479648236e-06                 	3.5380950577e-06                 	2.9098697659e-06                 	5.4871500613e-01                 	9.4686228691e-01                 
2.8490870000e-01	2.2053329039e+02	6.4522548343e-06                 	3.5410415940e-06                 	2.9112132403e-06                 	5.4880684116e-01                 	9.4651296985e-01                 
2.9633350000e-01	2.1203088099e+02	6.4566846701e-06                 	3.5439619962e-06                 	2.9127226739e-06                 	5.4888261968e-01                 	9.4617565338e-01                 
3.0821650000e-01	2.0385622792e+02	6.4612631178e-06                 	3.5470188988e-06                 	2.9142442191e-06                 	5.4896679396e-01                 	9.4581062274e-01                 
3.2057590000e-01	1.9599680784e+02	6.4659910728e-06                 	3.5506663728e-06                 	2.9153247001e-06                 	5.4912948886e-01                 	9.4530651449e-01                 
3.3343100000e-01	1.8844034619e+02	6.4708616444e-06                 	3.5546979142e-06                 	2.9161637302e-06                 	5.4933919307e-01                 	9.4471399537e-01                 
3.4680160000e-01	1.8117521105e+02	6.4758675317e-06                 	3.5588559668e-06                 	2.9170115649e-06                 	5.4955663460e-01                 	9.4409607699e-01                 
3.6070830000e-01	1.7419020597e+02	6.4810031209e-06                 	3.5628731622e-06                 	2.9181299587e-06                 	5.4974100393e-01                 	9.4351814521e-01                 
3.7517270000e-01	1.6747448061e+02	6.4862652304e-06                 	3.5664679048e-06                 	2.9197973256e-06                 	5.4984922418e-01                 	9.4304906380e-01                 
3.9021710000e-01	1.6101768239e+02	6.4916527444e-06                 	3.5693499079e-06                 	2.9223028365e-06                 	5.4983685179e-01                 	9.4275960133e-01                 
4.0586480000e-01	1.5480981123e+02	6.4971668817e-06                 	3.5713094847e-06                 	2.9258573970e-06                 	5.4967181076e-01                 	9.4270014157e-01                 
4.2213990000e-01	1.4884130373e+02	6.5028223239e-06                 	3.5730643880e-06                 	2.9297579359e-06                 	5.4946363441e-01                 	9.4269416407e-01                 
4.3906770000e-01	1.4310288156e+02	6.5086253668e-06                 	3.5748454878e-06                 	2.9337798790e-06                 	5.4924738886e-01                 	9.4268488829e-01                 
4.5667430000e-01	1.3758569964e+02	6.5145786953e-06                 	3.5766531302e-06                 	2.9379255651e-06                 	5.4902293725e-01                 	9.4267191990e-01                 
4.7498690000e-01	1.3228123359e+02	6.5206853815e-06                 	3.5784876426e-06                 	2.9421977389e-06                 	5.4879010921e-01                 	9.4265493237e-01                 
4.9403390000e-01	1.2718125835e+02	6.5269498787e-06                 	3.5803505081e-06                 	2.9465993706e-06                 	5.4854879762e-01                 	9.4263364824e-01                 
5.1384460000e-01	1.2227792814e+02	6.5333798262e-06                 	3.5822444766e-06                 	2.9511353496e-06                 	5.4829882418e-01                 	9.4260816373e-01                 
5.3444980000e-01	1.1756361977e+02	6.5399840888e-06                 	3.5841681297e-06                 	2.9558159591e-06                 	5.4803927364e-01                 	9.4257947749e-01                 
5.5588120000e-01	1.1303108123e+02	6.5467513661e-06                 	3.5861036441e-06                 	2.9606477220e-06                 	5.4776841881e-01                 	9.4254754761e-01                 
5.7817200000e-01	1.0867328939e+02	6.5536495042e-06                 	3.5880126759e-06                 	2.9656368283e-06                 	5.4748315020e-01                 	9.4251192410e-01                 
6.0135660000e-01	1.0448351789e+02	6.5607178316e-06                 	3.5899312226e-06                 	2.9707866090e-06                 	5.4718573711e-01                 	9.4247253431e-01                 
6.2547100000e-01	1.0045526183e+02	6.5681551449e-06                 	3.5929131573e-06                 	2.9752419876e-06                 	5.4702014158e-01                 	9.4222780304e-01                 
6.5055240000e-01	9.6582309237e+01	6.5755936360e-06                 	3.5966043216e-06                 	2.9789893144e-06                 	5.4696268059e-01                 	9.4176885239e-01                 
6.7663950000e-01	9.2858683349e+01	6.5831386875e-06                 	3.6001429870e-06                 	2.9829957005e-06                 	5.4687333169e-01                 	9.4132654639e-01                 
7.0377270000e-01	8.9278616621e+01	6.5914667966e-06                 	3.6032428013e-06                 	2.9882239953e-06                 	5.4665265146e-01                 	9.4113845540e-01                 
7.3199390000e-01	8.5836580157e+01	6.5989974159e-06                 	3.6047547269e-06                 	2.9942426890e-06                 	5.4625793885e-01                 	9.4107366395e-01                 
7.6134690000e-01	8.2527233081e+01	6.6075755087e-06                 	3.6071302772e-06                 	3.0004452316e-06                 	5.4590829456e-01                 	9.4101712908e-01                 
7.9187680000e-01	7.9345490450e+01	6.6166243962e-06                 	3.6097939489e-06                 	3.0068304472e-06                 	5.4556428366e-01                 	9.4095898502e-01                 
8.2363110000e-01	7.6286401851e+01	6.6239649295e-06                 	3.6105659471e-06                 	3.0133989824e-06                 	5.4507624746e-01                 	9.4086297302e-01                 
8.5665860000e-01	7.3345266214e+01	6.6353590066e-06                 	3.6152252578e-06                 	3.0201337488e-06                 	5.4484245000e-01                 	9.4081956391e-01                 
