#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.2398400000e-04	6.3797764092e+02	1.4517901141e-16                 	8.2070247618e-17                 	6.3108763796e-17                 	5.6530380541e-01                 	9.9998299354e-01                 
1.5498000000e-04	5.1038211274e+02	1.9849461625e-16                 	1.2709564155e-16                 	7.1398974703e-17                 	6.4029767633e-01                 	9.9997428640e-01                 
2.0664000000e-04	3.8278658455e+02	4.1739897657e-16                 	2.2432914893e-16                 	1.9306982764e-16                 	5.3744537367e-01                 	9.9995625322e-01                 
2.4796800000e-04	3.1898882046e+02	6.6298071962e-16                 	3.2461722383e-16                 	3.3836349579e-16                 	4.8963297758e-01                 	9.9993878756e-01                 
3.0996000000e-04	2.5519105637e+02	1.1854593709e-15                 	5.1195669858e-16                 	6.7350267229e-16                 	4.3186355531e-01                 	9.9990778381e-01                 
4.1328000000e-04	1.9139329228e+02	2.5408146015e-15                 	9.2264486170e-16                 	1.6181697398e-15                 	3.6312954954e-01                 	9.9984395048e-01                 
4.9593600000e-04	1.5949441023e+02	4.1365401205e-15                 	1.3383661542e-15                 	2.7981739664e-15                 	3.2354724363e-01                 	9.9978242142e-01                 
6.1992000000e-04	1.2759552818e+02	7.5648720062e-15                 	2.1246185845e-15                 	5.4402534217e-15                 	2.8085320978e-01                 	9.9967358778e-01                 
6.5254740000e-04	1.2121574591e+02	8.7001885378e-15                 	2.3701605007e-15                 	6.3300280371e-15                 	2.7242633770e-01                 	9.9964182220e-01                 
6.8880000000e-04	1.1483597537e+02	1.0066889879e-14                 	2.6469629894e-15                 	7.4199268900e-15                 	2.6293751309e-01                 	9.9960504769e-01                 
7.2931770000e-04	1.0845619108e+02	1.1752761542e-14                 	2.9789790892e-15                 	8.7737824533e-15                 	2.5347056336e-01                 	9.9956212751e-01                 
7.7490000000e-04	1.0207642255e+02	1.3847812785e-14                 	3.3797074954e-15                 	1.0468105290e-14                 	2.4406074431e-01                 	9.9951157391e-01                 
8.2656000000e-04	9.5696646138e+01	1.6497465708e-14                 	3.8695520840e-15                 	1.2627913624e-14                 	2.3455433413e-01                 	9.9945141177e-01                 
8.8560000000e-04	8.9316869729e+01	1.9879861125e-14                 	4.4739158018e-15                 	1.5405945324e-14                 	2.2504763859e-01                 	9.9937897392e-01                 
9.5372310000e-04	8.2937091313e+01	2.4273778047e-14                 	5.2202456290e-15                 	1.9053532418e-14                 	2.1505698943e-01                 	9.9929058271e-01                 
1.0332000000e-03	7.6557316911e+01	3.0127314309e-14                 	6.1785385363e-15                 	2.3948775773e-14                 	2.0508095985e-01                 	9.9918105841e-01                 
1.1271270000e-03	7.0177557482e+01	3.8043113836e-14                 	7.4159717608e-15                 	3.0627142076e-14                 	1.9493598218e-01                 	9.9904291797e-01                 
1.2398400000e-03	6.3797764092e+01	4.9046816707e-14                 	9.0480458138e-15                 	3.9998770893e-14                 	1.8447773824e-01                 	9.9886500514e-01                 
1.3050950000e-03	6.0607863667e+01	5.6193621432e-14                 	1.0068333961e-14                 	4.6125287471e-14                 	1.7917218546e-01                 	9.9875607534e-01                 
1.3776000000e-03	5.7417987683e+01	6.4809751596e-14                 	1.1268744274e-14                 	5.3541007322e-14                 	1.7387420868e-01                 	9.9863006643e-01                 
1.4586350000e-03	5.4228110413e+01	7.5314524793e-14                 	1.2692846682e-14                 	6.2621678111e-14                 	1.6853119258e-01                 	9.9848312195e-01                 
1.5498000000e-03	5.1038211274e+01	8.8184528726e-14                 	1.4373286273e-14                 	7.3811242453e-14                 	1.6299101986e-01                 	9.9831023643e-01                 
