#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
3.5590390000e-02	4.4345250844e+03	3.9779567802e-05                 	2.2479071288e-05                 	1.7300496514e-05                 	5.6509088786e-01                 	9.4311584181e-01                 
3.6073190000e-02	4.3751738401e+03	3.9783091145e-05                 	2.2510605024e-05                 	1.7272486121e-05                 	5.6583348292e-01                 	9.3837708572e-01                 
3.6562540000e-02	4.3166168767e+03	3.9785601652e-05                 	2.2433391537e-05                 	1.7352210115e-05                 	5.6385703887e-01                 	9.3854778925e-01                 
3.7058530000e-02	4.2588434354e+03	3.9786628652e-05                 	2.2230518146e-05                 	1.7556110506e-05                 	5.5874344973e-01                 	9.4492404844e-01                 
3.7561250000e-02	4.2018430488e+03	3.9787518242e-05                 	2.2147656154e-05                 	1.7639862088e-05                 	5.5664834432e-01                 	9.4789103633e-01                 
3.8070790000e-02	4.1456055211e+03	3.9788456377e-05                 	2.2077908602e-05                 	1.7710547775e-05                 	5.5488226014e-01                 	9.5036753198e-01                 
3.8587240000e-02	4.0901209109e+03	3.9789689550e-05                 	2.2072910315e-05                 	1.7716779235e-05                 	5.5473944543e-01                 	9.5057568298e-01                 
3.9110690000e-02	4.0353795143e+03	3.9790904870e-05                 	2.2031734307e-05                 	1.7759170563e-05                 	5.5368769267e-01                 	9.5187050300e-01                 
3.9641250000e-02	3.9813698412e+03	3.9792016660e-05                 	2.1996725531e-05                 	1.7795291130e-05                 	5.5279242866e-01                 	9.5310992330e-01                 
4.0179000000e-02	3.9280837556e+03	3.9793477878e-05                 	2.1941121538e-05                 	1.7852356340e-05                 	5.5137481588e-01                 	9.5456749868e-01                 
4.0724050000e-02	3.8755103487e+03	3.9794330575e-05                 	2.1942269069e-05                 	1.7852061506e-05                 	5.5139183778e-01                 	9.5503685753e-01                 
4.1276500000e-02	3.8236400184e+03	3.9795543014e-05                 	2.1924218801e-05                 	1.7871324213e-05                 	5.5092146357e-01                 	9.5568245710e-01                 
4.1836430000e-02	3.7724652227e+03	3.9796793529e-05                 	2.1912040383e-05                 	1.7884753147e-05                 	5.5059813717e-01                 	9.5612776022e-01                 
4.2403970000e-02	3.7219740797e+03	3.9798121617e-05                 	2.1913004750e-05                 	1.7885116867e-05                 	5.5060399485e-01                 	9.5612934507e-01                 
4.2979200000e-02	3.6721594915e+03	3.9799432689e-05                 	2.1908606095e-05                 	1.7890826594e-05                 	5.5047533632e-01                 	9.5631190329e-01                 
4.3562240000e-02	3.6230110577e+03	3.9800590449e-05                 	2.1905561773e-05                 	1.7895028676e-05                 	5.5038283417e-01                 	9.5661086516e-01                 
4.4153180000e-02	3.5745211832e+03	3.9802043300e-05                 	2.1923489828e-05                 	1.7878553472e-05                 	5.5081317465e-01                 	9.5604189717e-01                 
4.4752140000e-02	3.5266800027e+03	3.9803153439e-05                 	2.1940955598e-05                 	1.7862197841e-05                 	5.5123661576e-01                 	9.5582129378e-01                 
4.5359230000e-02	3.4794787570e+03	3.9804541377e-05                 	2.1943279495e-05                 	1.7861261882e-05                 	5.5127577749e-01                 	9.5577825004e-01                 
4.5974550000e-02	3.4329096689e+03	3.9806286339e-05                 	2.2004400224e-05                 	1.7801886114e-05                 	5.5278706577e-01                 	9.5373794513e-01                 
4.6598220000e-02	3.3869636484e+03	3.9808211300e-05                 	2.2035320926e-05                 	1.7772890374e-05                 	5.5353707707e-01                 	9.5238294219e-01                 
4.7230350000e-02	3.3416325989e+03	3.9809785752e-05                 	2.2061511401e-05                 	1.7748274351e-05                 	5.5417307539e-01                 	9.5151369359e-01                 
4.7871050000e-02	3.2969086163e+03	3.9811332298e-05                 	2.2080597384e-05                 	1.7730734914e-05                 	5.5463095832e-01                 	9.5088975679e-01                 
4.8520450000e-02	3.2527826353e+03	3.9812996533e-05                 	2.2118119308e-05                 	1.7694877225e-05                 	5.5555022816e-01                 	9.4962521847e-01                 
4.9178650000e-02	3.2092478589e+03	3.9814893778e-05                 	2.2194021317e-05                 	1.7620872462e-05                 	5.5743012753e-01                 	9.4700619155e-01                 
4.9845790000e-02	3.1662950315e+03	3.9816734994e-05                 	2.2257397536e-05                 	1.7559337459e-05                 	5.5899604874e-01                 	9.4480520798e-01                 
5.0521970000e-02	3.1239177177e+03	3.9818577174e-05                 	2.2318192210e-05                 	1.7500384964e-05                 	5.6049697891e-01                 	9.4267934151e-01                 
5.1207330000e-02	3.0821071362e+03	3.9820896153e-05                 	2.2357228855e-05                 	1.7463667298e-05                 	5.6144464376e-01                 	9.4068407198e-01                 
5.1901980000e-02	3.0408565765e+03	3.9823278196e-05                 	2.2465836668e-05                 	1.7357441528e-05                 	5.6413830517e-01                 	9.3649147623e-01                 
5.2606060000e-02	3.0001577236e+03	3.9825613816e-05                 	2.2551584272e-05                 	1.7274029544e-05                 	5.6625829739e-01                 	9.3301029441e-01                 
5.3319690000e-02	2.9600036538e+03	3.9827916831e-05                 	2.2606385402e-05                 	1.7221531429e-05                 	5.6760150169e-01                 	9.3050872851e-01                 
5.4043000000e-02	2.9203870477e+03	3.9830327909e-05                 	2.2672684659e-05                 	1.7157643251e-05                 	5.6923168472e-01                 	9.2751327724e-01                 
5.4776120000e-02	2.8813007788e+03	3.9832525957e-05                 	2.2690935042e-05                 	1.7141590915e-05                 	5.6965845116e-01                 	9.2629599780e-01                 
5.5519190000e-02	2.8427373890e+03	3.9834726140e-05                 	2.2718112634e-05                 	1.7116613506e-05                 	5.7030924610e-01                 	9.2481440285e-01                 
5.6272330000e-02	2.8046906396e+03	3.9836983818e-05                 	2.2755334955e-05                 	1.7081648864e-05                 	5.7121129096e-01                 	9.2295864912e-01                 
5.7035700000e-02	2.7671524540e+03	3.9839319056e-05                 	2.2798775199e-05                 	1.7040543857e-05                 	5.7226819483e-01                 	9.2081954809e-01                 
5.7809420000e-02	2.7301169466e+03	3.9841621977e-05                 	2.2843059847e-05                 	1.6998562131e-05                 	5.7334663382e-01                 	9.1870823857e-01                 
5.8593630000e-02	2.6935773943e+03	3.9844137905e-05                 	2.2887052872e-05                 	1.6957085033e-05                 	5.7441455821e-01                 	9.1633614893e-01                 
5.9388490000e-02	2.6575263526e+03	3.9846502510e-05                 	2.2890842606e-05                 	1.6955659905e-05                 	5.7447557912e-01                 	9.1547403854e-01                 
6.0194120000e-02	2.6219583776e+03	3.9848782863e-05                 	2.2894604060e-05                 	1.6954178803e-05                 	5.7453709788e-01                 	9.1474787058e-01                 
6.1010690000e-02	2.5868659610e+03	3.9850744777e-05                 	2.2879772936e-05                 	1.6970971841e-05                 	5.7413664572e-01                 	9.1509006059e-01                 
6.1838330000e-02	2.5522435230e+03	3.9852822612e-05                 	2.2852614720e-05                 	1.7000207892e-05                 	5.7342524876e-01                 	9.1569906393e-01                 
6.2677200000e-02	2.5180843627e+03	3.9854762751e-05                 	2.2822067809e-05                 	1.7032694942e-05                 	5.7263087857e-01                 	9.1663719858e-01                 
