#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.2030000000e-02	1.1874640198e+03	3.9932511058e-06                 	2.3513730937e-06                 	1.6418780122e-06                 	5.8883677268e-01                 	9.3415264462e-01                 
4.3050000000e-02	1.1593289838e+03	3.9938840259e-06                 	2.3652137065e-06                 	1.6286703194e-06                 	5.9220891021e-01                 	9.2995045593e-01                 
4.3970000000e-02	1.1350719298e+03	3.9945396655e-06                 	2.3937923339e-06                 	1.6007473316e-06                 	5.9926613185e-01                 	9.2200787257e-01                 
4.4920000000e-02	1.1110666241e+03	3.9953171491e-06                 	2.4210656172e-06                 	1.5742515319e-06                 	6.0597582792e-01                 	9.1320953480e-01                 
4.5920000000e-02	1.0868709223e+03	3.9959129868e-06                 	2.4349796068e-06                 	1.5609333800e-06                 	6.0936752499e-01                 	9.0872928009e-01                 
4.6960000000e-02	1.0628005271e+03	3.9966358875e-06                 	2.4481702620e-06                 	1.5484656255e-06                 	6.1255774379e-01                 	9.0345504395e-01                 
4.8060000000e-02	1.0384750885e+03	3.9974858939e-06                 	2.4621177153e-06                 	1.5353681785e-06                 	6.1591654873e-01                 	8.9708622266e-01                 
4.9010000000e-02	1.0183454959e+03	3.9981912862e-06                 	2.4907392903e-06                 	1.5074519959e-06                 	6.2296651461e-01                 	8.8762137806e-01                 
4.9990000000e-02	9.9838193145e+02	3.9989230451e-06                 	2.4934812313e-06                 	1.5054418139e-06                 	6.2353818844e-01                 	8.8440312636e-01                 
5.1020000000e-02	9.7822643577e+02	3.9997056127e-06                 	2.5113214111e-06                 	1.4883842016e-06                 	6.2787656250e-01                 	8.7711000141e-01                 
5.1880000000e-02	9.6201065446e+02	4.0004591895e-06                 	2.5079809359e-06                 	1.4924782536e-06                 	6.2692326483e-01                 	8.7506113035e-01                 
5.2990000000e-02	9.4185908196e+02	4.0011433456e-06                 	2.5139719440e-06                 	1.4871714016e-06                 	6.2831339116e-01                 	8.7203296923e-01                 
5.3910000000e-02	9.2578580510e+02	4.0018329142e-06                 	2.5125654614e-06                 	1.4892674528e-06                 	6.2785366487e-01                 	8.7041267077e-01                 
