#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.2400000000e-04	1.2727941863e+07	3.9643885569e-03                 	1.9831152145e-03                 	1.9812733424e-03                 	5.0023230218e-01                 	9.9999999726e-01                 
1.2980000000e-04	1.2159204862e+07	3.9643776571e-03                 	1.9829123236e-03                 	1.9814653335e-03                 	5.0018249901e-01                 	9.9999999683e-01                 
1.3600000000e-04	1.1604888169e+07	3.9643696718e-03                 	1.9827620882e-03                 	1.9816075836e-03                 	5.0014561010e-01                 	9.9999999638e-01                 
1.4240000000e-04	1.1083320162e+07	3.9643635471e-03                 	1.9826509155e-03                 	1.9817126316e-03                 	5.0011833980e-01                 	9.9999999587e-01                 
1.4920000000e-04	1.0578182245e+07	3.9643601648e-03                 	1.9825631407e-03                 	1.9817970241e-03                 	5.0009662551e-01                 	9.9999999535e-01                 
1.5620000000e-04	1.0104127984e+07	3.9643588753e-03                 	1.9825003182e-03                 	1.9818585572e-03                 	5.0008094134e-01                 	9.9999999481e-01                 
1.6360000000e-04	9.6470952997e+06	3.9643595476e-03                 	1.9824518425e-03                 	1.9819077051e-03                 	5.0006862867e-01                 	9.9999999426e-01                 
1.6740000000e-04	9.4281050838e+06	3.9643605381e-03                 	1.9824318202e-03                 	1.9819287179e-03                 	5.0006345314e-01                 	9.9999999412e-01                 
1.7130000000e-04	9.2134547054e+06	3.9643619484e-03                 	1.9824130039e-03                 	1.9819489445e-03                 	5.0005852889e-01                 	9.9999999420e-01                 
1.7530000000e-04	9.0032218541e+06	3.9643242385e-03                 	1.9916193277e-03                 	1.9727049108e-03                 	5.0238557895e-01                 	9.9999999047e-01                 
1.7940000000e-04	8.7974626033e+06	3.9643223454e-03                 	1.9905234515e-03                 	1.9737988939e-03                 	5.0210938416e-01                 	9.9999998816e-01                 
1.8360000000e-04	8.5962134588e+06	3.9643284810e-03                 	1.9895519282e-03                 	1.9747765527e-03                 	5.0186354077e-01                 	9.9999998671e-01                 
1.8790000000e-04	8.3994932998e+06	3.9643375409e-03                 	1.9887009681e-03                 	1.9756365729e-03                 	5.0164774002e-01                 	9.9999998530e-01                 
1.9680000000e-04	8.0196381658e+06	3.9643629525e-03                 	1.9873020843e-03                 	1.9770608681e-03                 	5.0129165976e-01                 	9.9999998247e-01                 
2.0610000000e-04	7.6577622078e+06	3.9643949025e-03                 	1.9862469432e-03                 	1.9781479592e-03                 	5.0102146534e-01                 	9.9999997943e-01                 
2.1590000000e-04	7.3101657760e+06	3.9644310601e-03                 	1.9854091865e-03                 	1.9790218736e-03                 	5.0080557750e-01                 	9.9999997591e-01                 
2.2610000000e-04	6.9803838612e+06	3.9644624028e-03                 	1.9847966206e-03                 	1.9796657822e-03                 	5.0064710394e-01                 	9.9999997191e-01                 
2.3680000000e-04	6.6649695567e+06	3.9644807507e-03                 	1.9843031466e-03                 	1.9801776042e-03                 	5.0052031308e-01                 	9.9999996734e-01                 
2.4800000000e-04	6.3639709316e+06	3.9644786189e-03                 	1.9839164255e-03                 	1.9805621934e-03                 	5.0042303571e-01                 	9.9999996186e-01                 
2.5970000000e-04	6.0772614210e+06	3.9644549567e-03                 	1.9835938678e-03                 	1.9808610889e-03                 	5.0034466010e-01                 	9.9999995566e-01                 
2.7200000000e-04	5.8024440847e+06	3.9644210131e-03                 	1.9833470997e-03                 	1.9810739133e-03                 	5.0028669841e-01                 	9.9999994845e-01                 
2.8480000000e-04	5.5416600809e+06	3.9643958898e-03                 	1.9831587066e-03                 	1.9812371832e-03                 	5.0024234758e-01                 	9.9999993993e-01                 
