#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.0000000000e-01	9.9581575615e+00	1.8916586347e-09                 	1.1061155736e-09                 	7.8554306117e-10                 	5.8473318244e-01                 	8.2590765058e-01                 
1.0116000000e-01	9.8439675381e+00	1.8397024966e-09                 	1.0333928682e-09                 	8.0630962837e-10                 	5.6171738101e-01                 	8.2403325584e-01                 
1.0233000000e-01	9.7314155785e+00	1.7942012668e-09                 	9.7945786592e-10                 	8.1474340087e-10                 	5.4590189186e-01                 	8.2565241501e-01                 
1.0351000000e-01	9.6204787571e+00	1.7872831523e-09                 	9.6569998032e-10                 	8.2158317200e-10                 	5.4031728496e-01                 	8.3046425344e-01                 
1.0471000000e-01	9.5102259206e+00	1.8066409598e-09                 	9.7146791963e-10                 	8.3517304021e-10                 	5.3772052180e-01                 	8.3852046727e-01                 
1.0593000000e-01	9.4006962725e+00	1.8331655582e-09                 	9.8425749441e-10                 	8.4890806378e-10                 	5.3691685948e-01                 	8.4957165352e-01                 
1.0715000000e-01	9.2936608133e+00	1.8741186194e-09                 	1.0111141048e-09                 	8.6300451459e-10                 	5.3951446527e-01                 	8.6225090366e-01                 
1.0839000000e-01	9.1873397560e+00	1.9269119484e-09                 	1.0495541724e-09                 	8.7735777601e-10                 	5.4468195771e-01                 	8.7507420074e-01                 
1.0965000000e-01	9.0817670419e+00	1.9740846979e-09                 	1.0831599356e-09                 	8.9092476232e-10                 	5.4868969742e-01                 	8.8592422787e-01                 
1.1092000000e-01	8.9777835931e+00	2.0051338947e-09                 	1.1035297427e-09                 	9.0160415200e-10                 	5.5035214638e-01                 	8.9364360660e-01                 
1.1220000000e-01	8.8753632455e+00	2.0288114398e-09                 	1.1138245638e-09                 	9.1498687604e-10                 	5.4900349137e-01                 	8.9859972474e-01                 
1.1350000000e-01	8.7737071026e+00	2.0442074067e-09                 	1.1144208094e-09                 	9.2978659725e-10                 	5.4516034223e-01                 	9.0212997606e-01                 
1.1482000000e-01	8.6728423284e+00	2.0463681392e-09                 	1.1011011636e-09                 	9.4526697558e-10                 	5.3807579513e-01                 	9.0480179581e-01                 
1.1614000000e-01	8.5742703302e+00	2.0306704765e-09                 	1.0734462236e-09                 	9.5722425295e-10                 	5.2861664951e-01                 	9.0583930037e-01                 
1.1749000000e-01	8.4757490523e+00	2.0046638759e-09                 	1.0385095128e-09                 	9.6615436311e-10                 	5.1804670363e-01                 	9.0475255374e-01                 
1.1885000000e-01	8.3787610951e+00	1.9777964664e-09                 	1.0030621501e-09                 	9.7473431637e-10                 	5.0716146332e-01                 	9.0224712758e-01                 
1.2023000000e-01	8.2825896710e+00	1.9543549124e-09                 	9.6961525194e-10                 	9.8473966046e-10                 	4.9613058805e-01                 	8.9962251777e-01                 
1.2162000000e-01	8.1879276118e+00	1.9346730080e-09                 	9.3869240251e-10                 	9.9598060549e-10                 	4.8519434480e-01                 	8.9747865175e-01                 
1.2303000000e-01	8.0940888901e+00	1.9171114065e-09                 	9.1171622997e-10                 	1.0053951765e-09                 	4.7556768318e-01                 	8.9557082255e-01                 
1.2445000000e-01	8.0017336774e+00	1.9028236131e-09                 	8.9168499555e-10                 	1.0111386175e-09                 	4.6861148318e-01                 	8.9387270095e-01                 
1.2589000000e-01	7.9102053868e+00	1.8950615809e-09                 	8.8074777875e-10                 	1.0143138021e-09                 	4.6475945038e-01                 	8.9288571735e-01                 
1.2735000000e-01	7.8195190903e+00	1.8958261677e-09                 	8.7862071244e-10                 	1.0172054553e-09                 	4.6345003957e-01                 	8.9315287595e-01                 
1.2882000000e-01	7.7302884346e+00	1.9040831615e-09                 	8.8314425059e-10                 	1.0209389109e-09                 	4.6381600785e-01                 	8.9468687238e-01                 
1.3032000000e-01	7.6413118182e+00	1.9165751337e-09                 	8.9177196227e-10                 	1.0248031715e-09                 	4.6529454889e-01                 	8.9699267470e-01                 
1.3183000000e-01	7.5537871209e+00	1.9298906728e-09                 	9.0247563793e-10                 	1.0274150349e-09                 	4.6763044697e-01                 	8.9957855102e-01                 
1.3335000000e-01	7.4676847105e+00	1.9420096703e-09                 	9.1381608120e-10                 	1.0281935891e-09                 	4.7055176665e-01                 	9.0217068160e-01                 
1.3490000000e-01	7.3818810686e+00	1.9521627973e-09                 	9.2461778563e-10                 	1.0275450117e-09                 	4.7363764277e-01                 	9.0467313950e-01                 
1.3646000000e-01	7.2974919841e+00	1.9597754295e-09                 	9.3358490403e-10                 	1.0261905255e-09                 	4.7637340992e-01                 	9.0704864669e-01                 
1.3804000000e-01	7.2139651996e+00	1.9642940357e-09                 	9.3966397852e-10                 	1.0246300572e-09                 	4.7837236250e-01                 	9.0919157755e-01                 
1.3964000000e-01	7.1313073342e+00	1.9651825469e-09                 	9.4221882159e-10                 	1.0229637253e-09                 	4.7945613148e-01                 	9.1098632825e-01                 
1.4125000000e-01	7.0500230524e+00	1.9622072318e-09                 	9.4112108533e-10                 	1.0210861465e-09                 	4.7962369625e-01                 	9.1233778099e-01                 
1.4289000000e-01	6.9691073983e+00	1.9557068866e-09                 	9.3678039684e-10                 	1.0189264898e-09                 	4.7899836282e-01                 	9.1318455311e-01                 
1.4454000000e-01	6.8895513778e+00	1.9462801331e-09                 	9.2982309212e-10                 	1.0164570410e-09                 	4.7774371032e-01                 	9.1352353606e-01                 
1.4622000000e-01	6.8103936271e+00	1.9348990479e-09                 	9.2112198258e-10                 	1.0137770653e-09                 	4.7605686901e-01                 	9.1335399073e-01                 
1.4791000000e-01	6.7325789747e+00	1.9225030052e-09                 	9.1152717773e-10                 	1.0109758275e-09                 	4.7413563217e-01                 	9.1269849169e-01                 
1.4962000000e-01	6.6556326437e+00	1.9100432385e-09                 	9.0188160906e-10                 	1.0081616294e-09                 	4.7217863496e-01                 	9.1157081479e-01                 
1.5136000000e-01	6.5791210105e+00	1.8983498406e-09                 	8.9292248242e-10                 	1.0054273582e-09                 	4.7036771796e-01                 	9.0998213463e-01                 
1.5311000000e-01	6.5039236898e+00	1.8880374743e-09                 	8.8522617089e-10                 	1.0028113034e-09                 	4.6886048765e-01                 	9.0795674002e-01                 
1.5488000000e-01	6.4295955330e+00	1.8796218387e-09                 	8.7924460248e-10                 	1.0003772362e-09                 	4.6777739245e-01                 	9.0550674332e-01                 
1.5668000000e-01	6.3557298708e+00	1.8733814053e-09                 	8.7522241856e-10                 	9.9815898673e-10                 	4.6718859069e-01                 	9.0264966429e-01                 
1.5849000000e-01	6.2831456631e+00	1.8694725718e-09                 	8.7330024712e-10                 	9.9617232470e-10                 	4.6713723447e-01                 	8.9941536866e-01                 
1.6032000000e-01	6.2114256247e+00	1.8679033230e-09                 	8.7345866698e-10                 	9.9444465598e-10                 	4.6761449388e-01                 	8.9583113326e-01                 
1.6218000000e-01	6.1401884089e+00	1.8686048326e-09                 	8.7560336151e-10                 	9.9300147113e-10                 	4.6858669432e-01                 	8.9191921389e-01                 
1.6406000000e-01	6.0698266253e+00	1.8714021555e-09                 	8.7955785383e-10                 	9.9184430162e-10                 	4.6999938055e-01                 	8.8772458298e-01                 
1.6596000000e-01	6.0003359614e+00	1.8760819882e-09                 	8.8510384981e-10                 	9.9097813843e-10                 	4.7178313920e-01                 	8.8328813187e-01                 
1.6788000000e-01	5.9317116759e+00	1.8824033601e-09                 	8.9200364183e-10                 	9.9039971823e-10                 	4.7386424225e-01                 	8.7865128443e-01                 
1.6982000000e-01	5.8639486288e+00	1.8901244996e-09                 	9.0001367534e-10                 	9.9011082425e-10                 	4.7616634541e-01                 	8.7386150799e-01                 
1.7179000000e-01	5.7967038602e+00	1.8990058730e-09                 	9.0889350996e-10                 	9.9011236303e-10                 	4.7861542868e-01                 	8.6895855784e-01                 
1.7378000000e-01	5.7303242959e+00	1.9087987807e-09                 	9.1842014235e-10                 	9.9037863835e-10                 	4.8115084295e-01                 	8.6399214075e-01                 
1.7579000000e-01	5.6648032092e+00	1.9192820793e-09                 	9.2838737831e-10                 	9.9089470097e-10                 	4.8371596251e-01                 	8.5900598075e-01                 
1.7783000000e-01	5.5998186816e+00	1.9302572427e-09                 	9.3860269930e-10                 	9.9165454337e-10                 	4.8625783059e-01                 	8.5403741869e-01                 
