#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.0000000000e-01	2.4895393904e+00	3.5494382048e-09                 	3.5281574682e-09                 	2.1280736618e-11                 	9.9400447750e-01                 	5.8868300942e-01                 
4.0019220000e-01	2.4883437412e+00	3.5534258241e-09                 	3.5321938255e-09                 	2.1231998644e-11                 	9.9402492139e-01                 	5.8910415179e-01                 
4.0038460000e-01	2.4871479976e+00	3.5574252771e-09                 	3.5362419869e-09                 	2.1183290189e-11                 	9.9404533095e-01                 	5.8952351605e-01                 
4.0057710000e-01	2.4859527820e+00	3.5614377528e-09                 	3.5403029018e-09                 	2.1134850959e-11                 	9.9406564078e-01                 	5.8994175204e-01                 
4.0076990000e-01	2.4847568546e+00	3.5654602439e-09                 	3.5443736996e-09                 	2.1086544238e-11                 	9.9408588435e-01                 	5.9035752022e-01                 
4.0096280000e-01	2.4835614579e+00	3.5694919849e-09                 	3.5484536211e-09                 	2.1038363775e-11                 	9.9410606219e-01                 	5.9077123957e-01                 
4.0115590000e-01	2.4823659733e+00	3.5735297856e-09                 	3.5525289671e-09                 	2.1000818540e-11                 	9.9412322835e-01                 	5.9118390296e-01                 
4.0134920000e-01	2.4811704026e+00	3.5775779400e-09                 	3.5566133323e-09                 	2.0964607758e-11                 	9.9413999971e-01                 	5.9159477782e-01                 
4.0154270000e-01	2.4799747478e+00	3.5816334110e-09                 	3.5607049989e-09                 	2.0928412143e-11                 	9.9415674087e-01                 	5.9200288950e-01                 
4.0173640000e-01	2.4787790107e+00	3.5857029865e-09                 	3.5648106003e-09                 	2.0892386144e-11                 	9.9417341977e-01                 	5.9240993796e-01                 
4.0193020000e-01	2.4775838097e+00	3.5897809127e-09                 	3.5689244167e-09                 	2.0856495992e-11                 	9.9419003652e-01                 	5.9281483525e-01                 
4.0212430000e-01	2.4763879133e+00	3.5938662846e-09                 	3.5730356758e-09                 	2.0830608839e-11                 	9.9420384422e-01                 	5.9321871525e-01                 
4.0231850000e-01	2.4751925555e+00	3.5979634668e-09                 	3.5771663127e-09                 	2.0797154086e-11                 	9.9421974284e-01                 	5.9361982577e-01                 
4.0251290000e-01	2.4739971220e+00	3.6020669084e-09                 	3.5812958118e-09                 	2.0771096637e-11                 	9.9423356168e-01                 	5.9401947129e-01                 
4.0270750000e-01	2.4728016144e+00	3.6061788950e-09                 	3.5854314359e-09                 	2.0747459119e-11                 	9.9424669166e-01                 	5.9441725726e-01                 
