#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.0000000000e-01	3.1415926536e+02	6.4277717879e-06                 	4.0943435626e-06                 	2.3334282253e-06                 	6.3697712018e-01                 	8.2246066185e-01                 
2.5000000000e-01	2.5132741229e+02	6.4543358708e-06                 	4.0710058268e-06                 	2.3833300440e-06                 	6.3073969318e-01                 	8.2315354756e-01                 
3.0000000000e-01	2.0943951024e+02	6.4750807528e-06                 	4.0414806639e-06                 	2.4336000889e-06                 	6.2415911371e-01                 	8.2832489424e-01                 
3.5000000000e-01	1.7951958021e+02	6.4937110266e-06                 	4.0269667670e-06                 	2.4667442597e-06                 	6.2013334909e-01                 	8.3159436877e-01                 
4.0000000000e-01	1.5707963268e+02	6.5111871591e-06                 	4.0223618379e-06                 	2.4888253212e-06                 	6.1776166766e-01                 	8.3309470981e-01                 
4.5000000000e-01	1.3962634016e+02	6.5276044349e-06                 	4.0216874143e-06                 	2.5059170206e-06                 	6.1610464519e-01                 	8.3384592076e-01                 
5.0000000000e-01	1.2566370614e+02	6.5432102529e-06                 	4.0220997019e-06                 	2.5211105510e-06                 	6.1469822097e-01                 	8.3448537161e-01                 
6.0000000000e-01	1.0471975512e+02	6.5723792759e-06                 	4.0281553091e-06                 	2.5442239668e-06                 	6.1289148723e-01                 	8.3456385281e-01                 
7.0000000000e-01	8.9759790103e+01	6.5992373113e-06                 	4.0223316105e-06                 	2.5769057008e-06                 	6.0951461825e-01                 	8.3755800351e-01                 
8.0000000000e-01	7.8539816340e+01	6.6259803642e-06                 	4.0225116503e-06                 	2.6034687139e-06                 	6.0708173421e-01                 	8.3935950948e-01                 
9.0000000000e-01	6.9813170080e+01	6.6524135793e-06                 	4.0286845329e-06                 	2.6237290464e-06                 	6.0559742489e-01                 	8.3975830480e-01                 
1.0000000000e+00	6.2831853072e+01	6.6775391159e-06                 	4.0375150729e-06                 	2.6400240430e-06                 	6.0464117137e-01                 	8.3929484816e-01                 
1.2000000000e+00	5.2359877560e+01	6.7266079644e-06                 	4.0655618338e-06                 	2.6610461305e-06                 	6.0439999705e-01                 	8.3584804395e-01                 
1.4000000000e+00	4.4879895051e+01	6.7723883399e-06                 	4.0953507458e-06                 	2.6770375941e-06                 	6.0471292256e-01                 	8.3158934523e-01                 
1.6000000000e+00	3.9269908170e+01	6.8137521169e-06                 	4.1258262570e-06                 	2.6879258599e-06                 	6.0551458084e-01                 	8.2659391242e-01                 
1.8000000000e+00	3.4906585040e+01	6.8507752645e-06                 	4.1542478432e-06                 	2.6965274213e-06                 	6.0639090947e-01                 	8.2157705136e-01                 
2.0000000000e+00	3.1415926536e+01	6.8837439541e-06                 	4.1700918240e-06                 	2.7136521301e-06                 	6.0578834015e-01                 	8.1893948771e-01                 
2.5000000000e+00	2.5132741229e+01	6.9610281724e-06                 	4.1841499247e-06                 	2.7768782477e-06                 	6.0108217078e-01                 	8.1762355470e-01                 
3.0000000000e+00	2.0943951024e+01	7.0349716135e-06                 	4.1952953407e-06                 	2.8396762728e-06                 	5.9634858123e-01                 	8.1664077251e-01                 
3.5000000000e+00	1.7951958021e+01	7.1059807508e-06                 	4.2007568210e-06                 	2.9052239298e-06                 	5.9115792292e-01                 	8.1648389704e-01                 
4.0000000000e+00	1.5707963268e+01	7.1753536957e-06                 	4.2077931842e-06                 	2.9675605115e-06                 	5.8642310367e-01                 	8.1584506896e-01                 
4.5000000000e+00	1.3962634016e+01	7.2441329278e-06                 	4.2163102173e-06                 	3.0278227104e-06                 	5.8203103938e-01                 	8.1499675381e-01                 
5.0000000000e+00	1.2566370614e+01	7.3168178028e-06                 	4.2314180994e-06                 	3.0853997033e-06                 	5.7831399025e-01                 	8.1426195090e-01                 
6.0000000000e+00	1.0471975512e+01	7.4569570300e-06                 	4.2629480844e-06                 	3.1940089455e-06                 	5.7167395055e-01                 	8.1185427311e-01                 
7.0000000000e+00	8.9759790103e+00	7.6459633746e-06                 	4.3622408867e-06                 	3.2837224879e-06                 	5.7052861398e-01                 	8.0695100288e-01                 
8.0000000000e+00	7.8539816340e+00	7.6645846202e-06                 	4.3017820858e-06                 	3.3628025345e-06                 	5.6125443177e-01                 	7.9930420985e-01                 
9.0000000000e+00	6.9813170080e+00	7.6900527380e-06                 	4.2752475522e-06                 	3.4148051858e-06                 	5.5594515380e-01                 	7.7402379823e-01                 
1.0000000000e+01	6.2831853072e+00	7.9354233036e-06                 	4.4655135169e-06                 	3.4699097867e-06                 	5.6273160813e-01                 	7.9262006996e-01                 
1.1000000000e+01	5.7119866429e+00	8.1586276803e-06                 	4.4875271098e-06                 	3.6711005705e-06                 	5.5003455062e-01                 	7.9606135193e-01                 
1.2000000000e+01	5.2359877560e+00	7.6438851236e-06                 	3.9113012932e-06                 	3.7325838304e-06                 	5.1169022427e-01                 	7.3864479936e-01                 
1.3000000000e+01	4.8332194671e+00	8.5752995052e-06                 	4.7107945264e-06                 	3.8645049788e-06                 	5.4934460581e-01                 	8.0109603148e-01                 
1.4000000000e+01	4.4879895051e+00	8.5055325761e-06                 	4.3320648281e-06                 	4.1734677481e-06                 	5.0932317163e-01                 	8.2451946208e-01                 
1.5000000000e+01	4.1887902048e+00	8.1216325915e-06                 	3.6060188241e-06                 	4.5156137673e-06                 	4.4400171807e-01                 	7.9490271072e-01                 
1.6000000000e+01	3.9269908170e+00	8.5907295233e-06                 	4.0000613603e-06                 	4.5906681629e-06                 	4.6562534061e-01                 	8.1303938365e-01                 
1.7000000000e+01	3.6959913572e+00	8.6343128946e-06                 	4.0684451253e-06                 	4.5658677693e-06                 	4.7119500706e-01                 	8.2423407072e-01                 
1.8000000000e+01	3.4906585040e+00	7.6070426874e-06                 	3.2835605855e-06                 	4.3234821018e-06                 	4.3164745098e-01                 	8.1454119798e-01                 
1.9000000000e+01	3.3069396354e+00	8.3333310152e-06                 	4.1152147891e-06                 	4.2181162261e-06                 	4.9382591207e-01                 	7.3642392356e-01                 
2.0000000000e+01	3.1415926536e+00	9.4642365178e-06                 	5.3126918043e-06                 	4.1515447135e-06                 	5.6134393876e-01                 	6.7099470649e-01                 
2.1000000000e+01	2.9919930034e+00	1.0134297683e-05                 	6.2603950169e-06                 	3.8739026664e-06                 	6.1774335159e-01                 	6.2203272162e-01                 
2.2000000000e+01	2.8559933214e+00	1.0333426134e-05                 	6.8997660133e-06                 	3.4336601203e-06                 	6.6771329510e-01                 	5.8406191826e-01                 
2.3000000000e+01	2.7318196988e+00	1.0292380494e-05                 	7.2149461181e-06                 	3.0774343756e-06                 	7.0099877502e-01                 	5.5837245144e-01                 
2.4000000000e+01	2.6179938780e+00	1.0011637585e-05                 	7.2719553519e-06                 	2.7396822334e-06                 	7.2635023890e-01                 	5.3064705357e-01                 
2.5000000000e+01	2.5132741229e+00	9.5777373983e-06                 	7.1413349567e-06                 	2.4364024416e-06                 	7.4561816217e-01                 	4.9763844950e-01                 
2.6000000000e+01	2.4166097335e+00	9.2261894282e-06                 	6.9962345719e-06                 	2.2299548562e-06                 	7.5830163974e-01                 	4.6665429929e-01                 
2.7000000000e+01	2.3271056693e+00	8.9996666064e-06                 	6.8760133571e-06                 	2.1236532494e-06                 	7.6402978663e-01                 	4.4279135228e-01                 
