#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.0000000000e-01	9.9581764111e+01	1.6498105834e-07                 	9.7094056324e-08                 	6.7887002020e-08                 	5.8851638666e-01                 	8.8884029227e-01                 
1.1100000000e-01	8.9713301000e+01	1.6552951114e-07                 	9.7982749705e-08                 	6.7546761432e-08                 	5.9193523277e-01                 	8.8330871745e-01                 
1.2500000000e-01	7.9665411288e+01	1.6623175488e-07                 	9.8933907977e-08                 	6.7297846901e-08                 	5.9515649131e-01                 	8.7722009972e-01                 
1.3700000000e-01	7.2687419059e+01	1.6684246384e-07                 	9.9490242515e-08                 	6.7352221328e-08                 	5.9631247479e-01                 	8.7340933724e-01                 
1.4350000000e-01	6.9394957568e+01	1.6717203724e-07                 	9.9702917672e-08                 	6.7469119568e-08                 	5.9640906050e-01                 	8.7185277945e-01                 
1.5500000000e-01	6.4246299426e+01	1.6773066067e-07                 	1.0003092234e-07                 	6.7699738331e-08                 	5.9637827658e-01                 	8.6961655794e-01                 
1.6500000000e-01	6.0352584309e+01	1.6818510315e-07                 	1.0034361597e-07                 	6.7841487176e-08                 	5.9662606315e-01                 	8.6785404558e-01                 
2.0000000000e-01	4.9790882055e+01	1.6974015937e-07                 	1.0192203505e-07                 	6.7818124326e-08                 	6.0045916903e-01                 	8.5896717635e-01                 
2.2700000000e-01	4.3868618551e+01	1.7097541026e-07                 	1.0318577438e-07                 	6.7789635886e-08                 	6.0351236601e-01                 	8.5124623079e-01                 
2.5000000000e-01	3.9832705644e+01	1.7198171470e-07                 	1.0396412075e-07                 	6.8017593953e-08                 	6.0450682754e-01                 	8.4662874320e-01                 
2.6300000000e-01	3.7863788635e+01	1.7252630016e-07                 	1.0432403361e-07                 	6.8202266544e-08                 	6.0468481337e-01                 	8.4460540799e-01                 
2.7800000000e-01	3.5820778457e+01	1.7313858426e-07                 	1.0472688983e-07                 	6.8411694434e-08                 	6.0487320186e-01                 	8.4244504010e-01                 
2.9700000000e-01	3.3529213505e+01	1.7389856958e-07                 	1.0527998690e-07                 	6.8618582685e-08                 	6.0541030988e-01                 	8.3963178249e-01                 
3.0000000000e-01	3.3193921370e+01	1.7401783073e-07                 	1.0537623713e-07                 	6.8641593602e-08                 	6.0554850435e-01                 	8.3915453193e-01                 
4.6000000000e-01	2.1648209589e+01	1.8117541637e-07                 	1.1401615181e-07                 	6.7159264563e-08                 	6.2931359062e-01                 	7.9621433850e-01                 
6.1000000000e-01	1.6324879362e+01	1.8691807384e-07                 	1.1726137584e-07                 	6.9656698001e-08                 	6.2734102397e-01                 	7.8061662641e-01                 
1.0000000000e+00	9.9581764111e+00	1.9779064087e-07                 	1.2954963798e-07                 	6.8241002890e-08                 	6.5498366056e-01                 	7.1629305909e-01                 
1.5040000000e+00	6.6211279329e+00	2.0387592199e-07                 	1.4019275379e-07                 	6.3683168193e-08                 	6.8763762011e-01                 	6.6010293243e-01                 
1.8500000000e+00	5.3827980600e+00	2.0528869385e-07                 	1.4485913923e-07                 	6.0429554624e-08                 	7.0563622628e-01                 	6.2769484595e-01                 
2.0000000000e+00	4.9790882055e+00	2.0543652384e-07                 	1.4653219924e-07                 	5.8904324599e-08                 	7.1327238459e-01                 	6.1371204878e-01                 
2.2450000000e+00	4.4357133234e+00	2.0552005040e-07                 	1.4856954364e-07                 	5.6950506765e-08                 	7.2289561698e-01                 	5.9314619374e-01                 
2.7330000000e+00	3.6436796235e+00	2.0514347574e-07                 	1.5184802446e-07                 	5.3295451274e-08                 	7.4020401535e-01                 	5.5352934285e-01                 
2.8720000000e+00	3.4673316194e+00	2.0417444038e-07                 	1.5213326217e-07                 	5.2041178215e-08                 	7.4511413810e-01                 	5.3918692051e-01                 
3.0270000000e+00	3.2897840803e+00	2.0371654201e-07                 	1.5300698419e-07                 	5.0709557827e-08                 	7.5107785884e-01                 	5.2360002105e-01                 
