#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.4300000000e-02	2.8299329188e+04	2.5038671399e-03                 	1.4337790574e-03                 	1.0700880825e-03                 	5.7262585325e-01                 	9.5118482775e-01                 
4.5100000000e-02	2.7797345521e+04	2.5038999572e-03                 	1.4308772093e-03                 	1.0730227479e-03                 	5.7145941682e-01                 	9.5136922272e-01                 
4.5900000000e-02	2.7312860196e+04	2.5039337183e-03                 	1.4299573948e-03                 	1.0739763234e-03                 	5.7108436394e-01                 	9.5079939811e-01                 
4.6800000000e-02	2.6787612885e+04	2.5039720403e-03                 	1.4296264466e-03                 	1.0743455937e-03                 	5.7094345446e-01                 	9.4987718671e-01                 
4.7700000000e-02	2.6282186227e+04	2.5040106931e-03                 	1.4296495471e-03                 	1.0743611460e-03                 	5.7094386660e-01                 	9.4877594660e-01                 
4.8600000000e-02	2.5795479074e+04	2.5040500050e-03                 	1.4293299775e-03                 	1.0747200275e-03                 	5.7080728206e-01                 	9.4767038122e-01                 
4.9600000000e-02	2.5275408932e+04	2.5040931612e-03                 	1.4264926560e-03                 	1.0776005052e-03                 	5.6966437114e-01                 	9.4738753735e-01                 
5.0600000000e-02	2.4775894921e+04	2.5041326908e-03                 	1.4225508403e-03                 	1.0815818505e-03                 	5.6808125446e-01                 	9.4810251765e-01                 
5.1700000000e-02	2.4248748221e+04	2.5041754338e-03                 	1.4206630439e-03                 	1.0835123899e-03                 	5.6731769857e-01                 	9.4814953696e-01                 
5.2800000000e-02	2.3743565966e+04	2.5042182300e-03                 	1.4211087959e-03                 	1.0831094341e-03                 	5.6748600377e-01                 	9.4733775654e-01                 
5.3900000000e-02	2.3259003395e+04	2.5042619424e-03                 	1.4239078014e-03                 	1.0803541410e-03                 	5.6859379497e-01                 	9.4549689177e-01                 
5.5100000000e-02	2.2752455227e+04	2.5043122484e-03                 	1.4283606925e-03                 	1.0759515559e-03                 	5.7036046261e-01                 	9.4250941724e-01                 
5.6400000000e-02	2.2228019202e+04	2.5043673580e-03                 	1.4319427834e-03                 	1.0724245746e-03                 	5.7177824923e-01                 	9.3956427652e-01                 
5.7700000000e-02	2.1727214610e+04	2.5044215335e-03                 	1.4348714631e-03                 	1.0695500704e-03                 	5.7293528421e-01                 	9.3694982401e-01                 
