#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.8830000000e-02	2.1793913657e+02	6.2824898285e-08                 	3.2870715719e-08                 	2.9954182566e-08                 	5.2321160267e-01                 	9.9482175821e-01                 
2.9520000000e-02	2.1284503073e+02	6.2829441892e-08                 	3.3281018489e-08                 	2.9548423403e-08                 	5.2970418783e-01                 	9.9382732887e-01                 
3.0240000000e-02	2.0777729190e+02	6.2974805688e-08                 	3.4205133411e-08                 	2.8769672277e-08                 	5.4315583887e-01                 	9.9096206143e-01                 
3.0990000000e-02	2.0274879984e+02	6.3132428541e-08                 	3.5589805851e-08                 	2.7542622691e-08                 	5.6373256460e-01                 	9.8357101407e-01                 
3.1790000000e-02	1.9764659664e+02	6.3311139676e-08                 	3.6404156095e-08                 	2.6906983581e-08                 	5.7500396109e-01                 	9.7770542704e-01                 
3.2630000000e-02	1.9255854450e+02	6.3444561204e-08                 	3.6827226078e-08                 	2.6617335126e-08                 	5.8046309059e-01                 	9.7129800025e-01                 
3.3510000000e-02	1.8750179968e+02	6.3589443778e-08                 	3.6882350088e-08                 	2.6707093691e-08                 	5.8000743357e-01                 	9.6643615135e-01                 
3.3970000000e-02	1.8496277030e+02	6.3726504201e-08                 	3.7327847882e-08                 	2.6398656319e-08                 	5.8575075394e-01                 	9.5838298291e-01                 
3.4440000000e-02	1.8243859777e+02	6.3703114065e-08                 	3.6490984634e-08                 	2.7212129431e-08                 	5.7282889808e-01                 	9.6553247573e-01                 
3.4930000000e-02	1.7987933888e+02	6.3818664257e-08                 	3.7423885189e-08                 	2.6394779069e-08                 	5.8640972236e-01                 	9.5415714128e-01                 
3.5420000000e-02	1.7739088953e+02	6.3785266189e-08                 	3.5757551204e-08                 	2.8027714986e-08                 	5.6059264686e-01                 	9.6896755564e-01                 
3.5940000000e-02	1.7482429903e+02	6.3804762829e-08                 	3.6460974423e-08                 	2.7343788406e-08                 	5.7144596746e-01                 	9.6293039674e-01                 
3.6460000000e-02	1.7233091901e+02	6.3768783923e-08                 	3.5159466299e-08                 	2.8609317624e-08                 	5.5135858231e-01                 	9.7415804710e-01                 
3.7010000000e-02	1.6976993535e+02	6.3733535095e-08                 	3.6786787119e-08                 	2.6946747976e-08                 	5.7719671543e-01                 	9.6300759177e-01                 
3.7460000000e-02	1.6773052075e+02	6.3823191191e-08                 	3.8488562543e-08                 	2.5334628648e-08                 	6.0304979780e-01                 	9.4649283186e-01                 
3.7920000000e-02	1.6569581506e+02	6.3923695282e-08                 	3.8596151054e-08                 	2.5327544229e-08                 	6.0378472933e-01                 	9.4067040333e-01                 
3.8390000000e-02	1.6366723905e+02	6.3966188399e-08                 	3.8298943311e-08                 	2.5667245088e-08                 	5.9873730590e-01                 	9.4147376479e-01                 
3.8870000000e-02	1.6164613602e+02	6.3993154826e-08                 	3.8200131805e-08                 	2.5793023020e-08                 	5.9694090578e-01                 	9.4136304793e-01                 
3.9360000000e-02	1.5963377305e+02	6.4013121155e-08                 	3.7992958762e-08                 	2.6020162393e-08                 	5.9351829869e-01                 	9.4269981341e-01                 
3.9870000000e-02	1.5759180605e+02	6.4020928676e-08                 	3.7895132217e-08                 	2.6125796459e-08                 	5.9191787750e-01                 	9.4360284310e-01                 
4.0390000000e-02	1.5556289446e+02	6.4034428888e-08                 	3.8031249646e-08                 	2.6003179242e-08                 	5.9391877630e-01                 	9.4197896345e-01                 
4.0920000000e-02	1.5354802803e+02	6.4070581941e-08                 	3.8567118592e-08                 	2.5503463349e-08                 	6.0194737465e-01                 	9.3525158253e-01                 
4.1470000000e-02	1.5151158204e+02	6.4135287921e-08                 	3.9174204183e-08                 	2.4961083737e-08                 	6.1080577407e-01                 	9.2580921273e-01                 
4.2030000000e-02	1.4949286955e+02	6.4207699794e-08                 	3.9222640199e-08                 	2.4985059595e-08                 	6.1087128685e-01                 	9.2140786264e-01                 
4.2610000000e-02	1.4745799829e+02	6.4279598402e-08                 	3.9346780815e-08                 	2.4932817587e-08                 	6.1211926946e-01                 	9.1607702584e-01                 
4.2900000000e-02	1.4646119597e+02	6.4324819548e-08                 	3.9243585365e-08                 	2.5081234182e-08                 	6.1008465537e-01                 	9.1481841769e-01                 
4.3200000000e-02	1.4544410433e+02	6.4365227982e-08                 	3.8844819476e-08                 	2.5520408506e-08                 	6.0350628272e-01                 	9.1780500914e-01                 
4.3500000000e-02	1.4444104154e+02	6.4360174607e-08                 	3.7928756238e-08                 	2.6431418369e-08                 	5.8932028182e-01                 	9.3015363296e-01                 
4.3810000000e-02	1.4341897528e+02	6.4328123647e-08                 	3.7475301454e-08                 	2.6852822193e-08                 	5.8256481503e-01                 	9.3750643278e-01                 
4.4120000000e-02	1.4241127169e+02	6.4293660399e-08                 	3.7198505928e-08                 	2.7095154470e-08                 	5.7857191048e-01                 	9.4242003418e-01                 
4.4440000000e-02	1.4138580799e+02	6.4262736280e-08                 	3.7198873180e-08                 	2.7063863100e-08                 	5.7885604214e-01                 	9.4375842295e-01                 
4.5090000000e-02	1.3934764487e+02	6.4297700628e-08                 	3.7778647589e-08                 	2.6519053039e-08                 	5.8755829866e-01                 	9.3606984487e-01                 
4.5750000000e-02	1.3733738376e+02	6.4341380085e-08                 	3.8117472195e-08                 	2.6223907889e-08                 	5.9242546780e-01                 	9.3061056575e-01                 
4.6440000000e-02	1.3529684124e+02	6.4408183312e-08                 	3.8598877853e-08                 	2.5809305459e-08                 	5.9928530612e-01                 	9.2204505538e-01                 
4.7140000000e-02	1.3328776638e+02	6.4491746574e-08                 	3.8882461376e-08                 	2.5609285198e-08                 	6.0290600645e-01                 	9.1475673791e-01                 
4.7500000000e-02	1.3227758541e+02	6.4548337691e-08                 	3.8881231951e-08                 	2.5667105740e-08                 	6.0235837733e-01                 	9.1224162842e-01                 
4.7870000000e-02	1.3125517667e+02	6.4584147270e-08                 	3.8452110190e-08                 	2.6132037079e-08                 	5.9538000912e-01                 	9.1695601507e-01                 
4.8240000000e-02	1.3024845164e+02	6.4591248253e-08                 	3.8031770481e-08                 	2.6559477772e-08                 	5.8880686641e-01                 	9.2298162214e-01                 
4.8620000000e-02	1.2923046703e+02	6.4589539640e-08                 	3.7706592384e-08                 	2.6882947256e-08                 	5.8378791046e-01                 	9.2797540346e-01                 
4.9010000000e-02	1.2820210788e+02	6.4594563531e-08                 	3.7520855007e-08                 	2.7073708524e-08                 	5.8086707233e-01                 	9.3071031338e-01                 
4.9400000000e-02	1.2718998598e+02	6.4581240284e-08                 	3.7222573611e-08                 	2.7358666674e-08                 	5.7636820611e-01                 	9.3559266890e-01                 
5.0200000000e-02	1.2516305393e+02	6.4535997460e-08                 	3.7043322478e-08                 	2.7492674983e-08                 	5.7399473062e-01                 	9.3993968684e-01                 
5.1020000000e-02	1.2315141723e+02	6.4577985145e-08                 	3.7708890899e-08                 	2.6869094246e-08                 	5.8392795648e-01                 	9.3021359409e-01                 
5.1880000000e-02	1.2110997123e+02	6.4660981958e-08                 	3.8054429121e-08                 	2.6606552837e-08                 	5.8852228916e-01                 	9.2302896918e-01                 
5.2760000000e-02	1.1908994138e+02	6.4721365412e-08                 	3.8033043767e-08                 	2.6688321645e-08                 	5.8764279036e-01                 	9.2179440067e-01                 
5.3670000000e-02	1.1707071562e+02	6.4783302090e-08                 	3.8017650167e-08                 	2.6765651923e-08                 	5.8684335223e-01                 	9.2053148591e-01                 
5.4140000000e-02	1.1605440168e+02	6.4803035949e-08                 	3.7862527969e-08                 	2.6940507980e-08                 	5.8427089741e-01                 	9.2252387186e-01                 
5.4620000000e-02	1.1503451679e+02	6.4817993302e-08                 	3.7744083049e-08                 	2.7073910252e-08                 	5.8230872520e-01                 	9.2415542512e-01                 
5.5100000000e-02	1.1403240122e+02	6.4829241183e-08                 	3.7650261261e-08                 	2.7178979921e-08                 	5.8076048053e-01                 	9.2554263085e-01                 
