#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.0000000000e-01	3.1415926536e-01	2.4210837431e-13                 	1.2724540627e-14                 	2.2938383369e-13                 	5.2557209818e-02                 	2.1321271063e-02                 
2.2000000000e-01	2.8559933214e-01	2.7746252817e-13                 	8.8087981141e-15                 	2.6865373005e-13                 	3.1747703635e-02                 	1.7585133713e-02                 
2.4000000000e-01	2.6179938780e-01	2.6189630326e-13                 	6.3025081114e-15                 	2.5559379515e-13                 	2.4064899095e-02                 	1.4815479229e-02                 
2.6000000000e-01	2.4166097335e-01	2.3753392665e-13                 	4.6587938330e-15                 	2.3287513282e-13                 	1.9613172310e-02                 	1.2691864181e-02                 
2.8000000000e-01	2.2439947526e-01	2.0651603535e-13                 	3.5081641844e-15                 	2.0300787116e-13                 	1.6987369424e-02                 	1.1007921614e-02                 
3.0000000000e-01	2.0943951024e-01	1.7841043911e-13                 	2.6804085572e-15                 	1.7573003056e-13                 	1.5023832521e-02                 	9.6331915872e-03                 
3.2000000000e-01	1.9634954085e-01	1.5487159681e-13                 	2.0859955784e-15                 	1.5278560124e-13                 	1.3469193973e-02                 	8.5039298473e-03                 
3.4000000000e-01	1.8479956786e-01	1.2950161738e-13                 	1.6503169935e-15                 	1.2785130038e-13                 	1.2743601408e-02                 	7.5720030305e-03                 
3.6000000000e-01	1.7453292520e-01	1.0468960688e-13                 	1.3078903380e-15                 	1.0338171655e-13                 	1.2493029412e-02                 	6.7691538778e-03                 
3.8000000000e-01	1.6534698177e-01	8.5083072303e-14                 	1.0405577655e-15                 	8.4042514537e-14                 	1.2229903520e-02                 	6.0716075915e-03                 
4.0000000000e-01	1.5707963268e-01	7.0437972122e-14                 	8.3501945891e-16                 	6.9602952663e-14                 	1.1854677722e-02                 	5.4692380884e-03                 
4.2000000000e-01	1.4959965017e-01	5.9728906403e-14                 	6.7780747146e-16                 	5.9051098931e-14                 	1.1348064317e-02                 	4.9507471002e-03                 
4.5000000000e-01	1.3962634016e-01	4.8105564795e-14                 	5.0415596679e-16                 	4.7601408828e-14                 	1.0480200554e-02                 	4.2977267689e-03                 
5.0000000000e-01	1.2566370614e-01	3.5186612269e-14                 	3.2118591824e-16                 	3.4865426351e-14                 	9.1280716593e-03                 	3.4622572162e-03                 
5.5000000000e-01	1.1423973286e-01	2.5375276926e-14                 	2.1623337590e-16                 	2.5159043550e-14                 	8.5214193537e-03                 	2.8548559054e-03                 
6.0000000000e-01	1.0471975512e-01	1.8961815939e-14                 	1.5077605390e-16                 	1.8811039885e-14                 	7.9515619385e-03                 	2.3936690218e-03                 
6.5000000000e-01	9.6664389341e-02	1.4278660896e-14                 	1.0790899899e-16                 	1.4170751897e-14                 	7.5573612804e-03                 	2.0340150157e-03                 
7.0000000000e-01	8.9759790103e-02	1.1648549736e-14                 	7.9592996101e-17                 	1.1568956740e-14                 	6.8328674302e-03                 	1.7512574769e-03                 
7.5000000000e-01	8.3775804096e-02	9.5779178647e-15                 	6.0315520980e-17                 	9.5176023437e-15                 	6.2973520793e-03                 	1.5254309006e-03                 
8.0000000000e-01	7.8539816340e-02	8.0718896977e-15                 	4.6505276836e-17                 	8.0253844209e-15                 	5.7613865622e-03                 	1.3403952140e-03                 
9.0000000000e-01	6.9813170080e-02	6.6339072767e-15                 	2.8909972410e-17                 	6.6049973043e-15                 	4.3579102336e-03                 	1.0583232147e-03                 
1.0000000000e+00	6.2831853072e-02	6.0201580460e-15                 	1.8721466640e-17                 	6.0014365794e-15                 	3.1097965364e-03                 	8.5491441941e-04                 
1.1000000000e+00	5.7119866429e-02	5.0154504476e-15                 	1.2888744783e-17                 	5.0025617029e-15                 	2.5698080198e-03                 	7.0785147386e-04                 
1.2000000000e+00	5.2359877560e-02	3.9608364301e-15                 	8.9475444349e-18                 	3.9518888856e-15                 	2.2590037718e-03                 	5.9268386812e-04                 
1.3000000000e+00	4.8332194671e-02	2.9822057796e-15                 	6.4433245972e-18                 	2.9757624550e-15                 	2.1605902052e-03                 	5.0417603231e-04                 
1.4000000000e+00	4.4879895051e-02	2.2326184862e-15                 	4.9192317668e-18                 	2.2276992544e-15                 	2.2033463385e-03                 	4.3725682442e-04                 
1.5000000000e+00	4.1887902048e-02	1.9012239158e-15                 	3.6000659997e-18                 	1.8976238498e-15                 	1.8935518167e-03                 	3.7795822511e-04                 
1.6000000000e+00	3.9269908170e-02	1.7071399771e-15                 	2.7438203098e-18                 	1.7043961568e-15                 	1.6072614704e-03                 	3.3126231841e-04                 
1.7000000000e+00	3.6959913572e-02	1.5959675264e-15                 	2.1608027396e-18                 	1.5938067237e-15                 	1.3539139762e-03                 	2.9366695464e-04                 
1.8000000000e+00	3.4906585040e-02	1.5510177929e-15                 	1.7066170532e-18                 	1.5493111758e-15                 	1.1003207449e-03                 	2.6154695027e-04                 
1.9000000000e+00	3.3069396354e-02	1.4453808251e-15                 	1.3270734830e-18                 	1.4440537517e-15                 	9.1814797868e-04                 	2.3305175590e-04                 
2.0000000000e+00	3.1415926536e-02	1.3050051932e-15                 	1.0836475257e-18                 	1.3039215457e-15                 	8.3037794128e-04                 	2.1044066947e-04                 
2.2000000000e+00	2.8559933214e-02	1.0321959934e-15                 	7.3479508819e-19                 	1.0314611983e-15                 	7.1187554775e-04                 	1.7366898770e-04                 
2.4000000000e+00	2.6179938780e-02	8.9171372512e-16                 	5.1613741239e-19                 	8.9119758771e-16                 	5.7881514869e-04                 	1.4578174758e-04                 
2.6000000000e+00	2.4166097335e-02	7.9015697900e-16                 	3.7292903742e-19                 	7.8978404996e-16                 	4.7196828900e-04                 	1.2409888253e-04                 
2.8000000000e+00	2.2439947526e-02	7.2548466172e-16                 	2.7414573789e-19                 	7.2521051598e-16                 	3.7787944027e-04                 	1.0676527081e-04                 
3.0000000000e+00	2.0943951024e-02	6.6699727806e-16                 	2.0663765460e-19                 	6.6679064040e-16                 	3.0980284537e-04                 	9.2882306738e-05                 
3.5000000000e+00	1.7951958021e-02	5.6190380613e-16                 	1.0926118606e-19                 	5.6179454495e-16                 	1.9444820425e-04                 	6.7968022153e-05                 
4.0000000000e+00	1.5707963268e-02	4.9170503551e-16                 	6.2108601598e-20                 	4.9164292690e-16                 	1.2631272229e-04                 	5.1735373230e-05                 
4.5000000000e+00	1.3962634016e-02	4.4889033446e-16                 	3.7380592244e-20                 	4.4885295386e-16                 	8.3273328416e-05                 	4.0602292774e-05                 
5.0000000000e+00	1.2566370614e-02	5.3306622908e-16                 	2.3245782465e-20                 	5.3304298330e-16                 	4.3607681741e-05                 	3.2576092722e-05                 
5.5000000000e+00	1.1423973286e-02	5.9412036718e-16                 	1.4919983073e-20                 	5.9410544719e-16                 	2.5112727820e-05                 	2.6640581952e-05                 
6.0000000000e+00	1.0471975512e-02	5.4867809144e-16                 	9.4902163623e-21                 	5.4866860122e-16                 	1.7296510487e-05                 	2.2020178763e-05                 
6.5000000000e+00	9.6664389341e-03	5.1613035395e-16                 	6.0693214270e-21                 	5.1612428462e-16                 	1.1759280152e-05                 	1.8424483683e-05                 
7.0000000000e+00	8.9759790103e-03	5.6899485981e-16                 	3.6331728867e-21                 	5.6899122664e-16                 	6.3852472900e-06                 	1.5460422409e-05                 
7.5000000000e+00	8.3775804096e-03	7.6548310241e-16                 	1.8251951495e-21                 	7.6548127721e-16                 	2.3843702672e-06                 	1.2926450197e-05                 
8.0000000000e+00	7.8539816340e-03	4.9401350431e-15                 	3.8513978783e-22                 	4.9401346579e-15                 	7.7961388601e-08                 	1.0446367124e-05                 
8.2000000000e+00	7.6624211063e-03	1.2414502504e-14                 	5.8418302271e-22                 	1.2414501919e-14                 	4.7056498844e-08                 	9.6097371966e-06                 
8.4000000000e+00	7.4799825085e-03	1.9070028473e-14                 	1.1261890738e-21                 	1.9070027347e-14                 	5.9055447945e-08                 	8.9143760551e-06                 
8.6000000000e+00	7.3060294270e-03	2.7079296129e-14                 	2.1121784792e-21                 	2.7079294017e-14                 	7.7999755574e-08                 	8.2421139578e-06                 
8.8000000000e+00	7.1399833036e-03	3.8008882912e-14                 	4.0562056362e-21                 	3.8008878856e-14                 	1.0671730726e-07                 	7.5690507623e-06                 
9.0000000000e+00	6.9813170080e-03	4.0952711553e-14                 	5.3632512324e-21                 	4.0952706190e-14                 	1.3096205426e-07                 	7.3958283715e-06                 
9.2000000000e+00	6.8295492469e-03	3.8795869757e-14                 	5.3658569308e-21                 	3.8795864391e-14                 	1.3831000476e-07                 	7.3236469996e-06                 
9.4000000000e+00	6.6842396885e-03	3.7015981738e-14                 	5.3916811886e-21                 	3.7015976347e-14                 	1.4565819777e-07                 	7.2154585043e-06                 
9.6000000000e+00	6.5449846950e-03	3.4580796073e-14                 	5.3168218115e-21                 	3.4580790756e-14                 	1.5375070604e-07                 	7.1790329418e-06                 
9.8000000000e+00	6.4114135788e-03	3.1387813258e-14                 	5.0108674157e-21                 	3.1387808247e-14                 	1.5964372461e-07                 	7.2272831859e-06                 
1.0000000000e+01	6.2831853072e-03	2.8815787892e-14                 	4.6412523286e-21                 	2.8815783251e-14                 	1.6106629970e-07                 	7.2128915929e-06                 
1.0200000000e+01	6.1599855953e-03	2.6841584833e-14                 	4.3867119006e-21                 	2.6841580446e-14                 	1.6342969046e-07                 	7.1646239251e-06                 
1.0400000000e+01	6.0415243338e-03	2.4809819416e-14                 	4.1695934605e-21                 	2.4809815246e-14                 	1.6806222531e-07                 	7.1600832821e-06                 
1.0600000000e+01	5.9275333087e-03	2.2579715270e-14                 	3.9324738708e-21                 	2.2579711338e-14                 	1.7415958632e-07                 	7.2097302370e-06                 
1.0800000000e+01	5.8177641733e-03	2.0246719628e-14                 	3.6809569112e-21                 	2.0246715947e-14                 	1.8180510122e-07                 	7.3004868024e-06                 
1.1000000000e+01	5.7119866429e-03	1.7770907578e-14                 	3.3971021203e-21                 	1.7770904181e-14                 	1.9116086814e-07                 	7.4229782241e-06                 
