#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.9569450000e-01	1.2782071686e+04	9.9763106699e-03                 	5.6241856700e-03                 	4.3521249999e-03                 	5.6375406261e-01                 	9.2289827181e-01                 
1.9573490000e-01	1.2779433445e+04	9.9763131604e-03                 	5.6239127860e-03                 	4.3524003745e-03                 	5.6372656868e-01                 	9.2294569201e-01                 
1.9577530000e-01	1.2776796294e+04	9.9763156510e-03                 	5.6236399950e-03                 	4.3526756560e-03                 	5.6369908408e-01                 	9.2299309659e-01                 
1.9581570000e-01	1.2774160231e+04	9.9763181415e-03                 	5.6233671835e-03                 	4.3529509579e-03                 	5.6367159746e-01                 	9.2304050309e-01                 
1.9585610000e-01	1.2771525255e+04	9.9763206319e-03                 	5.6231012012e-03                 	4.3532194307e-03                 	5.6364479538e-01                 	9.2308672983e-01                 
1.9589660000e-01	1.2768884848e+04	9.9763231284e-03                 	5.6228352044e-03                 	4.3534879240e-03                 	5.6361799153e-01                 	9.2313295839e-01                 
1.9593700000e-01	1.2766252048e+04	9.9763256188e-03                 	5.6225761426e-03                 	4.3537494762e-03                 	5.6359188317e-01                 	9.2317799014e-01                 
1.9597750000e-01	1.2763613821e+04	9.9763281151e-03                 	5.6223101074e-03                 	4.3540180077e-03                 	5.6356507550e-01                 	9.2322422225e-01                 
1.9601800000e-01	1.2760976683e+04	9.9763306114e-03                 	5.6220509052e-03                 	4.3542797062e-03                 	5.6353895277e-01                 	9.2326927417e-01                 
1.9605850000e-01	1.2758340636e+04	9.9763331076e-03                 	5.6217917905e-03                 	4.3545413171e-03                 	5.6351283882e-01                 	9.2331431138e-01                 
1.9609910000e-01	1.2755699172e+04	9.9763356100e-03                 	5.6215463676e-03                 	4.3547892424e-03                 	5.6348809697e-01                 	9.2335698636e-01                 
1.9613960000e-01	1.2753065304e+04	9.9763381060e-03                 	5.6212939652e-03                 	4.3550441408e-03                 	5.6346265589e-01                 	9.2340086104e-01                 
1.9618020000e-01	1.2750426024e+04	9.9763406082e-03                 	5.6210417570e-03                 	4.3552988513e-03                 	5.6343723392e-01                 	9.2344470536e-01                 
1.9622080000e-01	1.2747787837e+04	9.9763431103e-03                 	5.6207961795e-03                 	4.3555469307e-03                 	5.6341247663e-01                 	9.2348740099e-01                 
1.9626140000e-01	1.2745150740e+04	9.9763456122e-03                 	5.6205506880e-03                 	4.3557949242e-03                 	5.6338772798e-01                 	9.2353008224e-01                 
1.9630200000e-01	1.2742514735e+04	9.9763481141e-03                 	5.6203051795e-03                 	4.3560429346e-03                 	5.6336297764e-01                 	9.2357276504e-01                 
1.9634260000e-01	1.2739879820e+04	9.9763506159e-03                 	5.6200666107e-03                 	4.3562840052e-03                 	5.6333892293e-01                 	9.2361425148e-01                 
1.9638330000e-01	1.2737239508e+04	9.9763531238e-03                 	5.6198279301e-03                 	4.3565251937e-03                 	5.6331485668e-01                 	9.2365575498e-01                 
1.9642390000e-01	1.2734606774e+04	9.9763556254e-03                 	5.6195893274e-03                 	4.3567662980e-03                 	5.6329079860e-01                 	9.2369724459e-01                 
1.9646460000e-01	1.2731968647e+04	9.9763581331e-03                 	5.6193574729e-03                 	4.3570006602e-03                 	5.6326741662e-01                 	9.2373756839e-01                 
1.9650530000e-01	1.2729331613e+04	9.9763606406e-03                 	5.6191257007e-03                 	4.3572349400e-03                 	5.6324404290e-01                 	9.2377787846e-01                 
1.9654600000e-01	1.2726695672e+04	9.9763631480e-03                 	5.6188938160e-03                 	4.3574693321e-03                 	5.6322065793e-01                 	9.2381820494e-01                 
1.9658680000e-01	1.2724054349e+04	9.9763656615e-03                 	5.6186620168e-03                 	4.3577036447e-03                 	5.6319728120e-01                 	9.2385851796e-01                 
1.9662750000e-01	1.2721420592e+04	9.9763681688e-03                 	5.6184439185e-03                 	4.3579242503e-03                 	5.6317527816e-01                 	9.2389646668e-01                 
1.9666830000e-01	1.2718781458e+04	9.9763706820e-03                 	5.6182120882e-03                 	4.3581585938e-03                 	5.6315189835e-01                 	9.2393678256e-01                 
1.9670910000e-01	1.2716143419e+04	9.9763731952e-03                 	5.6179939656e-03                 	4.3583792296e-03                 	5.6312989257e-01                 	9.2397473395e-01                 
1.9674990000e-01	1.2713506475e+04	9.9763757082e-03                 	5.6177689666e-03                 	4.3586067416e-03                 	5.6310719754e-01                 	9.2401386964e-01                 
1.9679070000e-01	1.2710870623e+04	9.9763782212e-03                 	5.6175509080e-03                 	4.3588273132e-03                 	5.6308519820e-01                 	9.2405180928e-01                 
1.9683150000e-01	1.2708235864e+04	9.9763807340e-03                 	5.6173326507e-03                 	4.3590480833e-03                 	5.6306317897e-01                 	9.2408977877e-01                 
1.9687240000e-01	1.2705595744e+04	9.9763832528e-03                 	5.6171145675e-03                 	4.3592686853e-03                 	5.6304117687e-01                 	9.2412772115e-01                 
1.9691330000e-01	1.2702956720e+04	9.9763857715e-03                 	5.6169033339e-03                 	4.3594824377e-03                 	5.6301986135e-01                 	9.2416448170e-01                 
1.9695410000e-01	1.2700325241e+04	9.9763882839e-03                 	5.6166851263e-03                 	4.3597031577e-03                 	5.6299784716e-01                 	9.2420244074e-01                 
1.9699500000e-01	1.2697688406e+04	9.9763908024e-03                 	5.6164807300e-03                 	4.3599100724e-03                 	5.6297721704e-01                 	9.2423802050e-01                 
1.9703600000e-01	1.2695046223e+04	9.9763933269e-03                 	5.6162762366e-03                 	4.3601170903e-03                 	5.6295657685e-01                 	9.2427361527e-01                 
1.9707690000e-01	1.2692411579e+04	9.9763958451e-03                 	5.6160648600e-03                 	4.3603309852e-03                 	5.6293524707e-01                 	9.2431039446e-01                 
1.9711790000e-01	1.2689771591e+04	9.9763983694e-03                 	5.6158535626e-03                 	4.3605448067e-03                 	5.6291392492e-01                 	9.2434716126e-01                 
1.9715880000e-01	1.2687139136e+04	9.9764008873e-03                 	5.6156491141e-03                 	4.3607517731e-03                 	5.6289328963e-01                 	9.2438274572e-01                 
1.9719980000e-01	1.2684501341e+04	9.9764034112e-03                 	5.6154515254e-03                 	4.3609518858e-03                 	5.6287334162e-01                 	9.2441714781e-01                 
1.9724080000e-01	1.2681864642e+04	9.9764059351e-03                 	5.6152470560e-03                 	4.3611588791e-03                 	5.6285270392e-01                 	9.2445273464e-01                 
1.9728190000e-01	1.2679222612e+04	9.9764084649e-03                 	5.6150494473e-03                 	4.3613590176e-03                 	5.6283275360e-01                 	9.2448713899e-01                 
1.9732290000e-01	1.2676588108e+04	9.9764109884e-03                 	5.6148518218e-03                 	4.3615591666e-03                 	5.6281280195e-01                 	9.2452154436e-01                 
1.9736400000e-01	1.2673948276e+04	9.9764135180e-03                 	5.6146541889e-03                 	4.3617593291e-03                 	5.6279284923e-01                 	9.2455595085e-01                 
1.9740500000e-01	1.2671315962e+04	9.9764160413e-03                 	5.6144565392e-03                 	4.3619595021e-03                 	5.6277289520e-01                 	9.2459035836e-01                 
1.9744610000e-01	1.2668678325e+04	9.9764185706e-03                 	5.6142588821e-03                 	4.3621596884e-03                 	5.6275294009e-01                 	9.2462476700e-01                 
1.9748720000e-01	1.2666041787e+04	9.9764210997e-03                 	5.6140680845e-03                 	4.3623530153e-03                 	5.6273367256e-01                 	9.2465799274e-01                 
1.9752840000e-01	1.2663399934e+04	9.9764236348e-03                 	5.6138773627e-03                 	4.3625462721e-03                 	5.6271441232e-01                 	9.2469120674e-01                 
