#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
3.5000000000e-01	1.7951958021e+02	6.5556098980e-06                 	6.5556098974e-06                 	6.2553247335e-16                 	9.9999999990e-01                 	7.5903535135e-01                 
3.6000000000e-01	1.7453292520e+02	6.4144147238e-06                 	6.4144147233e-06                 	4.7478261142e-16                 	9.9999999993e-01                 	7.5759211938e-01                 
3.7000000000e-01	1.6981581911e+02	6.3840044546e-06                 	6.3840044541e-06                 	4.5825011474e-16                 	9.9999999993e-01                 	7.5726395806e-01                 
3.8000000000e-01	1.6534698177e+02	6.4817458698e-06                 	6.4817458694e-06                 	4.7999348696e-16                 	9.9999999993e-01                 	7.5343010243e-01                 
3.9000000000e-01	1.6110731557e+02	6.5491623793e-06                 	6.5491623788e-06                 	4.7976886823e-16                 	9.9999999993e-01                 	7.6075353360e-01                 
4.0000000000e-01	1.5707963268e+02	6.5623087721e-06                 	6.5623087716e-06                 	4.1805591817e-16                 	9.9999999994e-01                 	7.6264868295e-01                 
4.2000000000e-01	1.4959965017e+02	6.5477757290e-06                 	6.5477757286e-06                 	4.0280137651e-16                 	9.9999999994e-01                 	7.5630308630e-01                 
4.4000000000e-01	1.4279966607e+02	6.5015281210e-06                 	6.5015281206e-06                 	4.3306630904e-16                 	9.9999999993e-01                 	7.4012527196e-01                 
4.6000000000e-01	1.3659098494e+02	6.6290566103e-06                 	6.6290566098e-06                 	5.3398150587e-16                 	9.9999999992e-01                 	7.5253914331e-01                 
4.8000000000e-01	1.3089969390e+02	6.4405024839e-06                 	6.4405024830e-06                 	9.1686017751e-16                 	9.9999999986e-01                 	7.5511091059e-01                 
5.0000000000e-01	1.2566370614e+02	6.5856423682e-06                 	6.5856423677e-06                 	5.0324780381e-16                 	9.9999999992e-01                 	7.5931729473e-01                 
5.2000000000e-01	1.2083048668e+02	6.7255178242e-06                 	6.7255178231e-06                 	1.0860566784e-15                 	9.9999999984e-01                 	7.5407803831e-01                 
5.4000000000e-01	1.1635528347e+02	6.7233067315e-06                 	6.7233067312e-06                 	3.4272214406e-16                 	9.9999999995e-01                 	7.4696543034e-01                 
5.6000000000e-01	1.1219973763e+02	6.7793187659e-06                 	6.7793187655e-06                 	3.6330056819e-16                 	9.9999999995e-01                 	7.4629974353e-01                 
6.0000000000e-01	1.0471975512e+02	6.6900549185e-06                 	6.6900549182e-06                 	2.9046410792e-16                 	9.9999999996e-01                 	7.5676118756e-01                 
6.2000000000e-01	1.0134169850e+02	6.5886913955e-06                 	6.5886913952e-06                 	2.8084875205e-16                 	9.9999999996e-01                 	7.5024693632e-01                 
6.4000000000e-01	9.8174770425e+01	6.3982634329e-06                 	6.3982634326e-06                 	2.7747249534e-16                 	9.9999999996e-01                 	7.5530510021e-01                 
6.6000000000e-01	9.5199777382e+01	6.6553661612e-06                 	6.6553661609e-06                 	2.5901888069e-16                 	9.9999999996e-01                 	7.5831094231e-01                 
6.8000000000e-01	9.2399783929e+01	6.6871304328e-06                 	6.6871304326e-06                 	2.5542777129e-16                 	9.9999999996e-01                 	7.5389396433e-01                 
7.0000000000e-01	8.9759790103e+01	6.4412784770e-06                 	6.4412784768e-06                 	2.4493626285e-16                 	9.9999999996e-01                 	7.5453692437e-01                 
1.0417000000e+00	6.0316648816e+01	6.8214526350e-06                 	6.8214526348e-06                 	1.9030508099e-16                 	9.9999999997e-01                 	7.2205558234e-01                 
1.0638000000e+00	5.9063595668e+01	6.5244962603e-06                 	6.5244962601e-06                 	1.7232163101e-16                 	9.9999999997e-01                 	7.3812438605e-01                 
1.0870000000e+00	5.7802992706e+01	6.8313618164e-06                 	6.8313618162e-06                 	2.1989197188e-16                 	9.9999999997e-01                 	7.6103086291e-01                 
1.1111000000e+00	5.6549233257e+01	6.7253845949e-06                 	6.7253845948e-06                 	1.5375919487e-16                 	9.9999999998e-01                 	7.6862298380e-01                 
1.1364000000e+00	5.5290261415e+01	6.3765072346e-06                 	6.3765072345e-06                 	1.5742424708e-16                 	9.9999999998e-01                 	7.3847494514e-01                 
1.1628000000e+00	5.4034961362e+01	6.8531377548e-06                 	6.8531377546e-06                 	1.7815753258e-16                 	9.9999999997e-01                 	7.1947530262e-01                 
1.1905000000e+00	5.2777701026e+01	6.9993282140e-06                 	6.9993282138e-06                 	1.5919329399e-16                 	9.9999999998e-01                 	7.5470129506e-01                 
1.2195000000e+00	5.1522634745e+01	6.5960412908e-06                 	6.5960412907e-06                 	1.4108288560e-16                 	9.9999999998e-01                 	7.6323145662e-01                 
1.2500000000e+00	5.0265482457e+01	6.3358711809e-06                 	6.3358711808e-06                 	1.3277896828e-16                 	9.9999999998e-01                 	7.5202987129e-01                 
1.2821000000e+00	4.9006983131e+01	6.9382386691e-06                 	6.9382386690e-06                 	1.5556870104e-16                 	9.9999999998e-01                 	7.3564255308e-01                 
