#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.0000000000e-01	6.2683014151e+03	2.5086892879e-03                 	1.4090673371e-03                 	1.0996219508e-03                 	5.6167471352e-01                 	9.2791337328e-01                 
2.2000000000e-01	5.6984558319e+03	2.5091718553e-03                 	1.4151393958e-03                 	1.0940324595e-03                 	5.6398663681e-01                 	9.2436307286e-01                 
2.4000000000e-01	5.2235845126e+03	2.5096450132e-03                 	1.4206258536e-03                 	1.0890191596e-03                 	5.6606645407e-01                 	9.2085754817e-01                 
2.6000000000e-01	4.8217703193e+03	2.5101036684e-03                 	1.4238747702e-03                 	1.0862288982e-03                 	5.6725735600e-01                 	9.1872704545e-01                 
2.8000000000e-01	4.4773581536e+03	2.5105489930e-03                 	1.4259583820e-03                 	1.0845906110e-03                 	5.6798667782e-01                 	9.1736737146e-01                 
3.0000000000e-01	4.1788676101e+03	2.5109830597e-03                 	1.4276828333e-03                 	1.0833002264e-03                 	5.6857525493e-01                 	9.1624973188e-01                 
3.2000000000e-01	3.9176883844e+03	2.5114064559e-03                 	1.4289393329e-03                 	1.0824671230e-03                 	5.6897971635e-01                 	9.1544683161e-01                 
3.4000000000e-01	3.6872361265e+03	2.5118197140e-03                 	1.4296477417e-03                 	1.0821719722e-03                 	5.6916813487e-01                 	9.1501710295e-01                 
3.6000000000e-01	3.4823896750e+03	2.5122233719e-03                 	1.4296615172e-03                 	1.0825618547e-03                 	5.6908216568e-01                 	9.1507679416e-01                 
3.8000000000e-01	3.2991060079e+03	2.5126187325e-03                 	1.4292961036e-03                 	1.0833226290e-03                 	5.6884718921e-01                 	9.1541518338e-01                 
4.0000000000e-01	3.1341507075e+03	2.5130065872e-03                 	1.4285700345e-03                 	1.0844365527e-03                 	5.6847046950e-01                 	9.1601994168e-01                 
4.2000000000e-01	2.9849054358e+03	2.5133879169e-03                 	1.4277580154e-03                 	1.0856299015e-03                 	5.6806114401e-01                 	9.1669932142e-01                 
