#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.6530000000e-02	1.2020070648e+04	6.2929979418e-05                 	3.3049155286e-05                 	2.9880824131e-05                 	5.2517346410e-01                 	9.9132871985e-01                 
1.6750000000e-02	1.1862195094e+04	6.2930725238e-05                 	3.3028346462e-05                 	2.9902378776e-05                 	5.2483657763e-01                 	9.9148121847e-01                 
1.6980000000e-02	1.1701517539e+04	6.2931315547e-05                 	3.2981928867e-05                 	2.9949386680e-05                 	5.2409406319e-01                 	9.9186453091e-01                 
1.7220000000e-02	1.1538430187e+04	6.2932145303e-05                 	3.2982646385e-05                 	2.9949498917e-05                 	5.2409855451e-01                 	9.9186465645e-01                 
1.7710000000e-02	1.1219185083e+04	6.2934688886e-05                 	3.3050658751e-05                 	2.9884030135e-05                 	5.2515805410e-01                 	9.9112815077e-01                 
1.8230000000e-02	1.0899164444e+04	6.2936946594e-05                 	3.3068019371e-05                 	2.9868927224e-05                 	5.2541505681e-01                 	9.9085292283e-01                 
1.8790000000e-02	1.0574335701e+04	6.2938621316e-05                 	3.2949090307e-05                 	2.9989531009e-05                 	5.2351147226e-01                 	9.9176993580e-01                 
1.9070000000e-02	1.0419075397e+04	6.2939012204e-05                 	3.2857101130e-05                 	3.0081911074e-05                 	5.2204666040e-01                 	9.9255599367e-01                 
1.9370000000e-02	1.0257706134e+04	6.2938128801e-05                 	3.2758749033e-05                 	3.0179379768e-05                 	5.2049130880e-01                 	9.9363126020e-01                 
1.9680000000e-02	1.0096126414e+04	6.2938876274e-05                 	3.2733730671e-05                 	3.0205145603e-05                 	5.2008762483e-01                 	9.9383843649e-01                 
2.0000000000e-02	9.9345883909e+03	6.2940192890e-05                 	3.2839383444e-05                 	3.0100809446e-05                 	5.2175536705e-01                 	9.9313132523e-01                 
2.0330000000e-02	9.7733284712e+03	6.2942208790e-05                 	3.3070449604e-05                 	2.9871759187e-05                 	5.2540974077e-01                 	9.9142371760e-01                 
2.0660000000e-02	9.6172201267e+03	6.2944577895e-05                 	3.3367029114e-05                 	2.9577548781e-05                 	5.3010172170e-01                 	9.8899860214e-01                 
2.1010000000e-02	9.4570094155e+03	6.2947832196e-05                 	3.3699336465e-05                 	2.9248495732e-05                 	5.3535340756e-01                 	9.8561139600e-01                 
2.1380000000e-02	9.2933474190e+03	6.2952701492e-05                 	3.3757497187e-05                 	2.9195204304e-05                 	5.3623587848e-01                 	9.8298664170e-01                 
2.1750000000e-02	9.1352536928e+03	6.2954393412e-05                 	3.3318346294e-05                 	2.9636047118e-05                 	5.2924576805e-01                 	9.8678145959e-01                 
2.2140000000e-02	8.9743345898e+03	6.2954443389e-05                 	3.3087622819e-05                 	2.9866820570e-05                 	5.2558042035e-01                 	9.8933462071e-01                 
2.2540000000e-02	8.8150739937e+03	6.2955778140e-05                 	3.3088690987e-05                 	2.9867087154e-05                 	5.2558624425e-01                 	9.8933484707e-01                 
2.2750000000e-02	8.7337040799e+03	6.2956364599e-05                 	3.3067732690e-05                 	2.9888631909e-05                 	5.2524844630e-01                 	9.8955457755e-01                 
2.2960000000e-02	8.6538226402e+03	6.2957375918e-05                 	3.3072433646e-05                 	2.9884942272e-05                 	5.2531467781e-01                 	9.8941988435e-01                 
2.3390000000e-02	8.4947314159e+03	6.2959608919e-05                 	3.2995028295e-05                 	2.9964580624e-05                 	5.2406660177e-01                 	9.8987062956e-01                 
2.3840000000e-02	8.3343862340e+03	6.2959492654e-05                 	3.2751412640e-05                 	3.0208080014e-05                 	5.2019816646e-01                 	9.9234273182e-01                 
2.4070000000e-02	8.2547473128e+03	6.2957618568e-05                 	3.2674444131e-05                 	3.0283174437e-05                 	5.1899110662e-01                 	9.9340492374e-01                 
2.4310000000e-02	8.1732524812e+03	6.2957088366e-05                 	3.2760211751e-05                 	3.0196876616e-05                 	5.2035779609e-01                 	9.9300156520e-01                 
2.4800000000e-02	8.0117648314e+03	6.2959355027e-05                 	3.2937530012e-05                 	3.0021825015e-05                 	5.2315545478e-01                 	9.9156609099e-01                 
2.5300000000e-02	7.8534295580e+03	6.2960606300e-05                 	3.2979822684e-05                 	2.9980783616e-05                 	5.2381678993e-01                 	9.9132288509e-01                 
2.5830000000e-02	7.6922867913e+03	6.2962583822e-05                 	3.3080979740e-05                 	2.9881604082e-05                 	5.2540695969e-01                 	9.9048991291e-01                 
2.6380000000e-02	7.5319093184e+03	6.2964057026e-05                 	3.3167812388e-05                 	2.9796244638e-05                 	5.2677374925e-01                 	9.8989760672e-01                 
2.6950000000e-02	7.3726073402e+03	6.2967031714e-05                 	3.3336683840e-05                 	2.9630347874e-05                 	5.2943076611e-01                 	9.8824242809e-01                 
2.7550000000e-02	7.2120423891e+03	6.2968515772e-05                 	3.3389195467e-05                 	2.9579320306e-05                 	5.3025222299e-01                 	9.8794156590e-01                 
