#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.0000000000e-01	4.9790888024e+03	1.5826659185e-03                 	1.5826659185e-03                 	-1.0863800615e-17                	1.0000000000e+00                 	7.7864202937e-01                 
2.2000000000e-01	4.5264443658e+03	1.5838366138e-03                 	1.5838366138e-03                 	-2.6283388583e-17                	1.0000000000e+00                 	7.8583136538e-01                 
2.4000000000e-01	4.1492406687e+03	1.5849744652e-03                 	1.5849744652e-03                 	-2.0676265686e-17                	1.0000000000e+00                 	7.9069411867e-01                 
2.6000000000e-01	3.8300683096e+03	1.5871676670e-03                 	1.5871676670e-03                 	8.7611295278e-18                 	1.0000000000e+00                 	7.9465384892e-01                 
2.8000000000e-01	3.5564920017e+03	1.5860162557e-03                 	1.5860162557e-03                 	-3.1540066300e-18                	1.0000000000e+00                 	7.9696273383e-01                 
3.0000000000e-01	3.3193925350e+03	1.5827616941e-03                 	1.5827616941e-03                 	-2.1727601229e-17                	1.0000000000e+00                 	7.9860773989e-01                 
3.2000000000e-01	3.1119305015e+03	1.5860331055e-03                 	1.0507089229e-03                 	5.3532418255e-04                 	6.6247603490e-01                 	9.0167317188e-01                 
3.4000000000e-01	2.9288757661e+03	1.5851502196e-03                 	1.2523533598e-03                 	3.3279685987e-04                 	7.9005342475e-01                 	8.6265203587e-01                 
3.6000000000e-01	2.7661604458e+03	1.5871278651e-03                 	1.3785001383e-03                 	2.0862772677e-04                 	8.6855014560e-01                 	8.3946322910e-01                 
3.8000000000e-01	2.6205730539e+03	1.5858823399e-03                 	1.4354390375e-03                 	1.5044330243e-04                 	9.0513589902e-01                 	8.2909773422e-01                 
4.0000000000e-01	2.4895444012e+03	1.5873978813e-03                 	1.4601305585e-03                 	1.2726732278e-04                 	9.1982645040e-01                 	8.2535623200e-01                 
4.2000000000e-01	2.3709946678e+03	1.5867012291e-03                 	1.4653832604e-03                 	1.2131796866e-04                 	9.2354076090e-01                 	8.2527685930e-01                 
4.5000000000e-01	2.2129283566e+03	1.5885729797e-03                 	1.4745372607e-03                 	1.1403571895e-04                 	9.2821499522e-01                 	8.2403213493e-01                 
5.0000000000e-01	1.9916355210e+03	1.5892961396e-03                 	1.4813028128e-03                 	1.0799332673e-04                 	9.3204958847e-01                 	8.2550150611e-01                 
5.5000000000e-01	1.8105777463e+03	1.5890061692e-03                 	1.4850029244e-03                 	1.0400324478e-04                 	9.3454824355e-01                 	8.2498836872e-01                 
6.0000000000e-01	1.6596962675e+03	1.5916458678e-03                 	1.4878199265e-03                 	1.0382594124e-04                 	9.3476818975e-01                 	8.2658239757e-01                 
6.5000000000e-01	1.5320273238e+03	1.5921009146e-03                 	1.4883032964e-03                 	1.0379761825e-04                 	9.3480462369e-01                 	8.2621138602e-01                 
7.0000000000e-01	1.4225968007e+03	1.5886293287e-03                 	1.4885915568e-03                 	1.0003777186e-04                 	9.3702887763e-01                 	8.2619798456e-01                 
