#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.9603920000e-01	5.0796869543e+02	1.6028498848e-05                 	9.0170853510e-06                 	7.0114134966e-06                 	5.6256580462e-01                 	9.2636159199e-01                 
1.9608540000e-01	5.0784901210e+02	1.6028132119e-05                 	9.0164040545e-06                 	7.0117280643e-06                 	5.6253617001e-01                 	9.2640220755e-01                 
1.9613150000e-01	5.0772964402e+02	1.6027677949e-05                 	9.0156115406e-06                 	7.0120664082e-06                 	5.6250266379e-01                 	9.2644308715e-01                 
1.9617770000e-01	5.0761007330e+02	1.6027329146e-05                 	9.0149576325e-06                 	7.0123715138e-06                 	5.6247410596e-01                 	9.2648216411e-01                 
1.9622390000e-01	5.0749055888e+02	1.6027205584e-05                 	9.0145794578e-06                 	7.0126261260e-06                 	5.6245484658e-01                 	9.2652198701e-01                 
1.9627010000e-01	5.0737110073e+02	1.6027405683e-05                 	9.0145057980e-06                 	7.0128998848e-06                 	5.6244322858e-01                 	9.2656436876e-01                 
1.9631630000e-01	5.0725169880e+02	1.6027878389e-05                 	9.0147304146e-06                 	7.0131479740e-06                 	5.6244065472e-01                 	9.2660741503e-01                 
1.9636260000e-01	5.0713209479e+02	1.6028501175e-05                 	9.0151239298e-06                 	7.0133772456e-06                 	5.6244335207e-01                 	9.2665104461e-01                 
1.9640890000e-01	5.0701254718e+02	1.6029087839e-05                 	9.0154969208e-06                 	7.0135909185e-06                 	5.6244603631e-01                 	9.2669379861e-01                 
1.9645520000e-01	5.0689305591e+02	1.6029438438e-05                 	9.0155869108e-06                 	7.0138515268e-06                 	5.6243934845e-01                 	9.2673621581e-01                 
1.9650150000e-01	5.0677362095e+02	1.6029456265e-05                 	9.0154504252e-06                 	7.0140058398e-06                 	5.6243020824e-01                 	9.2677082833e-01                 
1.9654780000e-01	5.0665424226e+02	1.6029115900e-05                 	9.0149624845e-06                 	7.0141534152e-06                 	5.6241171010e-01                 	9.2680325592e-01                 
1.9659420000e-01	5.0653466215e+02	1.6028520709e-05                 	9.0141740295e-06                 	7.0143466791e-06                 	5.6238340352e-01                 	9.2683417707e-01                 
1.9664060000e-01	5.0641513847e+02	1.6027853419e-05                 	9.0134185888e-06                 	7.0144348305e-06                 	5.6235968430e-01                 	9.2686087565e-01                 
1.9668700000e-01	5.0629567118e+02	1.6027341255e-05                 	9.0127560675e-06                 	7.0145851876e-06                 	5.6233631792e-01                 	9.2689055556e-01                 
1.9673340000e-01	5.0617626024e+02	1.6027133564e-05                 	9.0125025951e-06                 	7.0146309688e-06                 	5.6232778988e-01                 	9.2691998471e-01                 
1.9677990000e-01	5.0605664845e+02	1.6027351445e-05                 	9.0126277426e-06                 	7.0147237022e-06                 	5.6232795379e-01                 	9.2695248484e-01                 
1.9682640000e-01	5.0593709318e+02	1.6027955793e-05                 	9.0131404778e-06                 	7.0148153149e-06                 	5.6233874078e-01                 	9.2698907818e-01                 
1.9687290000e-01	5.0581759438e+02	1.6028785853e-05                 	9.0139071787e-06                 	7.0148786747e-06                 	5.6235745247e-01                 	9.2702608957e-01                 
1.9691940000e-01	5.0569815202e+02	1.6029637048e-05                 	9.0147235481e-06                 	7.0149135002e-06                 	5.6237851930e-01                 	9.2706214866e-01                 
1.9696590000e-01	5.0557876605e+02	1.6030274967e-05                 	9.0153433532e-06                 	7.0149316142e-06                 	5.6239480430e-01                 	9.2709580181e-01                 
1.9701250000e-01	5.0545917988e+02	1.6030514344e-05                 	9.0155956999e-06                 	7.0149186436e-06                 	5.6240214797e-01                 	9.2712450113e-01                 
1.9705950000e-01	5.0533862451e+02	1.6030288160e-05                 	9.0154155409e-06                 	7.0148726186e-06                 	5.6239884469e-01                 	9.2714846601e-01                 
1.9710610000e-01	5.0521915190e+02	1.6029649609e-05                 	9.0146981417e-06                 	7.0149514675e-06                 	5.6237649365e-01                 	9.2717264370e-01                 
1.9715270000e-01	5.0509973577e+02	1.6028755167e-05                 	9.0138822573e-06                 	7.0148729095e-06                 	5.6235697430e-01                 	9.2719023288e-01                 
1.9719940000e-01	5.0498012000e+02	1.6027860359e-05                 	9.0131189086e-06                 	7.0147414503e-06                 	5.6234074335e-01                 	9.2720490013e-01                 
1.9724610000e-01	5.0486056088e+02	1.6027197821e-05                 	9.0126128075e-06                 	7.0145850138e-06                 	5.6233241194e-01                 	9.2722111861e-01                 
1.9729270000e-01	5.0474131418e+02	1.6026987189e-05                 	9.0123962012e-06                 	7.0145909880e-06                 	5.6232628721e-01                 	9.2724605496e-01                 
1.9733950000e-01	5.0462161238e+02	1.6027277450e-05                 	9.0128984642e-06                 	7.0143789856e-06                 	5.6234744125e-01                 	9.2726806090e-01                 
1.9738620000e-01	5.0450222294e+02	1.6028055175e-05                 	9.0137301426e-06                 	7.0143250321e-06                 	5.6237204354e-01                 	9.2729792404e-01                 
1.9743300000e-01	5.0438263450e+02	1.6029109440e-05                 	9.0150621891e-06                 	7.0140472506e-06                 	5.6241815698e-01                 	9.2732286643e-01                 
1.9747980000e-01	5.0426310274e+02	1.6030248349e-05                 	9.0162824012e-06                 	7.0139659479e-06                 	5.6245431792e-01                 	9.2735596502e-01                 
1.9752660000e-01	5.0414362763e+02	1.6031156186e-05                 	9.0173177389e-06                 	7.0138384476e-06                 	5.6248704922e-01                 	9.2738409342e-01                 
1.9757340000e-01	5.0402420911e+02	1.6031657782e-05                 	9.0181957868e-06                 	7.0134619952e-06                 	5.6252421985e-01                 	9.2740092467e-01                 
1.9762030000e-01	5.0390459217e+02	1.6031576918e-05                 	9.0182674296e-06                 	7.0133094884e-06                 	5.6253152611e-01                 	9.2742082770e-01                 
