#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
9.0006520000e-02	1.7535004933e+03	3.9892951435e-05                 	2.5877912558e-05                 	1.4015038877e-05                 	6.4868383078e-01                 	8.4807218639e-01                 
9.0635180000e-02	1.7413379354e+03	3.9895455139e-05                 	2.5643149225e-05                 	1.4252305914e-05                 	6.4275865849e-01                 	8.5236770124e-01                 
9.1165710000e-02	1.7312043883e+03	3.9897732372e-05                 	2.5449495757e-05                 	1.4448236615e-05                 	6.3786822568e-01                 	8.5585502195e-01                 
9.1702480000e-02	1.7210709810e+03	3.9900464819e-05                 	2.5325212438e-05                 	1.4575252381e-05                 	6.3470970960e-01                 	8.5699941243e-01                 
9.2464930000e-02	1.7068793241e+03	3.9903586358e-05                 	2.5234639190e-05                 	1.4668947168e-05                 	6.3239025595e-01                 	8.5741054759e-01                 
9.3128530000e-02	1.6947167234e+03	3.9906474601e-05                 	2.5167731870e-05                 	1.4738742731e-05                 	6.3066788338e-01                 	8.5735242820e-01                 
9.3801730000e-02	1.6825540128e+03	3.9908932994e-05                 	2.5077487994e-05                 	1.4831445000e-05                 	6.2836778917e-01                 	8.5860440056e-01                 
9.4715070000e-02	1.6663290986e+03	3.9912079211e-05                 	2.5096267934e-05                 	1.4815811277e-05                 	6.2878878851e-01                 	8.5645941065e-01                 
9.5881710000e-02	1.6460540516e+03	3.9915749851e-05                 	2.5003180105e-05                 	1.4912569746e-05                 	6.2639885756e-01                 	8.5764312399e-01                 
9.7564280000e-02	1.6176666011e+03	3.9920692392e-05                 	2.4907720227e-05                 	1.5012972165e-05                 	6.2393006571e-01                 	8.5870222611e-01                 
9.8928300000e-02	1.5953622696e+03	3.9924727999e-05                 	2.4856528886e-05                 	1.5068199113e-05                 	6.2258480224e-01                 	8.5882938921e-01                 
1.0007310000e-01	1.5771119034e+03	3.9927852477e-05                 	2.4812343105e-05                 	1.5115509373e-05                 	6.2142944248e-01                 	8.5926756740e-01                 
1.0177430000e-01	1.5507498182e+03	3.9932317987e-05                 	2.4761718103e-05                 	1.5170599884e-05                 	6.2009217974e-01                 	8.5967412322e-01                 
1.0353460000e-01	1.5243838989e+03	3.9936910049e-05                 	2.4774401127e-05                 	1.5162508922e-05                 	6.2033845624e-01                 	8.5818192733e-01                 
