#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.1328060000e-02	1.5203194409e+03	6.3154094799e-06                 	3.4740748669e-06                 	2.8413346130e-06                 	5.5009495076e-01                 	9.7956686682e-01                 
4.1708890000e-02	1.5064379098e+03	6.3149245538e-06                 	3.3221762987e-06                 	2.9927482551e-06                 	5.2608329211e-01                 	9.9069887022e-01                 
4.2093230000e-02	1.4926831006e+03	6.3140047187e-06                 	3.4322054263e-06                 	2.8817992924e-06                 	5.4358613577e-01                 	9.8437718372e-01                 
4.2481100000e-02	1.4790542870e+03	6.3166510977e-06                 	3.7206418550e-06                 	2.5960092427e-06                 	5.8902127052e-01                 	9.6022927229e-01                 
4.2872560000e-02	1.4655493647e+03	6.3170397857e-06                 	3.6736116110e-06                 	2.6434281747e-06                 	5.8154004654e-01                 	9.6307059466e-01                 
4.3267610000e-02	1.4521683327e+03	6.3168728460e-06                 	3.6142371028e-06                 	2.7026357432e-06                 	5.7215606376e-01                 	9.6829667743e-01                 
4.3666310000e-02	1.4389091515e+03	6.3165836755e-06                 	3.5752970780e-06                 	2.7412865975e-06                 	5.6601752809e-01                 	9.7205613997e-01                 
4.4068690000e-02	1.4257708380e+03	6.3168368755e-06                 	3.6315557403e-06                 	2.6852811351e-06                 	5.7490098477e-01                 	9.6787902918e-01                 
4.4474770000e-02	1.4127527376e+03	6.3175538069e-06                 	3.7290807048e-06                 	2.5884731020e-06                 	5.9027288391e-01                 	9.5940631345e-01                 
4.4884590000e-02	1.3998535594e+03	6.3182482827e-06                 	3.8119837599e-06                 	2.5062645228e-06                 	6.0332921236e-01                 	9.5150924305e-01                 
4.5298190000e-02	1.3870720457e+03	6.3188203970e-06                 	3.8775243297e-06                 	2.4412960673e-06                 	6.1364686540e-01                 	9.4494636112e-01                 
4.5715600000e-02	1.3744072717e+03	6.3195642967e-06                 	3.9830176468e-06                 	2.3365466499e-06                 	6.3026776211e-01                 	9.3402050017e-01                 
4.6136860000e-02	1.3618580257e+03	6.3200777465e-06                 	4.0162323104e-06                 	2.3038454361e-06                 	6.3547197858e-01                 	9.2965053514e-01                 
4.6562000000e-02	1.3494234155e+03	6.3204823050e-06                 	4.0390092216e-06                 	2.2814730834e-06                 	6.3903497023e-01                 	9.2660882297e-01                 
4.6991050000e-02	1.3371025562e+03	6.3207882732e-06                 	4.0516862581e-06                 	2.2691020151e-06                 	6.4100964674e-01                 	9.2491385684e-01                 
4.7424060000e-02	1.3248940110e+03	6.3214313272e-06                 	4.1647692766e-06                 	2.1566620507e-06                 	6.5883327066e-01                 	9.1247223775e-01                 
4.7861060000e-02	1.3127969391e+03	6.3220106724e-06                 	4.2093866788e-06                 	2.1126239936e-06                 	6.6583036583e-01                 	9.0602939983e-01                 
4.8302090000e-02	1.3008102356e+03	6.3222558909e-06                 	4.1495809597e-06                 	2.1726749312e-06                 	6.5634498687e-01                 	9.1118395171e-01                 
4.8747180000e-02	1.2889330844e+03	6.3225562893e-06                 	4.1615469333e-06                 	2.1610093560e-06                 	6.5820638724e-01                 	9.0948002613e-01                 
4.9196370000e-02	1.2771644142e+03	6.3229195397e-06                 	4.1806396102e-06                 	2.1422799295e-06                 	6.6118817169e-01                 	9.0671242541e-01                 
4.9649710000e-02	1.2655029218e+03	6.3232965586e-06                 	4.2013230624e-06                 	2.1219734962e-06                 	6.6441974111e-01                 	9.0367922623e-01                 
5.0107210000e-02	1.2539483454e+03	6.3236945192e-06                 	4.2245137695e-06                 	2.0991807497e-06                 	6.6804519994e-01                 	9.0023455718e-01                 
5.0568940000e-02	1.2424989148e+03	6.3241136580e-06                 	4.2503472615e-06                 	2.0737663965e-06                 	6.7208584338e-01                 	8.9634505708e-01                 
5.1034920000e-02	1.2311541406e+03	6.3245834938e-06                 	4.2826406833e-06                 	2.0419428106e-06                 	6.7714193155e-01                 	8.9140232327e-01                 
