#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.7690000000e-02	2.0881060191e+04	1.5801609861e-03                 	9.0172431385e-04                 	6.7843667226e-04                 	5.7065344720e-01                 	9.5433502210e-01                 
4.8420000000e-02	2.0566248668e+04	1.5801912656e-03                 	9.0626498928e-04                 	6.7392627635e-04                 	5.7351600973e-01                 	9.4992140087e-01                 
4.8800000000e-02	2.0406101649e+04	1.5801985476e-03                 	9.0036615920e-04                 	6.7983238839e-04                 	5.6978039916e-01                 	9.5320491690e-01                 
4.9190000000e-02	2.0244313082e+04	1.5802130988e-03                 	9.0010130094e-04                 	6.8011179783e-04                 	5.6960754321e-01                 	9.5246094987e-01                 
4.9590000000e-02	2.0081019570e+04	1.5802231853e-03                 	9.0011078032e-04                 	6.8011240495e-04                 	5.6960990619e-01                 	9.5246146085e-01                 
4.9790000000e-02	2.0000356708e+04	1.5802303330e-03                 	9.0578489977e-04                 	6.7444543321e-04                 	5.7319802111e-01                 	9.4927902338e-01                 
5.0190000000e-02	1.9840959563e+04	1.5802403904e-03                 	9.0579439267e-04                 	6.7444599777e-04                 	5.7320038024e-01                 	9.4927956765e-01                 
5.1010000000e-02	1.9522010596e+04	1.5802758137e-03                 	9.1088711208e-04                 	6.6938870159e-04                 	5.7641020903e-01                 	9.4365059923e-01                 
5.1440000000e-02	1.9358821160e+04	1.5802907335e-03                 	9.1103759712e-04                 	6.6925313636e-04                 	5.7649999321e-01                 	9.4269944268e-01                 
5.1660000000e-02	1.9276379413e+04	1.5802990333e-03                 	9.0644440544e-04                 	6.7385462790e-04                 	5.7359043214e-01                 	9.4459994501e-01                 
5.1870000000e-02	1.9198337391e+04	1.5803043333e-03                 	9.0644931801e-04                 	6.7385501533e-04                 	5.7359161706e-01                 	9.4460024906e-01                 
5.2090000000e-02	1.9117253993e+04	1.5803129725e-03                 	9.0246469624e-04                 	6.7784827629e-04                 	5.7106706831e-01                 	9.4616661365e-01                 
5.2980000000e-02	1.8796107219e+04	1.5803291081e-03                 	8.9279655304e-04                 	6.8753255506e-04                 	5.6494343391e-01                 	9.5257152550e-01                 
5.3200000000e-02	1.8718378956e+04	1.5803297808e-03                 	8.9187617717e-04                 	6.8845360362e-04                 	5.6436079862e-01                 	9.5385463987e-01                 
