#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.0000000000e-03	1.5782733173e+02	4.4048500876e-13                 	2.0419956381e-13                 	2.3628544495e-13                 	4.6357891813e-01                 	9.9977804084e-01                 
1.0120000000e-03	1.5595586139e+02	4.5301848738e-13                 	2.0936569650e-13                 	2.4365279089e-13                 	4.6215706936e-01                 	9.9977312593e-01                 
1.0230000000e-03	1.5427891665e+02	4.6663766795e-13                 	2.1506845239e-13                 	2.5156921556e-13                 	4.6088960914e-01                 	9.9976861969e-01                 
1.0350000000e-03	1.5249017559e+02	4.7994875598e-13                 	2.2056699442e-13                 	2.5938176155e-13                 	4.5956363398e-01                 	9.9976369857e-01                 
1.0470000000e-03	1.5074243718e+02	4.9359876643e-13                 	2.2627401187e-13                 	2.6732475456e-13                 	4.5841689092e-01                 	9.9975873573e-01                 
1.0590000000e-03	1.4903430758e+02	5.0781585893e-13                 	2.3219003783e-13                 	2.7562582111e-13                 	4.5723274243e-01                 	9.9975370552e-01                 
1.0720000000e-03	1.4722698856e+02	5.2203585116e-13                 	2.3787366932e-13                 	2.8416218185e-13                 	4.5566538924e-01                 	9.9974817834e-01                 
1.0840000000e-03	1.4559716949e+02	5.3757828751e-13                 	2.4429240733e-13                 	2.9328588019e-13                 	4.5443131354e-01                 	9.9974301269e-01                 
1.0960000000e-03	1.4400303990e+02	5.5355948653e-13                 	2.5083198178e-13                 	3.0272750475e-13                 	4.5312561320e-01                 	9.9973780516e-01                 
1.1090000000e-03	1.4231499705e+02	5.6931776514e-13                 	2.5712108061e-13                 	3.1219668452e-13                 	4.5163017274e-01                 	9.9973208572e-01                 
1.1220000000e-03	1.4066607106e+02	5.8555952712e-13                 	2.6360858181e-13                 	3.2195094531e-13                 	4.5018238044e-01                 	9.9972631585e-01                 
1.1350000000e-03	1.3905491782e+02	6.0258072913e-13                 	2.7038493008e-13                 	3.3219579904e-13                 	4.4871154522e-01                 	9.9972050389e-01                 
1.1480000000e-03	1.3748025412e+02	6.2036405608e-13                 	2.7745062475e-13                 	3.4291343134e-13                 	4.4723839498e-01                 	9.9971465071e-01                 
1.1610000000e-03	1.3594085420e+02	6.3864228957e-13                 	2.8462569074e-13                 	3.5401659883e-13                 	4.4567310275e-01                 	9.9970875576e-01                 
1.1750000000e-03	1.3432113339e+02	6.5664179788e-13                 	2.9159717464e-13                 	3.6504462324e-13                 	4.4407342875e-01                 	9.9970231767e-01                 
