#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.9590000000e-02	2.0081019570e+04	1.5802602163e-03                 	8.9058683569e-04                 	6.8967338057e-04                 	5.6356973777e-01                 	9.5076737137e-01                 
5.1660000000e-02	1.9276379413e+04	1.5803266266e-03                 	9.0432613001e-04                 	6.7600049659e-04                 	5.7224001342e-01                 	9.4008759603e-01                 
5.3910000000e-02	1.8471856065e+04	1.5803992865e-03                 	9.1362205517e-04                 	6.6677723130e-04                 	5.7809571479e-01                 	9.3106277496e-01                 
5.5100000000e-02	1.8072917613e+04	1.5804376946e-03                 	9.1714627806e-04                 	6.6329141652e-04                 	5.8031156888e-01                 	9.2699137435e-01                 
5.6360000000e-02	1.7668874388e+04	1.5804767221e-03                 	9.1908780553e-04                 	6.6138891662e-04                 	5.8152568314e-01                 	9.2417139942e-01                 
5.7670000000e-02	1.7267517955e+04	1.5805170307e-03                 	9.2142741656e-04                 	6.5908961412e-04                 	5.8299113434e-01                 	9.2103705321e-01                 
5.9040000000e-02	1.6866831987e+04	1.5805586686e-03                 	9.2330324908e-04                 	6.5725541951e-04                 	5.8416259227e-01                 	9.1823092329e-01                 
6.0480000000e-02	1.6465240749e+04	1.5806018806e-03                 	9.2492219533e-04                 	6.5567968523e-04                 	5.8517088124e-01                 	9.1562434021e-01                 
6.1990000000e-02	1.6064167777e+04	1.5806467226e-03                 	9.2632280467e-04                 	6.5432391794e-04                 	5.8604037918e-01                 	9.1318451676e-01                 
6.3580000000e-02	1.5662437252e+04	1.5806932413e-03                 	9.2734632586e-04                 	6.5334691544e-04                 	5.8667064655e-01                 	9.1107601950e-01                 
6.5260000000e-02	1.5259236293e+04	1.5807419464e-03                 	9.2836840065e-04                 	6.5237354579e-04                 	5.8729914945e-01                 	9.0896912686e-01                 
6.7020000000e-02	1.4858516271e+04	1.5807924886e-03                 	9.2908388300e-04                 	6.5170860564e-04                 	5.8773298183e-01                 	9.0711075025e-01                 
6.8880000000e-02	1.4457284560e+04	1.5808449317e-03                 	9.2929127931e-04                 	6.5155365238e-04                 	5.8784467767e-01                 	9.0573896468e-01                 
7.0850000000e-02	1.4055296549e+04	1.5808998777e-03                 	9.2966288101e-04                 	6.5123699671e-04                 	5.8805930351e-01                 	9.0426558838e-01                 
7.2930000000e-02	1.3654432476e+04	1.5809574316e-03                 	9.2993239802e-04                 	6.5102503361e-04                 	5.8820837261e-01                 	9.0286703997e-01                 
7.5140000000e-02	1.3252831521e+04	1.5810176057e-03                 	9.2975984603e-04                 	6.5125775966e-04                 	5.8807684537e-01                 	9.0188696758e-01                 
7.7490000000e-02	1.2850919609e+04	1.5810807086e-03                 	9.2939713974e-04                 	6.5168356883e-04                 	5.8782397047e-01                 	9.0110667609e-01                 
7.9990000000e-02	1.2449278166e+04	1.5811466695e-03                 	9.2862716409e-04                 	6.5251950541e-04                 	5.8731247518e-01                 	9.0073712543e-01                 
8.2660000000e-02	1.2047154131e+04	1.5812159988e-03                 	9.2757655682e-04                 	6.5363944200e-04                 	5.8662229418e-01                 	9.0065752211e-01                 
8.5510000000e-02	1.1645629289e+04	1.5812882959e-03                 	9.2612017648e-04                 	6.5516811939e-04                 	5.8567446486e-01                 	9.0105008151e-01                 
8.8560000000e-02	1.1244554658e+04	1.5813639956e-03                 	9.2448974787e-04                 	6.5687424775e-04                 	5.8461540191e-01                 	9.0170998102e-01                 
