#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.7690000000e-02	1.0465320746e+04	3.9721918211e-04                 	2.5427269006e-04                 	1.4294649204e-04                 	6.4013195112e-01                 	8.6593789079e-01                 
4.8620000000e-02	1.0265140814e+04	3.9723169925e-04                 	2.5202653647e-04                 	1.4520516277e-04                 	6.3445726248e-01                 	8.6903899931e-01                 
4.9590000000e-02	1.0064350603e+04	3.9724439871e-04                 	2.5115438284e-04                 	1.4609001587e-04                 	6.3224147063e-01                 	8.6905621878e-01                 
5.0610000000e-02	9.8615124754e+03	3.9725797102e-04                 	2.5079238006e-04                 	1.4646559095e-04                 	6.3130861646e-01                 	8.6756289396e-01                 
5.1660000000e-02	9.6610752300e+03	3.9727165178e-04                 	2.4998518586e-04                 	1.4728646593e-04                 	6.2925503175e-01                 	8.6760946029e-01                 
5.2760000000e-02	9.4596502347e+03	3.9728565995e-04                 	2.4930269327e-04                 	1.4798296669e-04                 	6.2751495560e-01                 	8.6760632023e-01                 
5.3910000000e-02	9.2578584007e+03	3.9730017874e-04                 	2.4885786409e-04                 	1.4844231465e-04                 	6.2637239399e-01                 	8.6705106085e-01                 
5.5100000000e-02	9.0579155423e+03	3.9731529395e-04                 	2.4862904703e-04                 	1.4868624692e-04                 	6.2577265667e-01                 	8.6584479316e-01                 
5.6360000000e-02	8.8554142367e+03	3.9733105840e-04                 	2.4829410664e-04                 	1.4903695175e-04                 	6.2490485301e-01                 	8.6507841699e-01                 
5.7670000000e-02	8.6542595176e+03	3.9734748008e-04                 	2.4819264120e-04                 	1.4915483888e-04                 	6.2462366982e-01                 	8.6361836096e-01                 
5.9040000000e-02	8.4534408262e+03	3.9736475522e-04                 	2.4812677307e-04                 	1.4923798215e-04                 	6.2443075238e-01                 	8.6198509840e-01                 
6.0480000000e-02	8.2521684256e+03	3.9738255342e-04                 	2.4777983105e-04                 	1.4960272236e-04                 	6.2352971695e-01                 	8.6136897620e-01                 
6.1990000000e-02	8.0511557732e+03	3.9740105630e-04                 	2.4763674434e-04                 	1.4976431196e-04                 	6.2314062938e-01                 	8.6021017927e-01                 
6.3580000000e-02	7.8498135637e+03	3.9742062598e-04                 	2.4772164011e-04                 	1.4969898587e-04                 	6.2332356177e-01                 	8.5828677155e-01                 
6.5260000000e-02	7.6477343914e+03	3.9744138177e-04                 	2.4789527249e-04                 	1.4954610928e-04                 	6.2372788508e-01                 	8.5601179707e-01                 
6.7020000000e-02	7.4468986330e+03	3.9746323761e-04                 	2.4816043239e-04                 	1.4930280522e-04                 	6.2436071795e-01                 	8.5337452804e-01                 
6.8880000000e-02	7.2458064225e+03	3.9748676523e-04                 	2.4879112921e-04                 	1.4869563602e-04                 	6.2591047292e-01                 	8.4938092841e-01                 
6.9850000000e-02	7.1451846297e+03	3.9750021789e-04                 	2.4971702388e-04                 	1.4778319401e-04                 	6.2821858364e-01                 	8.4499203559e-01                 
7.0850000000e-02	7.0443351642e+03	3.9751462143e-04                 	2.5002012816e-04                 	1.4749449327e-04                 	6.2895831921e-01                 	8.4227632573e-01                 
7.1250000000e-02	7.0047880194e+03	3.9752036478e-04                 	2.4973553642e-04                 	1.4778482836e-04                 	6.2823331468e-01                 	8.4245229478e-01                 
7.1870000000e-02	6.9443599051e+03	3.9752884269e-04                 	2.4900105584e-04                 	1.4852778685e-04                 	6.2637230081e-01                 	8.4381077895e-01                 
7.2930000000e-02	6.8434272094e+03	3.9754088346e-04                 	2.4652319607e-04                 	1.5101768739e-04                 	6.2012036076e-01                 	8.5091695260e-01                 
7.4020000000e-02	6.7426526126e+03	3.9755163322e-04                 	2.4405302602e-04                 	1.5349860720e-04                 	6.1389013560e-01                 	8.5867404770e-01                 
7.5140000000e-02	6.6421499385e+03	3.9756157646e-04                 	2.4174303757e-04                 	1.5581853890e-04                 	6.0806439022e-01                 	8.6639241530e-01                 
7.6290000000e-02	6.5420257751e+03	3.9757069139e-04                 	2.3958204687e-04                 	1.5798864452e-04                 	6.0261496145e-01                 	8.7408982405e-01                 
7.7490000000e-02	6.4407168200e+03	3.9757963156e-04                 	2.3803584280e-04                 	1.5954378875e-04                 	5.9871236831e-01                 	8.8008342292e-01                 
7.8720000000e-02	6.3400806197e+03	3.9759067126e-04                 	2.3797123664e-04                 	1.5961943462e-04                 	5.9853325001e-01                 	8.8067098832e-01                 
7.9990000000e-02	6.2394192572e+03	3.9760250532e-04                 	2.3806963245e-04                 	1.5953287286e-04                 	5.9876290835e-01                 	8.8056073985e-01                 
8.1300000000e-02	6.1388824893e+03	3.9761570674e-04                 	2.3889090533e-04                 	1.5872480141e-04                 	6.0080852261e-01                 	8.7779113725e-01                 
8.2660000000e-02	6.0378798256e+03	3.9763111861e-04                 	2.4051341507e-04                 	1.5711770353e-04                 	6.0486567529e-01                 	8.7187900297e-01                 
8.3770000000e-02	5.9578744942e+03	3.9764581865e-04                 	2.4262310240e-04                 	1.5502271625e-04                 	6.1014875807e-01                 	8.6386154479e-01                 
8.4920000000e-02	5.8771920205e+03	3.9766349949e-04                 	2.4503932176e-04                 	1.5262417773e-04                 	6.1619766982e-01                 	8.5402274118e-01                 
8.6100000000e-02	5.7966451380e+03	3.9768133333e-04                 	2.4602838750e-04                 	1.5165294583e-04                 	6.1865711785e-01                 	8.4867721511e-01                 
8.6700000000e-02	5.7565299467e+03	3.9768992633e-04                 	2.4586408476e-04                 	1.5182584157e-04                 	6.1823060753e-01                 	8.4815439143e-01                 
8.7310000000e-02	5.7163113776e+03	3.9769679055e-04                 	2.4480708453e-04                 	1.5288970601e-04                 	6.1556213264e-01                 	8.5099159681e-01                 
8.8560000000e-02	5.6356272175e+03	3.9770753526e-04                 	2.4213949206e-04                 	1.5556804320e-04                 	6.0883807971e-01                 	8.5954759570e-01                 
8.9840000000e-02	5.5553333302e+03	3.9771542705e-04                 	2.3911075009e-04                 	1.5860467696e-04                 	6.0121064919e-01                 	8.7047094178e-01                 
9.1160000000e-02	5.4748919085e+03	3.9772306723e-04                 	2.3686901568e-04                 	1.6085405154e-04                 	5.9556267967e-01                 	8.7930144735e-01                 
9.2520000000e-02	5.3944136012e+03	3.9773352500e-04                 	2.3623924200e-04                 	1.6149428300e-04                 	5.9396361421e-01                 	8.8216868490e-01                 
9.3920000000e-02	5.3140028363e+03	3.9774525072e-04                 	2.3604317590e-04                 	1.6170207483e-04                 	5.9345315995e-01                 	8.8329676978e-01                 
9.5370000000e-02	5.2332090425e+03	3.9775782302e-04                 	2.3621056238e-04                 	1.6154726064e-04                 	5.9385522726e-01                 	8.8311110478e-01                 
9.6860000000e-02	5.1527064462e+03	3.9777283152e-04                 	2.3736780217e-04                 	1.6040502935e-04                 	5.9674211853e-01                 	8.7908837080e-01                 
9.8390000000e-02	5.0725800018e+03	3.9779003376e-04                 	2.3907745757e-04                 	1.5871257619e-04                 	6.0101419665e-01                 	8.7273596858e-01                 
9.9980000000e-02	4.9919098458e+03	3.9780961256e-04                 	2.4124140068e-04                 	1.5656821188e-04                 	6.0642426191e-01                 	8.6441041790e-01                 
1.0160000000e-01	4.9123144329e+03	3.9783216182e-04                 	2.4397620486e-04                 	1.5385595697e-04                 	6.1326415577e-01                 	8.5351659449e-01                 
1.0330000000e-01	4.8314728595e+03	3.9785597384e-04                 	2.4614534423e-04                 	1.5171062960e-04                 	6.1867952329e-01                 	8.4422590683e-01                 
