#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.5498020000e-02	3.2203542542e+04	3.9677640557e-04                 	2.1680697934e-04                 	1.7996942623e-04                 	5.4642104797e-01                 	9.8470707071e-01                 
1.6531220000e-02	3.0190823568e+04	3.9679280673e-04                 	2.2041425295e-04                 	1.7637855378e-04                 	5.5548953815e-01                 	9.8039529306e-01                 
1.7712030000e-02	2.8178088360e+04	3.9681324911e-04                 	2.2554611394e-04                 	1.7126713516e-04                 	5.6839360695e-01                 	9.7284983678e-01                 
1.9074490000e-02	2.6165373039e+04	3.9683780830e-04                 	2.3149274081e-04                 	1.6534506750e-04                 	5.8334346165e-01                 	9.6153465367e-01                 
2.0664030000e-02	2.4152653010e+04	3.9686655033e-04                 	2.3769002349e-04                 	1.5917652684e-04                 	5.9891674744e-01                 	9.4587750725e-01                 
2.2542580000e-02	2.2139930140e+04	3.9690193399e-04                 	2.4006886773e-04                 	1.5683306626e-04                 	6.0485688572e-01                 	9.2901772896e-01                 
2.4796840000e-02	2.0127207595e+04	3.9694029974e-04                 	2.3444079938e-04                 	1.6249950036e-04                 	5.9061979731e-01                 	9.2881976334e-01                 
2.7552040000e-02	1.8114489758e+04	3.9698441121e-04                 	2.2845534571e-04                 	1.6852906550e-04                 	5.7547686826e-01                 	9.3439830331e-01                 
3.0996050000e-02	1.6101766076e+04	3.9701686350e-04                 	2.1531874753e-04                 	1.8169811597e-04                 	5.4234156613e-01                 	9.7128546350e-01                 
3.2627420000e-02	1.5296678266e+04	3.9704066812e-04                 	2.1549684021e-04                 	1.8154382791e-04                 	5.4275760019e-01                 	9.6959651571e-01                 
3.4440050000e-02	1.4491591806e+04	3.9705424800e-04                 	2.1359620999e-04                 	1.8345803801e-04                 	5.3795220947e-01                 	9.7574854028e-01                 
3.6465940000e-02	1.3686501606e+04	3.9706672604e-04                 	2.1271169967e-04                 	1.8435502637e-04                 	5.3570769274e-01                 	9.7948267673e-01                 
3.8745060000e-02	1.2881413692e+04	3.9708388076e-04                 	2.1715478455e-04                 	1.7992909621e-04                 	5.4687383465e-01                 	9.7291619824e-01                 
4.1328060000e-02	1.2076326505e+04	3.9712070493e-04                 	2.2845326409e-04                 	1.6866744085e-04                 	5.7527412006e-01                 	9.4865823847e-01                 
4.4280070000e-02	1.1271236617e+04	3.9716366806e-04                 	2.3708505736e-04                 	1.6007861070e-04                 	5.9694548224e-01                 	9.2387504969e-01                 
4.7686230000e-02	1.0466148118e+04	3.9721225773e-04                 	2.4547838577e-04                 	1.5173387196e-04                 	6.1800304747e-01                 	8.9435130547e-01                 
5.1660080000e-02	9.6610602690e+03	3.9726649410e-04                 	2.5548510747e-04                 	1.4178138663e-04                 	6.4310761482e-01                 	8.5707986671e-01                 
5.6356450000e-02	8.8559720561e+03	3.9733288495e-04                 	2.6554452763e-04                 	1.3178835731e-04                 	6.6831751837e-01                 	8.1422232477e-01                 
6.1992090000e-02	8.0508843367e+03	3.9740784818e-04                 	2.6388127199e-04                 	1.3352657619e-04                 	6.6400619213e-01                 	8.0840406238e-01                 
6.5254840000e-02	7.6483391329e+03	3.9744733565e-04                 	2.6066035461e-04                 	1.3678698104e-04                 	6.5583621081e-01                 	8.1482407097e-01                 
6.8880100000e-02	7.2457959030e+03	3.9748779142e-04                 	2.5786938948e-04                 	1.3961840193e-04                 	6.4874794913e-01                 	8.2149069093e-01                 
7.2931870000e-02	6.8432517414e+03	3.9753171870e-04                 	2.5671204502e-04                 	1.4081967369e-04                 	6.4576493632e-01                 	8.2361147612e-01                 
7.7490120000e-02	6.4407068460e+03	3.9758161549e-04                 	2.5878112378e-04                 	1.3880049171e-04                 	6.5088805340e-01                 	8.1560717570e-01                 
8.2656120000e-02	6.0381632525e+03	3.9764410470e-04                 	2.6359717611e-04                 	1.3404692859e-04                 	6.6289723145e-01                 	7.9722445517e-01                 
8.8560130000e-02	5.6356189448e+03	3.9771582997e-04                 	2.6039233824e-04                 	1.3732349172e-04                 	6.5471957267e-01                 	8.0209990496e-01                 
9.5372450000e-02	5.2330746078e+03	3.9777703844e-04                 	2.5058122193e-04                 	1.4719581651e-04                 	6.2995396344e-01                 	8.3261236053e-01                 
1.0332020000e-01	4.8305282644e+03	3.9782658235e-04                 	2.4139998219e-04                 	1.5642660016e-04                 	6.0679701383e-01                 	8.6816537893e-01                 
1.1271290000e-01	4.4279860281e+03	3.9790320532e-04                 	2.5510089121e-04                 	1.4280231411e-04                 	6.4111293349e-01                 	8.2794144572e-01                 
1.2398420000e-01	4.0254415190e+03	3.9805766940e-04                 	2.7653852943e-04                 	1.2151913998e-04                 	6.9471976219e-01                 	7.5366307917e-01                 
1.3050970000e-01	3.8241689804e+03	3.9813478123e-04                 	2.7428541528e-04                 	1.2384936595e-04                 	6.8892603261e-01                 	7.5631826153e-01                 
1.3776020000e-01	3.6228979515e+03	3.9819499490e-04                 	2.6990574643e-04                 	1.2828924847e-04                 	6.7782305123e-01                 	7.6908136115e-01                 
