#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.2018110000e-01	8.2860120213e-01	1.6319951404e-11                 	5.7491810012e-12                 	1.0570770403e-11                 	3.5227929660e-01                 	1.8796727319e-01                 
1.2087500000e-01	8.2384449997e-01	1.6177328145e-11                 	5.6543649419e-12                 	1.0522963203e-11                 	3.4952403087e-01                 	1.8503223475e-01                 
1.2157280000e-01	8.1911582141e-01	1.6040333714e-11                 	5.5620073506e-12                 	1.0478326364e-11                 	3.4675134880e-01                 	1.8208493498e-01                 
1.2227460000e-01	8.1441447311e-01	1.5908989501e-11                 	5.4721236551e-12                 	1.0436865846e-11                 	3.4396425082e-01                 	1.7912587752e-01                 
1.2298050000e-01	8.0973978747e-01	1.5783287152e-11                 	5.3847200840e-12                 	1.0398567068e-11                 	3.4116594547e-01                 	1.7615557649e-01                 
1.2369050000e-01	8.0509177288e-01	1.5663226065e-11                 	5.2998206354e-12                 	1.0363405430e-11                 	3.3836073190e-01                 	1.7317519407e-01                 
1.2440460000e-01	8.0047043223e-01	1.5548755977e-11                 	5.2174266187e-12                 	1.0331329358e-11                 	3.3555267228e-01                 	1.7018574228e-01                 
1.2512280000e-01	7.9587576312e-01	1.5439801730e-11                 	5.1375399181e-12                 	1.0302261812e-11                 	3.3274649558e-01                 	1.6718861896e-01                 
1.2584510000e-01	7.9130775798e-01	1.5336247078e-11                 	5.0601487198e-12                 	1.0276098358e-11                 	3.2994700034e-01                 	1.6418533188e-01                 
1.2657160000e-01	7.8676578264e-01	1.5237907604e-11                 	4.9852155635e-12                 	1.0252692041e-11                 	3.2715879982e-01                 	1.6117739437e-01                 
1.2730230000e-01	7.8224984100e-01	1.5144583302e-11                 	4.9127026169e-12                 	1.0231880685e-11                 	3.2438678034e-01                 	1.5816675399e-01                 
1.2803720000e-01	7.7775993175e-01	1.5056047196e-11                 	4.8425695229e-12                 	1.0213477673e-11                 	3.2163618112e-01                 	1.5515573651e-01                 
1.2877640000e-01	7.7329544803e-01	1.4971985105e-11                 	4.7747353132e-12                 	1.0197249792e-11                 	3.1891130533e-01                 	1.5214659291e-01                 
