#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.0700000000e-02	6.0563298393e+03	2.5071585327e-05                 	1.3565058358e-05                 	1.1506526970e-05                 	5.4105307584e-01                 	9.8539281828e-01                 
2.0722167206e-02	6.0498511776e+03	2.5071641249e-05                 	1.3566984905e-05                 	1.1504656344e-05                 	5.4112871074e-01                 	9.8534368870e-01                 
2.0744358151e-02	6.0433794461e+03	2.5071697223e-05                 	1.3568908699e-05                 	1.1502788524e-05                 	5.4120423433e-01                 	9.8529449071e-01                 
2.0766572860e-02	6.0369146377e+03	2.5071753248e-05                 	1.3570829731e-05                 	1.1500923517e-05                 	5.4127964634e-01                 	9.8524522453e-01                 
2.0788811358e-02	6.0304567449e+03	2.5071809326e-05                 	1.3572747995e-05                 	1.1499061330e-05                 	5.4135494646e-01                 	9.8519589037e-01                 
2.0811073671e-02	6.0240057604e+03	2.5071865455e-05                 	1.3574663484e-05                 	1.1497201971e-05                 	5.4143013443e-01                 	9.8514648844e-01                 
2.0833359824e-02	6.0175616767e+03	2.5071921636e-05                 	1.3576576189e-05                 	1.1495345446e-05                 	5.4150520996e-01                 	9.8509701894e-01                 
2.0855669842e-02	6.0111244867e+03	2.5071977868e-05                 	1.3578486106e-05                 	1.1493491762e-05                 	5.4158017279e-01                 	9.8504748209e-01                 
2.0878003752e-02	6.0046941826e+03	2.5072034153e-05                 	1.3580393228e-05                 	1.1491640925e-05                 	5.4165502268e-01                 	9.8499787808e-01                 
2.0900361579e-02	5.9982707572e+03	2.5072090488e-05                 	1.3582297548e-05                 	1.1489792941e-05                 	5.4172975939e-01                 	9.8494820711e-01                 
2.0922743349e-02	5.9918542030e+03	2.5072146876e-05                 	1.3584199060e-05                 	1.1487947815e-05                 	5.4180438267e-01                 	9.8489846938e-01                 
2.0945149087e-02	5.9854445128e+03	2.5072203314e-05                 	1.3586097760e-05                 	1.1486105555e-05                 	5.4187889232e-01                 	9.8484866509e-01                 
2.0967578818e-02	5.9790416796e+03	2.5072259805e-05                 	1.3587993641e-05                 	1.1484266163e-05                 	5.4195328810e-01                 	9.8479879442e-01                 
2.0990032569e-02	5.9726456956e+03	2.5072316346e-05                 	1.3589886699e-05                 	1.1482429647e-05                 	5.4202756982e-01                 	9.8474885757e-01                 
2.1012510366e-02	5.9662565533e+03	2.5072372940e-05                 	1.3591776928e-05                 	1.1480596011e-05                 	5.4210173728e-01                 	9.8469885472e-01                 
2.1035012233e-02	5.9598742461e+03	2.5072429584e-05                 	1.3593664324e-05                 	1.1478765260e-05                 	5.4217579030e-01                 	9.8464878605e-01                 
2.1057538197e-02	5.9534987661e+03	2.5072486280e-05                 	1.3595548883e-05                 	1.1476937397e-05                 	5.4224972869e-01                 	9.8459865176e-01                 
2.1080088284e-02	5.9471301061e+03	2.5072543027e-05                 	1.3597430599e-05                 	1.1475112428e-05                 	5.4232355228e-01                 	9.8454845201e-01                 
2.1102662519e-02	5.9407682590e+03	2.5072599825e-05                 	1.3599309469e-05                 	1.1473290356e-05                 	5.4239726091e-01                 	9.8449818698e-01                 
2.1125260929e-02	5.9344132172e+03	2.5072656675e-05                 	1.3601185489e-05                 	1.1471471185e-05                 	5.4247085444e-01                 	9.8444785685e-01                 
2.1147883538e-02	5.9280649739e+03	2.5072713575e-05                 	1.3603058656e-05                 	1.1469654919e-05                 	5.4254433272e-01                 	9.8439746178e-01                 
2.1170530374e-02	5.9217235213e+03	2.5072770527e-05                 	1.3604928966e-05                 	1.1467841561e-05                 	5.4261769560e-01                 	9.8434700195e-01                 
2.1193201462e-02	5.9153888523e+03	2.5072827530e-05                 	1.3606796415e-05                 	1.1466031114e-05                 	5.4269094298e-01                 	9.8429647752e-01                 
2.1215896828e-02	5.9090609598e+03	2.5072884584e-05                 	1.3608661002e-05                 	1.1464223582e-05                 	5.4276407473e-01                 	9.8424588866e-01                 
2.1238616498e-02	5.9027398364e+03	2.5072941689e-05                 	1.3610522722e-05                 	1.1462418966e-05                 	5.4283709073e-01                 	9.8419523552e-01                 
2.1261360497e-02	5.8964254753e+03	2.5072998845e-05                 	1.3612381575e-05                 	1.1460617270e-05                 	5.4290999090e-01                 	9.8414451825e-01                 
2.1284128853e-02	5.8901178685e+03	2.5073056052e-05                 	1.3614237556e-05                 	1.1458818496e-05                 	5.4298277513e-01                 	9.8409373703e-01                 
2.1306921591e-02	5.8838170093e+03	2.5073113310e-05                 	1.3616090665e-05                 	1.1457022645e-05                 	5.4305544335e-01                 	9.8404289199e-01                 
2.1329738738e-02	5.8775228901e+03	2.5073170618e-05                 	1.3617940898e-05                 	1.1455229720e-05                 	5.4312799548e-01                 	9.8399198330e-01                 
2.1352580319e-02	5.8712355041e+03	2.5073227978e-05                 	1.3619788256e-05                 	1.1453439723e-05                 	5.4320043145e-01                 	9.8394101108e-01                 
2.1375446360e-02	5.8649548441e+03	2.5073285389e-05                 	1.3621632735e-05                 	1.1451652654e-05                 	5.4327275120e-01                 	9.8388997550e-01                 
2.1398336888e-02	5.8586809026e+03	2.5073342850e-05                 	1.3623474335e-05                 	1.1449868515e-05                 	5.4334495469e-01                 	9.8383887668e-01                 
2.1421251929e-02	5.8524136726e+03	2.5073400363e-05                 	1.3625313055e-05                 	1.1448087308e-05                 	5.4341704186e-01                 	9.8378771478e-01                 
2.1444191509e-02	5.8461531469e+03	2.5073457926e-05                 	1.3627148893e-05                 	1.1446309033e-05                 	5.4348901270e-01                 	9.8373648991e-01                 
2.1467155655e-02	5.8398993182e+03	2.5073515540e-05                 	1.3628981850e-05                 	1.1444533690e-05                 	5.4356086716e-01                 	9.8368520223e-01                 
2.1490144393e-02	5.8336521794e+03	2.5073573205e-05                 	1.3630811924e-05                 	1.1442761281e-05                 	5.4363260522e-01                 	9.8363385186e-01                 
2.1513157749e-02	5.8274117234e+03	2.5073630920e-05                 	1.3632639115e-05                 	1.1440991805e-05                 	5.4370422689e-01                 	9.8358243892e-01                 
2.1536195749e-02	5.8211779431e+03	2.5073688687e-05                 	1.3634463423e-05                 	1.1439225263e-05                 	5.4377573216e-01                 	9.8353096354e-01                 
2.1559258421e-02	5.8149508311e+03	2.5073746504e-05                 	1.3636284849e-05                 	1.1437461654e-05                 	5.4384712102e-01                 	9.8347942586e-01                 
2.1582345789e-02	5.8087303808e+03	2.5073804371e-05                 	1.3638103393e-05                 	1.1435700979e-05                 	5.4391839350e-01                 	9.8342782597e-01                 
2.1605457882e-02	5.8025165844e+03	2.5073862290e-05                 	1.3639919054e-05                 	1.1433943236e-05                 	5.4398954961e-01                 	9.8337616401e-01                 
2.1628594725e-02	5.7963094351e+03	2.5073920259e-05                 	1.3641731834e-05                 	1.1432188425e-05                 	5.4406058938e-01                 	9.8332444008e-01                 
2.1651756344e-02	5.7901089261e+03	2.5073978278e-05                 	1.3643541734e-05                 	1.1430436545e-05                 	5.4413151284e-01                 	9.8327265431e-01                 
2.1674942767e-02	5.7839150498e+03	2.5074036349e-05                 	1.3645348754e-05                 	1.1428687595e-05                 	5.4420232005e-01                 	9.8322080679e-01                 
2.1698154020e-02	5.7777277992e+03	2.5074094470e-05                 	1.3647152896e-05                 	1.1426941574e-05                 	5.4427301104e-01                 	9.8316889763e-01                 
2.1721390129e-02	5.7715471675e+03	2.5074152641e-05                 	1.3648954162e-05                 	1.1425198480e-05                 	5.4434358587e-01                 	9.8311692695e-01                 
2.1744651121e-02	5.7653731474e+03	2.5074210864e-05                 	1.3650752552e-05                 	1.1423458312e-05                 	5.4441404462e-01                 	9.8306489483e-01                 
2.1767937023e-02	5.7592057318e+03	2.5074269137e-05                 	1.3652548069e-05                 	1.1421721067e-05                 	5.4448438735e-01                 	9.8301280138e-01                 
2.1791247861e-02	5.7530449139e+03	2.5074327460e-05                 	1.3654340715e-05                 	1.1419986745e-05                 	5.4455461414e-01                 	9.8296064669e-01                 
2.1814583663e-02	5.7468906861e+03	2.5074385834e-05                 	1.3656130491e-05                 	1.1418255343e-05                 	5.4462472508e-01                 	9.8290843086e-01                 
2.1837944454e-02	5.7407430419e+03	2.5074444259e-05                 	1.3657917401e-05                 	1.1416526857e-05                 	5.4469472026e-01                 	9.8285615398e-01                 
2.1861330262e-02	5.7346019739e+03	2.5074502734e-05                 	1.3659701446e-05                 	1.1414801287e-05                 	5.4476459978e-01                 	9.8280381613e-01                 
2.1884741113e-02	5.7284674754e+03	2.5074561259e-05                 	1.3661482630e-05                 	1.1413078630e-05                 	5.4483436374e-01                 	9.8275141740e-01                 
2.1908177035e-02	5.7223395389e+03	2.5074619836e-05                 	1.3663260955e-05                 	1.1411358881e-05                 	5.4490401227e-01                 	9.8269895787e-01                 
2.1931638053e-02	5.7162181580e+03	2.5074678462e-05                 	1.3665036424e-05                 	1.1409642039e-05                 	5.4497354549e-01                 	9.8264643762e-01                 
2.1955124196e-02	5.7101033250e+03	2.5074737140e-05                 	1.3666809040e-05                 	1.1407928100e-05                 	5.4504296351e-01                 	9.8259385673e-01                 
2.1978635489e-02	5.7039950335e+03	2.5074795868e-05                 	1.3668578807e-05                 	1.1406217061e-05                 	5.4511226648e-01                 	9.8254121527e-01                 
2.2002171960e-02	5.6978932762e+03	2.5074854646e-05                 	1.3670345728e-05                 	1.1404508918e-05                 	5.4518145453e-01                 	9.8248851332e-01                 
2.2025733636e-02	5.6917980461e+03	2.5074913475e-05                 	1.3672109807e-05                 	1.1402803668e-05                 	5.4525052782e-01                 	9.8243575094e-01                 
2.2049320543e-02	5.6857093364e+03	2.5074972354e-05                 	1.3673871048e-05                 	1.1401101306e-05                 	5.4531948649e-01                 	9.8238292820e-01                 
2.2072932709e-02	5.6796271400e+03	2.5075031284e-05                 	1.3675629455e-05                 	1.1399401829e-05                 	5.4538833072e-01                 	9.8233004516e-01                 
2.2096570161e-02	5.6735514498e+03	2.5075090265e-05                 	1.3677385032e-05                 	1.1397705233e-05                 	5.4545706066e-01                 	9.8227710189e-01                 
2.2120232926e-02	5.6674822590e+03	2.5075149296e-05                 	1.3679137783e-05                 	1.1396011513e-05                 	5.4552567649e-01                 	9.8222409844e-01                 
2.2143921031e-02	5.6614195606e+03	2.5075208377e-05                 	1.3680887712e-05                 	1.1394320665e-05                 	5.4559417839e-01                 	9.8217103487e-01                 
2.2167634503e-02	5.6553633477e+03	2.5075267509e-05                 	1.3682634826e-05                 	1.1392632683e-05                 	5.4566256654e-01                 	9.8211791124e-01                 
2.2191373369e-02	5.6493136134e+03	2.5075326691e-05                 	1.3684379127e-05                 	1.1390947564e-05                 	5.4573084114e-01                 	9.8206472758e-01                 
2.2215137657e-02	5.6432703506e+03	2.5075385924e-05                 	1.3686120622e-05                 	1.1389265302e-05                 	5.4579900239e-01                 	9.8201148396e-01                 
2.2238927393e-02	5.6372335526e+03	2.5075445208e-05                 	1.3687859315e-05                 	1.1387585893e-05                 	5.4586705049e-01                 	9.8195818041e-01                 
2.2262742605e-02	5.6312032124e+03	2.5075504542e-05                 	1.3689595212e-05                 	1.1385909330e-05                 	5.4593498564e-01                 	9.8190481698e-01                 
2.2286583321e-02	5.6251793228e+03	2.5075563926e-05                 	1.3691328318e-05                 	1.1384235609e-05                 	5.4600280807e-01                 	9.8185139371e-01                 
2.2310449567e-02	5.6191618773e+03	2.5075623361e-05                 	1.3693058638e-05                 	1.1382564723e-05                 	5.4607051801e-01                 	9.8179791064e-01                 
2.2334341371e-02	5.6131508689e+03	2.5075682847e-05                 	1.3694786179e-05                 	1.1380896668e-05                 	5.4613811566e-01                 	9.8174436780e-01                 
2.2358258760e-02	5.6071462907e+03	2.5075742383e-05                 	1.3696510946e-05                 	1.1379231437e-05                 	5.4620560129e-01                 	9.8169076523e-01                 
2.2382201762e-02	5.6011481358e+03	2.5075801969e-05                 	1.3698232945e-05                 	1.1377569024e-05                 	5.4627297511e-01                 	9.8163710295e-01                 
2.2406170404e-02	5.5951563972e+03	2.5075861606e-05                 	1.3699952182e-05                 	1.1375909424e-05                 	5.4634023737e-01                 	9.8158338099e-01                 
2.2430164713e-02	5.5891710684e+03	2.5075921294e-05                 	1.3701668664e-05                 	1.1374252630e-05                 	5.4640738833e-01                 	9.8152959938e-01                 
2.2454184718e-02	5.5831921420e+03	2.5075981032e-05                 	1.3703382397e-05                 	1.1372598635e-05                 	5.4647442825e-01                 	9.8147575814e-01                 
2.2478230445e-02	5.5772196117e+03	2.5076040821e-05                 	1.3705093388e-05                 	1.1370947433e-05                 	5.4654135738e-01                 	9.8142185729e-01                 
2.2502301922e-02	5.5712534703e+03	2.5076100660e-05                 	1.3706801643e-05                 	1.1369299017e-05                 	5.4660817599e-01                 	9.8136789684e-01                 
2.2526399176e-02	5.5652937113e+03	2.5076160550e-05                 	1.3708507169e-05                 	1.1367653381e-05                 	5.4667488435e-01                 	9.8131387682e-01                 
2.2550522236e-02	5.5593403275e+03	2.5076220490e-05                 	1.3710209972e-05                 	1.1366010518e-05                 	5.4674148275e-01                 	9.8125979723e-01                 
2.2574671129e-02	5.5533933122e+03	2.5076280481e-05                 	1.3711910062e-05                 	1.1364370419e-05                 	5.4680797146e-01                 	9.8120565808e-01                 
2.2598845882e-02	5.5474526588e+03	2.5076340522e-05                 	1.3713607443e-05                 	1.1362733079e-05                 	5.4687435078e-01                 	9.8115145938e-01                 
2.2623046524e-02	5.5415183601e+03	2.5076400614e-05                 	1.3715302124e-05                 	1.1361098490e-05                 	5.4694062099e-01                 	9.8109720114e-01                 
2.2647273082e-02	5.5355904095e+03	2.5076460757e-05                 	1.3716994113e-05                 	1.1359466644e-05                 	5.4700678240e-01                 	9.8104288335e-01                 
