#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.6000000000e-02	7.8353755515e+02	2.5086078212e-07                 	1.2910540474e-07                 	1.2175537738e-07                 	5.1464961422e-01                 	9.9742177010e-01                 
1.7000000000e-02	7.3744711073e+02	2.5091890162e-07                 	1.2909922212e-07                 	1.2181967949e-07                 	5.1450576776e-01                 	9.9729649380e-01                 
1.8000000000e-02	6.9647782680e+02	2.5099244901e-07                 	1.2925853357e-07                 	1.2173391544e-07                 	5.1498973010e-01                 	9.9704660477e-01                 
1.9000000000e-02	6.5982109907e+02	2.5110921869e-07                 	1.2984950667e-07                 	1.2125971202e-07                 	5.1710370231e-01                 	9.9640872400e-01                 
2.0000000000e-02	6.2683004412e+02	2.5117517535e-07                 	1.3059455105e-07                 	1.2058062430e-07                 	5.1993414902e-01                 	9.9569245212e-01                 
2.1000000000e-02	5.9698099440e+02	2.5122616806e-07                 	1.3057329041e-07                 	1.2065287765e-07                 	5.1974398774e-01                 	9.9557018331e-01                 
2.2000000000e-02	5.6984549465e+02	2.5130850989e-07                 	1.3085659533e-07                 	1.2045191457e-07                 	5.2070101161e-01                 	9.9513172402e-01                 
2.3000000000e-02	5.4506960358e+02	2.5130389679e-07                 	1.3085283843e-07                 	1.2045105836e-07                 	5.2069562032e-01                 	9.9512415794e-01                 
2.4000000000e-02	5.2235837010e+02	2.5142041687e-07                 	1.3087242448e-07                 	1.2054799239e-07                 	5.2053220702e-01                 	9.9482919011e-01                 
2.5000000000e-02	5.0146403529e+02	2.5147805909e-07                 	1.3155615600e-07                 	1.1992190308e-07                 	5.2313174549e-01                 	9.9404990353e-01                 
2.6000000000e-02	4.8217695701e+02	2.5147638543e-07                 	1.3155428415e-07                 	1.1992210129e-07                 	5.2312778363e-01                 	9.9404203490e-01                 
2.7000000000e-02	4.6431855120e+02	2.5151464278e-07                 	1.3198786161e-07                 	1.1952678117e-07                 	5.2477207749e-01                 	9.9352347456e-01                 
2.8000000000e-02	4.4773574580e+02	2.5163253291e-07                 	1.3269562786e-07                 	1.1893690505e-07                 	5.2733891889e-01                 	9.9248099945e-01                 
2.9000000000e-02	4.3229658215e+02	2.5174745943e-07                 	1.3339317745e-07                 	1.1835428199e-07                 	5.2986901137e-01                 	9.9137064627e-01                 
3.0000000000e-02	4.1788669608e+02	2.5183205229e-07                 	1.3378993424e-07                 	1.1804211806e-07                 	5.3126650488e-01                 	9.9063556440e-01                 
3.2000000000e-02	3.9176877757e+02	2.5206548081e-07                 	1.3544019695e-07                 	1.1662528386e-07                 	5.3732147899e-01                 	9.8770498038e-01                 
3.4000000000e-02	3.6872355536e+02	2.5234514304e-07                 	1.3795817724e-07                 	1.1438696580e-07                 	5.4670430972e-01                 	9.8276585887e-01                 
3.6000000000e-02	3.4823891340e+02	2.5264981650e-07                 	1.4074887920e-07                 	1.1190093730e-07                 	5.5709076360e-01                 	9.7619280101e-01                 
3.8000000000e-02	3.2991054954e+02	2.5295363348e-07                 	1.4357958234e-07                 	1.0937405114e-07                 	5.6761225512e-01                 	9.6831530599e-01                 
4.0000000000e-02	3.1341502206e+02	2.5326421897e-07                 	1.4525513896e-07                 	1.0800908001e-07                 	5.7353201946e-01                 	9.6151717996e-01                 
4.2000000000e-02	2.9849049720e+02	2.5353543814e-07                 	1.4850667489e-07                 	1.0502876325e-07                 	5.8574326326e-01                 	9.5084902237e-01                 
4.4000000000e-02	2.8492274733e+02	2.5372539622e-07                 	1.4907522432e-07                 	1.0465017191e-07                 	5.8754553756e-01                 	9.4740041886e-01                 
4.6000000000e-02	2.7253480179e+02	2.5392770797e-07                 	1.4928963133e-07                 	1.0463807664e-07                 	5.8792178499e-01                 	9.4457817317e-01                 
4.8000000000e-02	2.6117918505e+02	2.5407811626e-07                 	1.4929489347e-07                 	1.0478322280e-07                 	5.8759445978e-01                 	9.4334974110e-01                 
5.0000000000e-02	2.5073201765e+02	2.5422645628e-07                 	1.4926815472e-07                 	1.0495830156e-07                 	5.8714642413e-01                 	9.4229317735e-01                 
5.2000000000e-02	2.4108847851e+02	2.5440433483e-07                 	1.4934897791e-07                 	1.0505535692e-07                 	5.8705358935e-01                 	9.4044683264e-01                 
5.4000000000e-02	2.3215927560e+02	2.5456025912e-07                 	1.4926691318e-07                 	1.0529334593e-07                 	5.8637162651e-01                 	9.3952227350e-01                 
5.6000000000e-02	2.2386787290e+02	2.5474543901e-07                 	1.4972863349e-07                 	1.0501680552e-07                 	5.8775785768e-01                 	9.3650441520e-01                 
5.8000000000e-02	2.1614829108e+02	2.5492943987e-07                 	1.4981170586e-07                 	1.0511773401e-07                 	5.8765949486e-01                 	9.3468583609e-01                 
6.0000000000e-02	2.0894334804e+02	2.5511355563e-07                 	1.5040017162e-07                 	1.0471338401e-07                 	5.8954206195e-01                 	9.3128324367e-01                 
6.2000000000e-02	2.0220324004e+02	2.5533797009e-07                 	1.5127168968e-07                 	1.0406628040e-07                 	5.9243711239e-01                 	9.2619835271e-01                 
6.4000000000e-02	1.9588438879e+02	2.5557218711e-07                 	1.5254622429e-07                 	1.0302596282e-07                 	5.9688116307e-01                 	9.1942559025e-01                 
6.6000000000e-02	1.8994849822e+02	2.5581825092e-07                 	1.5364801217e-07                 	1.0217023875e-07                 	6.0061395783e-01                 	9.1289150010e-01                 
7.0000000000e-02	1.7909429832e+02	2.5636568198e-07                 	1.5630053889e-07                 	1.0006514308e-07                 	6.0967808830e-01                 	8.9680015166e-01                 
7.2000000000e-02	1.7411945670e+02	2.5659541814e-07                 	1.5719641708e-07                 	9.9399001062e-08                 	6.1262363224e-01                 	8.9118990344e-01                 
7.4000000000e-02	1.6941352544e+02	2.5683611577e-07                 	1.5855937758e-07                 	9.8276738189e-08                 	6.1735623554e-01                 	8.8350714618e-01                 
7.6000000000e-02	1.6495527477e+02	2.5709972024e-07                 	1.6018277931e-07                 	9.6916940928e-08                 	6.2303754809e-01                 	8.7434802767e-01                 
7.8000000000e-02	1.6072565234e+02	2.5735400937e-07                 	1.6150906324e-07                 	9.5844946131e-08                 	6.2757546943e-01                 	8.6663266127e-01                 
8.0000000000e-02	1.5670751103e+02	2.5759128825e-07                 	1.6244392686e-07                 	9.5147361383e-08                 	6.3062663326e-01                 	8.6093894256e-01                 
8.2000000000e-02	1.5288537661e+02	2.5790955132e-07                 	1.6362514002e-07                 	9.4284411300e-08                 	6.3442838461e-01                 	8.5305414852e-01                 
8.4000000000e-02	1.4924524860e+02	2.5822504917e-07                 	1.6400797436e-07                 	9.4217074804e-08                 	6.3513580457e-01                 	8.4886252753e-01                 
8.6000000000e-02	1.4577442886e+02	2.5847298599e-07                 	1.6513101209e-07                 	9.3341973896e-08                 	6.3887145290e-01                 	8.4258721819e-01                 
8.8000000000e-02	1.4246137366e+02	2.5867964488e-07                 	1.6694928335e-07                 	9.1730361524e-08                 	6.4539010571e-01                 	8.3396699906e-01                 
9.0000000000e-02	1.3929556536e+02	2.5886750784e-07                 	1.6911846232e-07                 	8.9749045527e-08                 	6.5330123400e-01                 	8.2418453601e-01                 
9.2000000000e-02	1.3626740090e+02	2.5905356688e-07                 	1.6949849709e-07                 	8.9555069788e-08                 	6.5429902832e-01                 	8.2212949230e-01                 
9.4000000000e-02	1.3336809449e+02	2.5924067797e-07                 	1.6876124452e-07                 	9.0479433453e-08                 	6.5098288524e-01                 	8.2484605687e-01                 
9.6000000000e-02	1.3058959252e+02	2.5940015761e-07                 	1.6747644351e-07                 	9.1923714103e-08                 	6.4562969063e-01                 	8.3024067281e-01                 
9.8000000000e-02	1.2792449880e+02	2.5955654671e-07                 	1.6667713317e-07                 	9.2879413536e-08                 	6.4216116020e-01                 	8.3360041556e-01                 
1.0000000000e-01	1.2536600882e+02	2.5971814971e-07                 	1.6667858128e-07                 	9.3039568423e-08                 	6.4176716749e-01                 	8.3348039524e-01                 
1.0500000000e-01	1.1939619888e+02	2.6010558840e-07                 	1.6902116860e-07                 	9.1084419808e-08                 	6.4981752077e-01                 	8.2346866890e-01                 
1.1000000000e-01	1.1396909893e+02	2.6083496683e-07                 	1.7429892240e-07                 	8.6536044432e-08                 	6.6823449523e-01                 	7.9824519599e-01                 
1.1500000000e-01	1.0901392072e+02	2.6161976782e-07                 	1.7748070274e-07                 	8.4139065082e-08                 	6.7839179057e-01                 	7.8228464165e-01                 
1.2000000000e-01	1.0447167402e+02	2.6247819097e-07                 	1.7962937800e-07                 	8.2848812972e-08                 	6.8435925033e-01                 	7.7071796969e-01                 
1.2500000000e-01	1.0029280706e+02	2.6320946358e-07                 	1.8001648789e-07                 	8.3192975693e-08                 	6.8392863023e-01                 	7.6732122027e-01                 
1.3000000000e-01	9.6435391403e+01	2.6383615349e-07                 	1.7921943623e-07                 	8.4616717263e-08                 	6.7928308481e-01                 	7.6906542682e-01                 
1.3500000000e-01	9.2863710240e+01	2.6430248612e-07                 	1.7778601649e-07                 	8.6516469637e-08                 	6.7266115841e-01                 	7.7409091691e-01                 
1.4000000000e-01	8.9547149160e+01	2.6468315106e-07                 	1.7610824000e-07                 	8.8574911057e-08                 	6.6535493210e-01                 	7.8034395983e-01                 
1.4500000000e-01	8.6459316430e+01	2.6508683475e-07                 	1.7580244725e-07                 	8.9284387502e-08                 	6.6318814895e-01                 	7.8148558154e-01                 
1.5000000000e-01	8.3577339216e+01	2.6552284925e-07                 	1.7614445747e-07                 	8.9378391786e-08                 	6.6338719234e-01                 	7.8010492911e-01                 
1.5500000000e-01	8.0881296015e+01	2.6610496473e-07                 	1.7718558229e-07                 	8.8919382443e-08                 	6.6584846497e-01                 	7.7482037734e-01                 
1.6000000000e-01	7.8353755515e+01	2.6663728391e-07                 	1.7797156843e-07                 	8.8665715483e-08                 	6.6746692667e-01                 	7.7076878403e-01                 
1.6500000000e-01	7.5979399287e+01	2.6717683479e-07                 	1.7878554126e-07                 	8.8391293526e-08                 	6.6916557868e-01                 	7.6612644636e-01                 
1.7000000000e-01	7.3744711073e+01	2.6768005948e-07                 	1.7960728983e-07                 	8.8072769649e-08                 	6.7097747281e-01                 	7.6138436073e-01                 
1.7500000000e-01	7.1637719328e+01	2.6799510536e-07                 	1.7947235092e-07                 	8.8522754434e-08                 	6.6968518206e-01                 	7.6060096512e-01                 
1.8000000000e-01	6.9647782680e+01	2.6820246926e-07                 	1.7902882779e-07                 	8.9173641474e-08                 	6.6751371932e-01                 	7.6098213688e-01                 
1.8500000000e-01	6.7765410175e+01	2.6829051844e-07                 	1.7800010569e-07                 	9.0290412747e-08                 	6.6346029195e-01                 	7.6434023438e-01                 
