Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  3.115285	4.900000	59.019352	0.140877	0	1	1	2.077910e+03	2044.748546
2	  6.161423	4.800000	58.860474	0.141257	0	0	0	0.000000e+00	1999.913718
3	  9.175106	4.700000	58.834404	0.141320	0	0	0	0.000000e+00	1979.022878
4	 12.163640	4.600000	58.794535	0.141416	0	0	0	0.000000e+00	1962.608669
5	 15.131852	4.500000	58.756308	0.141508	0	0	0	0.000000e+00	1949.281798
6	 18.082872	4.400000	58.718137	0.141600	0	0	0	0.000000e+00	1937.951116
7	 21.019519	4.300000	58.681339	0.141689	0	0	0	0.000000e+00	1928.424761
8	 23.944415	4.200000	58.644967	0.141776	0	0	0	0.000000e+00	1920.570863
9	 26.859925	4.100000	58.607954	0.141866	0	0	0	0.000000e+00	1914.214135
10	 29.768013	4.000000	58.569976	0.141958	0	0	0	0.000000e+00	1909.091097
11	 32.669781	3.900000	58.530089	0.142055	0	0	0	0.000000e+00	1904.651823
12	 35.565265	3.800000	58.487628	0.142158	0	0	0	0.000000e+00	1900.205752
13	 38.453664	3.700000	58.442892	0.142267	0	0	0	0.000000e+00	1895.230199
14	 41.333432	3.600000	58.397409	0.142377	0	0	0	0.000000e+00	1889.270978
15	 44.202377	3.500000	58.351547	0.142489	0	0	0	0.000000e+00	1881.923360
16	 47.057899	3.400000	58.307510	0.142597	0	0	0	0.000000e+00	1872.954646
17	 49.897353	3.300000	58.265784	0.142699	0	0	0	0.000000e+00	1862.341397
18	 52.718490	3.200000	58.226238	0.142796	0	0	0	0.000000e+00	1850.335342
19	 55.520078	3.100000	58.187902	0.142890	0	0	0	0.000000e+00	1837.567457
20	 58.302078	3.000000	58.151168	0.142980	0	0	0	0.000000e+00	1824.798554
21	 61.064718	2.900000	58.114429	0.143071	0	0	0	0.000000e+00	1812.179928
22	 63.807842	2.800000	58.077672	0.143161	0	0	0	0.000000e+00	1799.469025
23	 66.531521	2.700000	58.040836	0.143252	0	0	0	0.000000e+00	1786.804401
24	 69.236117	2.600000	58.004123	0.143343	0	0	0	0.000000e+00	1774.379087
25	 71.921914	2.500000	57.966917	0.143435	0	0	0	0.000000e+00	1762.132068
26	 74.588929	2.400000	57.929740	0.143527	0	0	0	0.000000e+00	1749.902570
27	 77.236832	2.300000	57.893256	0.143617	0	0	0	0.000000e+00	1737.475969
28	 79.865040	2.200000	57.856440	0.143709	0	0	0	0.000000e+00	1724.684073
29	 82.472948	2.100000	57.820483	0.143798	0	0	0	0.000000e+00	1711.523107
30	 85.059825	2.000000	57.784155	0.143888	0	0	0	0.000000e+00	1697.905028
31	 87.624014	1.900000	57.746828	0.143981	0	0	0	0.000000e+00	1683.240207
32	 90.163101	1.800000	57.707123	0.144081	0	0	0	0.000000e+00	1667.036669
33	 92.675034	1.700000	57.663051	0.144191	0	0	0	0.000000e+00	1649.506102
34	 95.158447	1.600000	57.613610	0.144314	0	0	0	0.000000e+00	1631.074008
35	 97.612562	1.500000	57.556548	0.144457	0	0	0	0.000000e+00	1612.097776
36	100.037146	1.400000	57.493611	0.144616	0	0	0	0.000000e+00	1592.932088
37	102.432506	1.300000	57.424327	0.144790	0	0	0	0.000000e+00	1573.919804
38	104.799461	1.200000	57.350276	0.144977	0	0	0	0.000000e+00	1555.399866
39	107.139206	1.100000	57.273917	0.145170	0	0	0	0.000000e+00	1537.627928
40	109.453070	1.000000	57.196238	0.145367	0	0	0	0.000000e+00	1520.695369
41	111.742241	0.900000	57.118893	0.145564	0	0	0	0.000000e+00	1504.529317
42	114.007694	0.800000	57.041593	0.145762	0	0	0	0.000000e+00	1488.992577
43	116.250298	0.700000	56.962317	0.145964	0	0	0	0.000000e+00	1474.002199
44	118.470780	0.600000	56.884948	0.146163	0	0	0	0.000000e+00	1459.493823
45	120.669756	0.500000	56.805677	0.146367	0	0	0	0.000000e+00	1445.374254
46	122.847652	0.400000	56.728198	0.146567	0	0	0	0.000000e+00	1431.546528
47	125.004800	0.300000	56.647072	0.146777	0	0	0	0.000000e+00	1417.914195
48	127.141276	0.200000	56.565354	0.146989	0	0	0	0.000000e+00	1404.340152
49	129.256936	0.100000	56.479990	0.147211	0	0	0	0.000000e+00	1390.662532
50	131.351514	0.000000	56.392482	0.147439	0	0	0	0.000000e+00	1376.814334
51	133.424767	-0.100000	56.302309	0.147676	0	0	0	0.000000e+00	1362.810402
52	135.476519	-0.200000	56.206763	0.147927	0	0	0	0.000000e+00	1348.673899
53	137.506598	-0.300000	56.109586	0.148183	0	0	0	0.000000e+00	1334.436680
54	139.514934	-0.400000	56.008324	0.148451	0	0	0	0.000000e+00	1320.144931
55	141.501553	-0.500000	55.904156	0.148727	0	0	0	0.000000e+00	1305.866114
56	143.466651	-0.600000	55.798948	0.149008	0	0	0	0.000000e+00	1291.726717
57	145.410763	-0.700000	55.694272	0.149288	0	0	0	0.000000e+00	1277.934829
58	147.334756	-0.800000	55.590262	0.149567	0	0	0	0.000000e+00	1264.706845
59	149.239730	-0.900000	55.490826	0.149835	0	0	0	0.000000e+00	1252.209146
60	151.126964	-1.000000	55.396499	0.150090	0	0	0	0.000000e+00	1240.557622
61	152.997872	-1.100000	55.306330	0.150335	0	0	0	0.000000e+00	1229.824168
62	154.853901	-1.200000	55.223096	0.150561	0	0	0	0.000000e+00	1220.046769
63	156.696541	-1.300000	55.144841	0.150775	0	0	0	0.000000e+00	1211.239432
64	158.527239	-1.400000	55.076216	0.150963	0	0	0	0.000000e+00	1203.396973
65	160.347440	-1.500000	55.047853	0.151041	0	0	0	0.000000e+00	1196.496137
66	162.158506	-1.600000	54.995491	0.151185	0	0	0	0.000000e+00	1190.493399
67	163.961715	-1.700000	54.949248	0.151312	0	0	0	0.000000e+00	1185.325083
68	165.758225	-1.800000	54.909325	0.151422	0	0	0	0.000000e+00	1180.916198
69	167.549056	-1.900000	54.876654	0.151512	0	0	0	0.000000e+00	1177.188100
70	169.335143	-2.000000	54.847578	0.151592	0	0	0	0.000000e+00	1174.063203
71	171.117295	-2.100000	54.822809	0.151661	0	0	0	0.000000e+00	1171.468436
72	172.896189	-2.200000	54.805108	0.151710	0	0	0	0.000000e+00	1169.335019
73	174.672432	-2.300000	54.789958	0.151752	0	0	0	0.000000e+00	1167.597347
74	176.446552	-2.400000	54.775911	0.151791	0	0	0	0.000000e+00	1166.194709
75	178.218967	-2.500000	54.765227	0.151820	0	0	0	0.000000e+00	1165.072307
76	179.990029	-2.600000	54.757006	0.151843	0	0	0	0.000000e+00	1164.180398
77	181.760024	-2.700000	54.749598	0.151864	0	0	0	0.000000e+00	1163.474957
78	183.529178	-2.800000	54.744155	0.151879	0	0	0	0.000000e+00	1162.919462
79	185.297657	-2.900000	54.741035	0.151887	0	0	0	0.000000e+00	1162.481667
80	187.065604	-3.000000	54.739079	0.151893	0	0	0	0.000000e+00	1162.138486
