Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	4.900000	0	2.4204e-06	0.0000e+00	4.7177e-18	0.0000e+00
2	4.800000	0	2.6003e-06	0.0000e+00	4.3647e-18	0.0000e+00
3	4.700000	0	2.7575e-06	0.0000e+00	3.9824e-18	0.0000e+00
4	4.600000	0	2.8032e-06	0.0000e+00	3.3899e-18	0.0000e+00
5	4.500000	0	2.8167e-06	0.0000e+00	2.8275e-18	0.0000e+00
6	4.400000	0	2.8070e-06	0.0000e+00	2.3267e-18	0.0000e+00
7	4.300000	0	2.7780e-06	0.0000e+00	1.8904e-18	0.0000e+00
8	4.200000	0	2.7307e-06	0.0000e+00	1.5188e-18	0.0000e+00
9	4.100000	0	2.6663e-06	0.0000e+00	1.2084e-18	0.0000e+00
10	4.000000	0	2.5873e-06	0.0000e+00	9.5291e-19	0.0000e+00
11	3.900000	0	2.4991e-06	0.0000e+00	7.4721e-19	0.0000e+00
12	3.800000	0	2.4088e-06	0.0000e+00	5.8509e-19	0.0000e+00
13	3.700000	0	2.3239e-06	0.0000e+00	4.5968e-19	0.0000e+00
14	3.600000	0	2.2505e-06	0.0000e+00	3.6347e-19	0.0000e+00
15	3.500000	0	2.1948e-06	0.0000e+00	2.9079e-19	0.0000e+00
16	3.400000	0	2.1597e-06	0.0000e+00	2.3557e-19	0.0000e+00
17	3.300000	0	2.1464e-06	0.0000e+00	1.9348e-19	0.0000e+00
18	3.200000	0	2.1517e-06	0.0000e+00	1.6077e-19	0.0000e+00
19	3.100000	0	2.1687e-06	0.0000e+00	1.3465e-19	0.0000e+00
20	3.000000	0	2.1905e-06	0.0000e+00	1.1305e-19	0.0000e+00
21	2.900000	0	2.2145e-06	0.0000e+00	9.5130e-20	0.0000e+00
22	2.800000	0	2.2398e-06	0.0000e+00	8.0067e-20	0.0000e+00
23	2.700000	0	2.2662e-06	0.0000e+00	6.7426e-20	0.0000e+00
