Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	5.000000	1958.730688	  0.000000	0	1.348915e-04
1	5.816171	4.900000	1859.072940	  0.000001	0	1.073673e+00
2	11.445559	4.800000	1836.140485	  0.000001	0	1.073673e+00
3	17.017679	4.700000	1821.477695	  0.000001	0	1.073673e+00
4	22.556622	4.600000	1814.359386	  0.000001	0	1.073673e+00
5	28.077949	4.500000	1809.903217	  0.000000	0	1.073673e+00
6	33.586263	4.400000	1805.808118	  0.000000	0	1.073673e+00
7	39.080474	4.300000	1800.630343	 -0.000000	0	1.073673e+00
8	44.556290	4.200000	1793.727481	 -0.000001	0	1.073673e+00
9	50.008917	4.100000	1785.398291	 -0.000001	0	1.073673e+00
10	55.437077	4.000000	1777.660090	 -0.000002	0	1.073673e+00
11	60.844071	3.900000	1771.491502	 -0.000002	0	1.073673e+00
12	66.230061	3.800000	1763.863694	 -0.000003	0	1.073673e+00
13	71.592275	3.700000	1755.873847	 -0.000003	0	1.073673e+00
14	76.929564	3.600000	1747.497210	 -0.000004	0	1.073673e+00
15	82.240629	3.500000	1738.647835	 -0.000004	0	1.073673e+00
16	87.523930	3.400000	1729.265866	 -0.000004	0	1.073673e+00
17	92.777911	3.300000	1719.403610	 -0.000004	0	1.073673e+00
18	98.001429	3.200000	1709.251491	 -0.000003	0	1.073673e+00
19	103.194430	3.100000	1699.371126	 -0.000003	0	1.073673e+00
20	108.357823	3.000000	1689.812040	 -0.000003	0	1.073673e+00
21	113.490143	2.900000	1678.963595	 -0.000003	0	1.073673e+00
22	118.586394	2.800000	1666.144251	 -0.000003	0	1.073673e+00
23	123.641613	2.700000	1652.022367	 -0.000002	0	1.073673e+00
24	128.652316	2.600000	1636.927824	 -0.000001	0	1.073673e+00
25	133.616101	2.500000	1621.229033	 -0.000000	0	1.073673e+00
26	138.531675	2.400000	1605.284009	  0.000000	0	1.073673e+00
27	143.398845	2.300000	1589.446335	 -0.000000	0	1.073673e+00
28	148.218543	2.200000	1574.129191	 -0.000004	0	1.073673e+00
29	152.993328	2.100000	1559.966789	 -0.000011	0	1.073673e+00
30	157.726820	2.000000	1547.029805	 -0.000022	0	1.073673e+00
31	162.421428	1.900000	1534.438073	 -0.000036	0	1.073673e+00
32	167.077857	1.800000	1521.965358	 -0.000051	0	1.073673e+00
33	171.696960	1.700000	1509.935770	 -0.000065	0	1.073673e+00
34	176.279922	1.600000	1498.260308	 -0.000075	0	1.073673e+00
35	180.827704	1.500000	1486.833242	 -0.000084	0	1.073673e+00
36	185.340911	1.400000	1475.574998	 -0.000093	0	1.073673e+00
37	189.820100	1.300000	1464.482539	 -0.000103	0	1.073673e+00
38	194.265664	1.200000	1453.511677	 -0.000091	0	1.073673e+00
39	198.677843	1.100000	1442.576265	 -0.000060	0	1.073673e+00
40	203.056452	1.000000	1431.486250	 -0.000011	0	1.073673e+00
41	207.400829	0.900000	1420.091931	  0.000073	0	1.073673e+00
42	211.710141	0.800000	1408.467792	  0.000162	0	1.073673e+00
43	215.983859	0.700000	1396.734221	  0.000218	0	1.073673e+00
44	220.221856	0.600000	1385.023617	  0.000238	0	1.073673e+00
45	224.424543	0.500000	1373.547629	  0.000226	0	1.073673e+00
46	228.592857	0.400000	1362.481520	  0.000229	0	1.073673e+00
47	232.728350	0.300000	1351.999900	  0.000257	0	1.073673e+00
48	236.833034	0.200000	1342.253312	  0.000296	0	1.073673e+00
49	240.909321	0.100000	1333.370665	  0.000208	0	1.073673e+00
50	244.960014	0.000000	1325.448401	  0.000319	0	1.073673e+00
51	248.988056	-0.100000	1318.517568	  0.000750	0	1.073673e+00
52	252.996482	-0.200000	1312.549081	  0.000855	0	1.073673e+00
53	256.988000	-0.300000	1307.419344	  0.000729	0	1.073673e+00
54	260.964899	-0.400000	1302.950108	  0.000751	0	1.073673e+00
55	264.928830	-0.500000	1298.897069	  0.000834	0	1.073673e+00
56	268.880635	-0.600000	1295.009675	  0.000902	0	1.073673e+00
57	272.820548	-0.700000	1291.071338	  0.000916	0	1.073673e+00
58	276.748095	-0.800000	1286.900756	  0.000843	0	1.073673e+00
59	280.662445	-0.900000	1282.401749	  0.000247	0	1.073673e+00
60	284.562523	-1.000000	1277.537129	  0.000475	0	1.073673e+00
61	288.447289	-1.100000	1272.347574	  0.001549	0	1.073673e+00
62	292.315893	-1.200000	1266.931112	  0.001402	0	1.073673e+00
63	296.167858	-1.300000	1261.425854	  0.000947	0	1.073673e+00
64	300.003102	-1.400000	1255.949302	  0.000906	0	1.073673e+00
65	303.821780	-1.500000	1250.561531	  0.001036	0	1.073673e+00
66	307.624156	-1.600000	1245.245350	  0.001361	0	1.073673e+00
67	311.410311	-1.700000	1239.910182	  0.001864	0	1.073673e+00
68	315.180032	-1.800000	1234.448769	  0.002362	0	1.073673e+00
69	318.932815	-1.900000	1228.798700	  0.001102	0	1.073673e+00
70	322.668145	-2.000000	1222.982371	  0.006796	0	1.073673e+00
71	326.385656	-2.100000	1217.106888	  0.006711	0	1.073673e+00
72	330.085402	-2.200000	1211.334969	  0.005315	0	1.073673e+00
73	333.767961	-2.300000	1205.833220	  0.007625	0	1.073673e+00
74	337.434405	-2.400000	1200.739710	  0.012186	0	1.073673e+00
75	341.086119	-2.500000	1196.156129	  0.019812	0	1.073673e+00
76	344.724700	-2.600000	1192.129887	  0.033291	0	1.073673e+00
77	348.351872	-2.700000	1188.660320	  0.063484	0	1.073673e+00
