Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	4.900000	0	4.0373e-05	0.0000e+00	2.7018e-08	0.0000e+00
2	4.800000	0	3.8107e-05	0.0000e+00	2.2905e-08	0.0000e+00
3	4.700000	0	3.6618e-05	0.0000e+00	1.9281e-08	0.0000e+00
4	4.600000	0	3.5551e-05	0.0000e+00	1.5855e-08	0.0000e+00
5	4.500000	0	3.4297e-05	0.0000e+00	1.3084e-08	0.0000e+00
6	4.400000	0	3.2738e-05	0.0000e+00	1.0831e-08	0.0000e+00
7	4.300000	0	3.1520e-05	0.0000e+00	9.0037e-09	0.0000e+00
8	4.200000	0	3.0711e-05	0.0000e+00	7.5175e-09	0.0000e+00
9	4.100000	0	2.9344e-05	0.0000e+00	6.2933e-09	0.0000e+00
10	4.000000	0	2.9097e-05	0.0000e+00	5.2592e-09	0.0000e+00
11	3.900000	0	2.7432e-05	0.0000e+00	4.3761e-09	0.0000e+00
12	3.800000	0	2.7059e-05	0.0000e+00	3.6281e-09	0.0000e+00
13	3.700000	0	2.6454e-05	0.0000e+00	3.0055e-09	0.0000e+00
14	3.600000	0	2.4695e-05	0.0000e+00	2.4919e-09	0.0000e+00
15	3.500000	0	2.5171e-05	0.0000e+00	2.0668e-09	0.0000e+00
16	3.400000	0	2.4702e-05	0.0000e+00	1.7155e-09	0.0000e+00
17	3.300000	0	2.4031e-05	0.0000e+00	1.4247e-09	0.0000e+00
18	3.200000	0	2.3322e-05	0.0000e+00	1.1827e-09	0.0000e+00
19	3.100000	0	2.2790e-05	0.0000e+00	9.7962e-10	0.0000e+00
20	3.000000	0	2.1719e-05	0.0000e+00	8.0903e-10	0.0000e+00
21	2.900000	0	2.2509e-05	0.0000e+00	6.6730e-10	0.0000e+00
22	2.800000	0	2.0812e-05	0.0000e+00	5.5158e-10	0.0000e+00
23	2.700000	0	2.0822e-05	0.0000e+00	4.5773e-10	0.0000e+00
