Layer	    Height	  log(P)	      cp	lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  3.493587	7.198020	60.005510	0.138562	0	1	1	2.017366e+03	1984.753946
2	  6.874917	7.095009	59.817728	0.138997	0	1	1	2.017366e+03	1920.486884
3	 10.147193	6.991999	59.621999	0.139453	0	1	1	2.017366e+03	1858.104482
4	 13.313733	6.888989	59.418362	0.139931	0	0	0	0.000000e+00	1797.690596
5	 16.377532	6.785978	59.205850	0.140433	0	1	2	1.768004e+03	1739.043512
6	 19.341262	6.682968	58.983342	0.140963	0	1	2	1.768004e+03	1681.967280
7	 22.206385	6.579958	58.723849	0.141586	0	1	2	1.768004e+03	1626.542261
8	 25.142308	6.476948	58.370313	0.142444	0	0	0	0.000000e+00	1662.116769
9	 28.398480	6.373937	55.193515	0.150642	0	0	0	0.000000e+00	1794.315656
10	 31.903937	6.270927	52.359830	0.158795	0	0	0	0.000000e+00	1886.119265
11	 35.500166	6.167917	52.103667	0.159576	0	0	0	0.000000e+00	1929.184022
12	 39.188896	6.064906	51.701961	0.160815	0	0	0	0.000000e+00	1970.792352
13	 42.973880	5.961896	51.193499	0.162413	0	0	0	0.000000e+00	2012.373460
14	 46.854862	5.858886	50.624557	0.164238	0	0	0	0.000000e+00	2052.408855
15	 50.828135	5.755875	50.038269	0.166162	0	0	0	0.000000e+00	2089.727557
16	 54.887046	5.652865	49.465334	0.168087	0	0	0	0.000000e+00	2123.330621
17	 59.022898	5.549855	48.925129	0.169943	0	0	0	0.000000e+00	2152.559522
18	 63.225583	5.446845	48.428408	0.171686	0	0	0	0.000000e+00	2176.998949
19	 67.484369	5.343834	47.979662	0.173292	0	0	0	0.000000e+00	2196.548453
20	 71.788524	5.240824	47.579145	0.174750	0	0	0	0.000000e+00	2211.340461
21	 76.127519	5.137814	47.224703	0.176062	0	0	0	0.000000e+00	2221.563568
22	 80.491178	5.034803	46.913251	0.177231	0	0	0	0.000000e+00	2227.445889
23	 84.869630	4.931793	46.641969	0.178262	0	0	0	0.000000e+00	2229.182397
24	 89.253109	4.828783	46.408559	0.179158	0	0	0	0.000000e+00	2226.864542
25	 93.631884	4.725772	46.210759	0.179925	0	0	0	0.000000e+00	2220.532803
26	 97.996762	4.622762	46.045485	0.180571	0	0	0	0.000000e+00	2210.435338
27	102.339770	4.519752	45.908387	0.181110	0	0	0	0.000000e+00	2197.104803
28	106.654534	4.416742	45.794437	0.181561	0	0	0	0.000000e+00	2181.221916
29	110.936341	4.313731	45.698398	0.181942	0	0	0	0.000000e+00	2163.484981
30	115.182087	4.210721	45.615047	0.182275	0	0	0	0.000000e+00	2144.552441
31	119.390431	4.107711	45.537707	0.182584	0	0	0	0.000000e+00	2125.123688
32	123.562425	4.004700	45.460680	0.182894	0	0	0	0.000000e+00	2106.230133
33	127.700143	3.901690	45.382192	0.183210	0	0	0	0.000000e+00	2088.332724
34	131.804075	3.798680	45.303341	0.183529	0	0	0	0.000000e+00	2070.681044
35	135.873569	3.695669	45.228014	0.183835	0	0	0	0.000000e+00	2052.807005
36	139.907861	3.592659	45.158541	0.184117	0	0	0	0.000000e+00	2034.710929
37	143.905803	3.489649	45.095726	0.184374	0	0	0	0.000000e+00	2016.212115
38	147.865993	3.386639	45.040353	0.184601	0	0	0	0.000000e+00	1997.207381
39	151.787429	3.283628	44.991146	0.184802	0	0	0	0.000000e+00	1977.855161
40	155.670029	3.180618	44.945024	0.184992	0	0	0	0.000000e+00	1958.539035
41	159.515000	3.077608	44.897930	0.185186	0	0	0	0.000000e+00	1939.785266
42	163.324002	2.974597	44.849717	0.185385	0	0	0	0.000000e+00	1921.821007
43	167.097485	2.871587	44.801875	0.185583	0	0	0	0.000000e+00	1904.087020
44	170.835169	2.768577	44.756076	0.185773	0	0	0	0.000000e+00	1886.261173
45	174.537408	2.665566	44.712422	0.185954	0	0	0	0.000000e+00	1868.658866
46	178.205006	2.562556	44.668969	0.186135	0	0	0	0.000000e+00	1851.446971
47	181.838591	2.459546	44.626008	0.186314	0	0	0	0.000000e+00	1834.557979
48	185.438439	2.356536	44.584813	0.186487	0	0	0	0.000000e+00	1817.835657
