Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	7.198020	0	1.8194e-03	0.0000e+00	8.9438e-12	0.0000e+00
2	7.095009	0	1.7056e-03	0.0000e+00	5.1553e-12	0.0000e+00
3	6.991999	0	1.5791e-03	0.0000e+00	2.8340e-12	0.0000e+00
4	6.888989	0	1.4473e-03	0.0000e+00	1.5045e-12	0.0000e+00
5	6.785978	0	1.3107e-03	0.0000e+00	7.6703e-13	0.0000e+00
6	6.682968	0	1.1700e-03	0.0000e+00	3.7288e-13	0.0000e+00
7	6.579958	0	2.3688e-03	0.0000e+00	7.0761e-12	0.0000e+00
8	6.476948	0	3.6281e-03	0.0000e+00	1.0613e-10	0.0000e+00
9	6.373937	0	3.8372e-03	0.0000e+00	2.5164e-10	0.0000e+00
10	6.270927	0	3.6786e-03	0.0000e+00	2.5349e-10	0.0000e+00
11	6.167917	0	3.6625e-03	0.0000e+00	2.1553e-10	0.0000e+00
12	6.064906	0	3.6321e-03	0.0000e+00	1.8339e-10	0.0000e+00
13	5.961896	0	3.5881e-03	0.0000e+00	1.5575e-10	0.0000e+00
14	5.858886	0	3.5336e-03	0.0000e+00	1.3174e-10	0.0000e+00
15	5.755875	0	3.4724e-03	0.0000e+00	1.1089e-10	0.0000e+00
16	5.652865	0	3.4075e-03	0.0000e+00	9.2866e-11	0.0000e+00
17	5.549855	0	3.3419e-03	0.0000e+00	7.7429e-11	0.0000e+00
18	5.446845	0	3.2776e-03	0.0000e+00	6.4317e-11	0.0000e+00
19	5.343834	0	3.2161e-03	0.0000e+00	5.3269e-11	0.0000e+00
20	5.240824	0	3.1583e-03	0.0000e+00	4.4024e-11	0.0000e+00
21	5.137814	0	3.1050e-03	0.0000e+00	3.6333e-11	0.0000e+00
22	5.034803	0	3.0564e-03	0.0000e+00	2.9964e-11	0.0000e+00
23	4.931793	0	3.0132e-03	0.0000e+00	2.4711e-11	0.0000e+00
24	4.828783	0	2.9757e-03	0.0000e+00	2.0392e-11	0.0000e+00
25	4.725772	0	2.9445e-03	0.0000e+00	1.6851e-11	0.0000e+00
26	4.622762	0	2.9196e-03	0.0000e+00	1.3949e-11	0.0000e+00
27	4.519752	0	2.9004e-03	0.0000e+00	1.1569e-11	0.0000e+00
28	4.416742	0	2.8862e-03	0.0000e+00	9.6131e-12	0.0000e+00
29	4.313731	0	2.8758e-03	0.0000e+00	7.9997e-12	0.0000e+00
30	4.210721	0	2.8679e-03	0.0000e+00	6.6642e-12	0.0000e+00
