Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	2832.268973	  0.000000	0	1.226646e-04
1	4.426592	7.198020	2738.796665	 -0.000000	0	1.237703e+00
2	8.695342	7.095009	2648.805170	  0.000000	0	1.237703e+00
3	12.813747	6.991999	2562.094825	 -0.000000	0	1.237703e+00
4	16.789328	6.888989	2478.447852	  0.000000	0	1.237703e+00
5	20.628952	6.785978	2397.664203	 -0.000000	0	1.237703e+00
6	24.338882	6.682968	2319.560623	  0.000000	0	1.237703e+00
7	27.924816	6.579958	2243.971505	 -0.000000	0	1.237703e+00
8	31.391862	6.476948	2170.751551	  0.000000	0	1.237703e+00
9	34.744560	6.373937	2099.778497	  0.000000	0	1.237703e+00
10	37.986962	6.270927	2030.950738	 -0.000000	0	1.237703e+00
11	41.153186	6.167917	2002.981409	  0.000000	0	1.237703e+00
12	44.307867	6.064906	2016.220851	  0.000000	0	1.237703e+00
13	47.491904	5.961896	2040.116024	 -0.000000	0	1.237703e+00
14	50.717628	5.858886	2068.722611	  0.000000	0	1.237703e+00
15	53.989398	5.755875	2097.732694	  0.000000	0	1.237703e+00
16	57.306214	5.652865	2124.353246	 -0.000000	0	1.237703e+00
17	60.663845	5.549855	2147.191659	 -0.000000	0	1.237703e+00
18	64.056429	5.446845	2165.629596	 -0.000000	0	1.237703e+00
19	67.477229	5.343834	2179.398777	 -0.000000	0	1.237703e+00
20	70.919121	5.240824	2188.538774	 -0.000000	0	1.237703e+00
21	74.374778	5.137814	2193.036164	 -0.000000	0	1.237703e+00
22	77.836825	5.034803	2193.113681	 -0.000000	0	1.237703e+00
23	81.298316	4.931793	2189.291398	  0.000000	0	1.237703e+00
24	84.752667	4.828783	2181.659712	 -0.000000	0	1.237703e+00
25	88.193689	4.725772	2170.701539	 -0.000000	0	1.237703e+00
26	91.616136	4.622762	2157.109078	 -0.000000	0	1.237703e+00
27	95.015967	4.519752	2141.622296	 -0.000000	0	1.237703e+00
28	98.390397	4.416742	2124.945536	 -0.000000	0	1.237703e+00
29	101.737847	4.313731	2107.741129	 -0.000000	0	1.237703e+00
30	105.057840	4.210721	2090.588159	 -0.000000	0	1.237703e+00
31	108.350837	4.107711	2073.960575	 -0.000000	0	1.237703e+00
