Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	7.198020	0	4.9264e-03	0.0000e+00	7.8201e-07	0.0000e+00
2	7.095009	0	4.8926e-03	0.0000e+00	6.3144e-07	0.0000e+00
3	6.991999	0	4.8582e-03	0.0000e+00	5.1003e-07	0.0000e+00
4	6.888989	0	4.8143e-03	0.0000e+00	4.1814e-07	0.0000e+00
5	6.785978	0	4.7588e-03	0.0000e+00	3.4846e-07	0.0000e+00
6	6.682968	0	4.6875e-03	0.0000e+00	2.9514e-07	0.0000e+00
7	6.579958	0	4.5980e-03	0.0000e+00	2.5364e-07	0.0000e+00
8	6.476948	0	4.4899e-03	0.0000e+00	2.2040e-07	0.0000e+00
9	6.373937	0	4.3690e-03	0.0000e+00	1.9265e-07	0.0000e+00
10	6.270927	0	4.2423e-03	0.0000e+00	1.6828e-07	0.0000e+00
11	6.167917	0	4.1235e-03	0.0000e+00	1.4570e-07	0.0000e+00
12	6.064906	0	4.0235e-03	0.0000e+00	1.2409e-07	0.0000e+00
13	5.961896	0	3.9517e-03	0.0000e+00	1.0341e-07	0.0000e+00
14	5.858886	0	3.9090e-03	0.0000e+00	8.4224e-08	0.0000e+00
15	5.755875	0	3.8926e-03	0.0000e+00	6.7217e-08	0.0000e+00
16	5.652865	0	3.8956e-03	0.0000e+00	5.2830e-08	0.0000e+00
17	5.549855	0	3.9108e-03	0.0000e+00	4.1112e-08	0.0000e+00
18	5.446845	0	3.9299e-03	0.0000e+00	3.1829e-08	0.0000e+00
19	5.343834	0	3.9490e-03	0.0000e+00	2.4607e-08	0.0000e+00
20	5.240824	0	3.9653e-03	0.0000e+00	1.9046e-08	0.0000e+00
21	5.137814	0	3.9753e-03	0.0000e+00	1.4785e-08	0.0000e+00
22	5.034803	0	3.9797e-03	0.0000e+00	1.1523e-08	0.0000e+00
23	4.931793	0	3.9763e-03	0.0000e+00	9.0224e-09	0.0000e+00
24	4.828783	0	3.9670e-03	0.0000e+00	7.1005e-09	0.0000e+00
25	4.725772	0	3.9511e-03	0.0000e+00	5.6186e-09	0.0000e+00
26	4.622762	0	3.9293e-03	0.0000e+00	4.4714e-09	0.0000e+00
27	4.519752	0	3.9023e-03	0.0000e+00	3.5782e-09	0.0000e+00
28	4.416742	0	3.8713e-03	0.0000e+00	2.8779e-09	0.0000e+00
29	4.313731	0	3.8373e-03	0.0000e+00	2.3242e-09	0.0000e+00
30	4.210721	0	3.8005e-03	0.0000e+00	1.8832e-09	0.0000e+00
31	4.107711	0	3.7622e-03	0.0000e+00	1.5293e-09	0.0000e+00
32	4.004700	0	3.7230e-03	0.0000e+00	1.2434e-09	0.0000e+00
33	3.901690	0	3.6821e-03	0.0000e+00	1.0120e-09	0.0000e+00
34	3.798680	0	3.6407e-03	0.0000e+00	8.2467e-10	0.0000e+00
35	3.695669	0	3.5985e-03	0.0000e+00	6.7336e-10	0.0000e+00
36	3.592659	0	3.5549e-03	0.0000e+00	5.5105e-10	0.0000e+00
37	3.489649	0	3.5094e-03	0.0000e+00	4.5187e-10	0.0000e+00
38	3.386639	0	3.4621e-03	0.0000e+00	3.7110e-10	0.0000e+00
39	3.283628	0	3.4144e-03	0.0000e+00	3.0496e-10	0.0000e+00
40	3.180618	0	3.3686e-03	0.0000e+00	2.5043e-10	0.0000e+00
41	3.077608	0	3.3235e-03	0.0000e+00	2.0530e-10	0.0000e+00
42	2.974597	0	3.2800e-03	0.0000e+00	1.6804e-10	0.0000e+00
43	2.871587	0	3.2362e-03	0.0000e+00	1.3753e-10	0.0000e+00
44	2.768577	0	3.1919e-03	0.0000e+00	1.1273e-10	0.0000e+00
45	2.665566	0	3.1460e-03	0.0000e+00	9.2609e-11	0.0000e+00
46	2.562556	0	3.0987e-03	0.0000e+00	7.6240e-11	0.0000e+00
47	2.459546	0	3.0495e-03	0.0000e+00	6.2893e-11	0.0000e+00
48	2.356536	0	2.9985e-03	0.0000e+00	5.1987e-11	0.0000e+00
49	2.253525	0	2.9459e-03	0.0000e+00	4.3045e-11	0.0000e+00
50	2.150515	0	2.8935e-03	0.0000e+00	3.5674e-11	0.0000e+00
51	2.047505	0	2.8404e-03	0.0000e+00	2.9571e-11	0.0000e+00
