Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 10.877548	7.198020	37.162727	0.223731	0	0	0	0.000000e+00	2900.447393
2	 21.660461	7.095009	37.132610	0.223913	0	0	0	0.000000e+00	2874.727313
3	 32.287903	6.991999	37.086628	0.224191	0	0	0	0.000000e+00	2832.927149
4	 42.692114	6.888989	37.021850	0.224583	0	0	0	0.000000e+00	2773.469393
5	 52.810587	6.785978	36.937394	0.225096	0	0	0	0.000000e+00	2697.656643
6	 62.592734	6.682968	36.833849	0.225729	0	0	0	0.000000e+00	2608.520495
7	 72.000756	6.579958	36.711537	0.226481	0	0	0	0.000000e+00	2509.310810
8	 81.009995	6.476948	36.575356	0.227324	0	0	0	0.000000e+00	2403.448083
9	 89.609113	6.373937	36.423792	0.228270	0	0	0	0.000000e+00	2294.431154
10	 97.801278	6.270927	36.260946	0.229296	0	0	0	0.000000e+00	2186.111606
11	105.607194	6.167917	36.093536	0.230359	0	0	0	0.000000e+00	2083.213472
12	113.067928	6.064906	35.931666	0.231397	0	0	0	0.000000e+00	1991.185013
13	120.257956	5.961896	35.795437	0.232277	0	0	0	0.000000e+00	1918.975158
14	127.285292	5.858886	35.708803	0.232841	0	0	0	0.000000e+00	1875.538828
15	134.262738	5.755875	35.680829	0.233024	0	0	0	0.000000e+00	1862.174137
16	141.280418	5.652865	35.701994	0.232885	0	0	0	0.000000e+00	1872.853056
17	148.393437	5.549855	35.752193	0.232558	0	0	0	0.000000e+00	1898.212658
18	155.624453	5.446845	35.813122	0.232163	0	0	0	0.000000e+00	1929.602014
19	162.972744	5.343834	35.872182	0.231780	0	0	0	0.000000e+00	1960.777237
20	170.423260	5.240824	35.922445	0.231456	0	0	0	0.000000e+00	1987.914420
21	177.953675	5.137814	35.960808	0.231209	0	0	0	0.000000e+00	2009.073498
22	185.539779	5.034803	35.986988	0.231041	0	0	0	0.000000e+00	2023.757358
23	193.159931	4.931793	36.002899	0.230939	0	0	0	0.000000e+00	2032.680562
