Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	2909.651664	 -0.000001	0	1.226646e-04
1	10.877548	7.198020	2891.243122	 -0.000000	0	9.760667e-01
2	21.660461	7.095009	2858.211504	  0.000001	0	9.760667e-01
3	32.287903	6.991999	2807.642795	  0.000001	0	9.760667e-01
4	42.692114	6.888989	2739.295992	  0.000001	0	9.760667e-01
5	52.810587	6.785978	2656.017294	  0.000002	0	9.760667e-01
6	62.592734	6.682968	2561.023696	  0.000002	0	9.760667e-01
7	72.000756	6.579958	2457.597923	  0.000002	0	9.760667e-01
8	81.009995	6.476948	2349.298242	  0.000002	0	9.760667e-01
9	89.609113	6.373937	2239.564066	  0.000001	0	9.760667e-01
10	97.801278	6.270927	2132.659146	  0.000001	0	9.760667e-01
11	105.607194	6.167917	2033.767798	 -0.000000	0	9.760667e-01
12	113.067928	6.064906	1948.602227	 -0.000001	0	9.760667e-01
13	120.257956	5.961896	1889.348089	 -0.000000	0	9.760667e-01
14	127.285292	5.858886	1861.729567	  0.000001	0	9.760667e-01
15	134.262738	5.755875	1862.618706	  0.000003	0	9.760667e-01
16	141.280418	5.652865	1883.087407	  0.000002	0	9.760667e-01
17	148.393437	5.549855	1913.337909	 -0.000002	0	9.760667e-01
18	155.624453	5.446845	1945.866119	 -0.000009	0	9.760667e-01
19	162.972744	5.343834	1975.688356	 -0.000018	0	9.760667e-01
20	170.423260	5.240824	2000.140484	 -0.000027	0	9.760667e-01
21	177.953675	5.137814	2018.006513	 -0.000033	0	9.760667e-01
22	185.539779	5.034803	2029.508203	 -0.000036	0	9.760667e-01
23	193.159931	4.931793	2035.852921	 -0.000032	0	9.760667e-01
24	200.796352	4.828783	2037.856408	 -0.000025	0	9.760667e-01
25	208.433997	4.725772	2036.198685	 -0.000016	0	9.760667e-01
26	216.060357	4.622762	2031.559440	 -0.000003	0	9.760667e-01
27	223.665192	4.519752	2024.467641	  0.000013	0	9.760667e-01
28	231.239846	4.416742	2015.244566	  0.000027	0	9.760667e-01
29	238.776464	4.313731	2004.000885	  0.000038	0	9.760667e-01
30	246.267237	4.210721	1990.658307	  0.000047	0	9.760667e-01
31	253.704303	4.107711	1975.272802	  0.000059	0	9.760667e-01
32	261.082626	4.004700	1959.256607	  0.000065	0	9.760667e-01
33	268.402458	3.901690	1944.052335	  0.000071	0	9.760667e-01
34	275.660837	3.798680	1926.472547	  0.000083	0	9.760667e-01
35	282.850754	3.695669	1907.573269	  0.000092	0	9.760667e-01
36	289.967587	3.592659	1887.549001	  0.000088	0	9.760667e-01
37	297.007503	3.489649	1866.652818	  0.000084	0	9.760667e-01
38	303.968135	3.386639	1845.374552	  0.000020	0	9.760667e-01
39	310.848927	3.283628	1824.197368	 -0.000012	0	9.760667e-01
40	317.651482	3.180618	1803.762042	  0.000085	0	9.760667e-01
41	324.380495	3.077608	1785.062497	  0.000105	0	9.760667e-01
42	331.042075	2.974597	1767.871374	  0.000087	0	9.760667e-01
43	337.637132	2.871587	1749.654800	  0.000068	0	9.760667e-01
44	344.162895	2.768577	1730.978535	  0.000020	0	9.760667e-01
45	350.618936	2.665566	1712.545649	 -0.000120	0	9.760667e-01
46	357.006516	2.562556	1694.536505	 -0.000246	0	9.760667e-01
47	363.327325	2.459546	1677.002735	 -0.000303	0	9.760667e-01
48	369.583211	2.356536	1659.983059	 -0.001686	0	9.760667e-01
49	375.776309	2.253525	1643.554003	  0.000054	0	9.760667e-01
50	381.909218	2.150515	1627.929186	  0.001542	0	9.760667e-01
51	387.986443	2.047505	1613.879238	  0.000679	0	9.760667e-01
52	394.011138	1.944494	1599.938888	  0.000348	0	9.760667e-01
53	399.979549	1.841484	1583.914845	  0.000355	0	9.760667e-01
54	405.886657	1.738474	1567.271298	  0.000534	0	9.760667e-01
55	411.730143	1.635463	1550.057326	  0.000835	0	9.760667e-01
56	417.508461	1.532453	1532.574440	  0.000688	0	9.760667e-01
57	423.221315	1.429443	1515.201378	 -0.001625	0	9.760667e-01
58	428.869638	1.326433	1498.217453	 -0.004340	0	9.760667e-01
59	434.455285	1.223422	1481.819549	  0.004650	0	9.760667e-01
60	439.980690	1.120412	1466.146416	  0.006296	0	9.760667e-01
61	445.448687	1.017402	1451.218325	  0.002577	0	9.760667e-01
62	450.861534	0.914391	1436.757017	  0.000745	0	9.760667e-01
63	456.221390	0.811381	1422.973551	 -0.000303	0	9.760667e-01
64	461.531576	0.708371	1410.278559	 -0.001815	0	9.760667e-01
65	466.796532	0.605360	1398.855806	 -0.002392	0	9.760667e-01
66	472.021437	0.502350	1388.905204	 -0.003522	0	9.760667e-01
67	477.212015	0.399340	1380.541582	 -0.015060	0	9.760667e-01
68	482.374325	0.296330	1373.813166	  0.019654	0	9.760667e-01
69	487.514545	0.193319	1368.739893	  0.005810	0	9.760667e-01
70	492.638889	0.090309	1365.295742	 -0.009182	0	9.760667e-01
71	497.753244	-0.012701	1363.354180	 -0.006553	0	9.760667e-01
72	502.862963	-0.115712	1362.763529	 -0.002040	0	9.760667e-01
73	507.972711	-0.218722	1363.289244	 -0.000277	0	9.760667e-01
74	513.086044	-0.321732	1364.565086	 -0.000912	0	9.760667e-01
75	518.204889	-0.424743	1366.108209	 -0.003738	0	9.760667e-01
76	523.329221	-0.527753	1367.355738	 -0.007814	0	9.760667e-01
77	528.456870	-0.630763	1367.743254	 -0.009945	0	9.760667e-01
78	533.583597	-0.733773	1366.710828	 -0.014547	0	9.760667e-01
79	538.703206	-0.836784	1363.829333	 -0.031744	0	9.760667e-01
80	543.808432	-0.939794	1358.940714	 -0.039677	0	9.760667e-01
81	548.891770	-1.042804	1352.107195	 -0.039495	0	9.760667e-01
82	553.946444	-1.145815	1343.637167	 -0.036951	0	9.760667e-01
83	558.967091	-1.248825	1333.980240	 -0.028701	0	9.760667e-01
84	563.950198	-1.351835	1323.659744	 -0.012410	0	9.760667e-01
85	568.894023	-1.454846	1313.079024	  0.015887	0	9.760667e-01
86	573.797901	-1.557856	1302.425732	  0.047496	0	9.760667e-01
87	578.661519	-1.660866	1291.673448	  0.067307	0	9.760667e-01
88	583.484422	-1.763876	1280.766101	  0.058212	0	9.760667e-01
89	588.266039	-1.866887	1269.715982	  0.002481	0	9.760667e-01
90	593.005981	-1.969897	1258.600695	  0.022489	0	9.760667e-01
91	597.704377	-2.072907	1247.625780	  0.022649	0	9.760667e-01
92	602.362322	-2.175918	1237.070018	  0.017426	0	9.760667e-01
93	606.981878	-2.278928	1227.204713	  0.015900	0	9.760667e-01
94	611.566055	-2.381938	1218.233913	  0.003832	0	9.760667e-01
95	616.118482	-2.484949	1210.287412	 -0.011258	0	9.760667e-01
96	620.643042	-2.587959	1203.387379	 -0.038051	0	9.760667e-01
97	625.143661	-2.690969	1197.508276	 -0.092413	0	9.760667e-01
98	629.624055	-2.793979	1192.589014	 -0.169008	0	9.760667e-01
99	634.087679	-2.896990	1188.531249	 -0.713796	0	9.760667e-01
100	638.537475	-3.000000	1185.194457	  0.913754	0	9.760667e-01
