Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  8.659574	7.198020	41.032599	0.202631	0	0	0	0.000000e+00	2972.865623
2	 17.253642	7.095009	41.007688	0.202754	0	0	0	0.000000e+00	2949.921482
3	 25.748881	6.991999	40.973494	0.202923	0	0	0	0.000000e+00	2915.583241
4	 34.098208	6.888989	40.932342	0.203127	0	0	0	0.000000e+00	2865.577383
5	 42.255092	6.785978	40.884079	0.203367	0	0	0	0.000000e+00	2800.107898
6	 50.179994	6.682968	40.828574	0.203643	0	0	0	0.000000e+00	2721.470614
7	 57.845667	6.579958	40.766645	0.203953	0	0	0	0.000000e+00	2633.746554
8	 65.240892	6.476948	40.699264	0.204290	0	0	0	0.000000e+00	2542.244983
9	 72.373705	6.373937	40.628382	0.204647	0	0	0	0.000000e+00	2453.365620
10	 79.272051	6.270927	40.558185	0.205001	0	0	0	0.000000e+00	2373.799464
11	 85.981068	6.167917	40.494157	0.205325	0	0	0	0.000000e+00	2309.345236
12	 92.556008	6.064906	40.442474	0.205588	0	0	0	0.000000e+00	2263.483798
13	 99.052500	5.961896	40.405554	0.205775	0	0	0	0.000000e+00	2236.362891
14	105.517691	5.858886	40.382156	0.205895	0	0	0	0.000000e+00	2225.132655
15	111.985834	5.755875	40.367964	0.205967	0	0	0	0.000000e+00	2225.421100
16	118.478586	5.652865	40.358862	0.206014	0	0	0	0.000000e+00	2232.976774
17	125.007602	5.549855	40.351063	0.206053	0	0	0	0.000000e+00	2244.398103
18	131.577150	5.446845	40.342676	0.206096	0	0	0	0.000000e+00	2257.205687
19	138.186334	5.343834	40.332513	0.206148	0	0	0	0.000000e+00	2269.665508
20	144.830462	5.240824	40.320268	0.206211	0	0	0	0.000000e+00	2280.521247
21	151.502458	5.137814	40.305909	0.206284	0	0	0	0.000000e+00	2288.987844
22	158.194063	5.034803	40.289968	0.206366	0	0	0	0.000000e+00	2294.698542
23	164.896624	4.931793	40.272765	0.206454	0	0	0	0.000000e+00	2297.537202
24	171.601246	4.828783	40.254403	0.206548	0	0	0	0.000000e+00	2297.432119
25	178.298435	4.725772	40.234636	0.206650	0	0	0	0.000000e+00	2294.183862
26	184.977813	4.622762	40.213311	0.206759	0	0	0	0.000000e+00	2287.510589
27	191.628614	4.519752	40.189817	0.206880	0	0	0	0.000000e+00	2277.269159
28	198.240391	4.416742	40.164012	0.207013	0	0	0	0.000000e+00	2263.569845
29	204.803988	4.313731	40.135975	0.207158	0	0	0	0.000000e+00	2246.842015
30	211.312361	4.210721	40.105991	0.207312	0	0	0	0.000000e+00	2227.785412
31	217.760922	4.107711	40.074492	0.207475	0	0	0	0.000000e+00	2207.213945
32	224.147983	4.004700	40.042163	0.207643	0	0	0	0.000000e+00	2186.090390
33	230.474449	3.901690	40.010212	0.207809	0	0	0	0.000000e+00	2165.301529
34	236.740459	3.798680	39.977809	0.207977	0	0	0	0.000000e+00	2144.562601
35	242.944921	3.695669	39.944887	0.208149	0	0	0	0.000000e+00	2123.479297
36	249.087448	3.592659	39.911503	0.208323	0	0	0	0.000000e+00	2102.280029
37	255.167524	3.489649	39.877529	0.208500	0	0	0	0.000000e+00	2080.918684
38	261.184400	3.386639	39.842965	0.208681	0	0	0	0.000000e+00	2059.321760
39	267.137348	3.283628	39.807654	0.208866	0	0	0	0.000000e+00	2037.490178
40	273.026097	3.180618	39.771841	0.209054	0	0	0	0.000000e+00	2015.581700
41	278.851892	3.077608	39.735888	0.209243	0	0	0	0.000000e+00	1994.091521
42	284.617446	2.974597	39.700668	0.209429	0	0	0	0.000000e+00	1973.525965
43	290.324178	2.871587	39.665568	0.209614	0	0	0	0.000000e+00	1953.444823
44	295.972285	2.768577	39.629639	0.209804	0	0	0	0.000000e+00	1933.419299
45	301.562802	2.665566	39.594180	0.209992	0	0	0	0.000000e+00	1913.769430
46	307.097436	2.562556	39.558830	0.210180	0	0	0	0.000000e+00	1894.692267
47	312.577847	2.459546	39.523840	0.210366	0	0	0	0.000000e+00	1876.182148
48	318.005447	2.356536	39.488643	0.210554	0	0	0	0.000000e+00	1858.136060
49	323.381032	2.253525	39.453741	0.210740	0	0	0	0.000000e+00	1840.379129
50	328.705081	2.150515	39.418451	0.210928	0	0	0	0.000000e+00	1822.783245
51	333.977946	2.047505	39.383053	0.211118	0	0	0	0.000000e+00	1805.317500
52	339.198740	1.944494	39.346889	0.211312	0	0	0	0.000000e+00	1787.565619
53	344.364152	1.841484	39.309111	0.211515	0	0	0	0.000000e+00	1768.730712
54	349.470409	1.738474	39.269203	0.211730	0	0	0	0.000000e+00	1748.649920
55	354.514679	1.635463	39.227373	0.211956	0	0	0	0.000000e+00	1727.629048
56	359.494697	1.532453	39.184582	0.212187	0	0	0	0.000000e+00	1705.885655
57	364.409258	1.429443	39.140558	0.212426	0	0	0	0.000000e+00	1683.742241
58	369.258366	1.326433	39.096519	0.212665	0	0	0	0.000000e+00	1661.630778
59	374.043458	1.223422	39.052506	0.212905	0	0	0	0.000000e+00	1640.004442
60	378.767074	1.120412	39.008842	0.213143	0	0	0	0.000000e+00	1619.223378
61	383.432294	1.017402	38.966180	0.213377	0	0	0	0.000000e+00	1599.481120
62	388.042246	0.914391	38.924376	0.213606	0	0	0	0.000000e+00	1580.786070
63	392.599995	0.811381	38.883159	0.213832	0	0	0	0.000000e+00	1563.108119
64	397.108502	0.708371	38.842702	0.214055	0	0	0	0.000000e+00	1546.417110
65	401.570391	0.605360	38.802878	0.214275	0	0	0	0.000000e+00	1530.601218
66	405.987792	0.502350	38.763797	0.214491	0	0	0	0.000000e+00	1515.506025
67	410.362364	0.399340	38.724669	0.214707	0	0	0	0.000000e+00	1500.955737
68	414.695234	0.296330	38.685335	0.214926	0	0	0	0.000000e+00	1486.776384
69	418.987197	0.193319	38.646172	0.215143	0	0	0	0.000000e+00	1472.876239
70	423.238945	0.090309	38.606616	0.215364	0	0	0	0.000000e+00	1459.202903
71	427.450913	-0.012701	38.566955	0.215585	0	0	0	0.000000e+00	1445.686111
72	431.623390	-0.115712	38.526753	0.215810	0	0	0	0.000000e+00	1432.265247
73	435.756462	-0.218722	38.486222	0.216038	0	0	0	0.000000e+00	1418.884455
74	439.849993	-0.321732	38.444988	0.216269	0	0	0	0.000000e+00	1405.463161
75	443.903653	-0.424743	38.402369	0.216509	0	0	0	0.000000e+00	1391.922188
76	447.917044	-0.527753	38.359363	0.216752	0	0	0	0.000000e+00	1378.272586
77	451.890176	-0.630763	38.315282	0.217001	0	0	0	0.000000e+00	1364.622399
78	455.823526	-0.733773	38.270330	0.217256	0	0	0	0.000000e+00	1351.123679
79	459.718039	-0.836784	38.225141	0.217513	0	0	0	0.000000e+00	1337.941362
80	463.575110	-0.939794	38.180133	0.217770	0	0	0	0.000000e+00	1325.225649
81	467.396495	-1.042804	38.135680	0.218023	0	0	0	0.000000e+00	1313.097435
82	471.184254	-1.145815	38.091916	0.218274	0	0	0	0.000000e+00	1301.651947
83	474.940666	-1.248825	38.033808	0.218607	0	0	0	0.000000e+00	1290.972444
84	478.668198	-1.351835	37.999186	0.218807	0	0	0	0.000000e+00	1281.113356
85	482.369309	-1.454846	37.965248	0.219002	0	0	0	0.000000e+00	1272.071535
86	486.046291	-1.557856	37.932235	0.219193	0	0	0	0.000000e+00	1263.794415
87	489.701162	-1.660866	37.900445	0.219377	0	0	0	0.000000e+00	1256.200045
88	493.335717	-1.763876	37.869372	0.219557	0	0	0	0.000000e+00	1249.199812
89	496.951516	-1.866887	37.839069	0.219732	0	0	0	0.000000e+00	1242.720225
90	500.550001	-1.969897	37.809345	0.219905	0	0	0	0.000000e+00	1236.715755
91	504.132499	-2.072907	37.780900	0.220071	0	0	0	0.000000e+00	1231.168799
92	507.700438	-2.175918	37.752731	0.220235	0	0	0	0.000000e+00	1226.080570
93	511.255174	-2.278928	37.726001	0.220391	0	0	0	0.000000e+00	1221.459229
94	514.798187	-2.381938	37.699563	0.220546	0	0	0	0.000000e+00	1217.310853
95	518.330890	-2.484949	37.674216	0.220694	0	0	0	0.000000e+00	1213.634923
96	521.854641	-2.587959	37.650203	0.220835	0	0	0	0.000000e+00	1210.420878
97	525.370835	-2.690969	37.626338	0.220975	0	0	0	0.000000e+00	1207.647453
98	528.880707	-2.793979	37.603397	0.221110	0	0	0	0.000000e+00	1205.285019
99	532.385408	-2.896990	37.580832	0.221242	0	0	0	0.000000e+00	1203.292975
100	535.885951	-3.000000	37.559427	0.221368	0	0	0	0.000000e+00	1201.638227
