Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	2982.476095	 -0.000003	0	1.226646e-04
1	8.659574	7.198020	2963.255151	 -0.000001	0	9.760667e-01
2	17.253642	7.095009	2936.587814	  0.000001	0	9.760667e-01
3	25.748881	6.991999	2894.578668	  0.000001	0	9.760667e-01
4	34.098208	6.888989	2836.576099	  0.000001	0	9.760667e-01
5	42.255092	6.785978	2763.639698	  0.000002	0	9.760667e-01
6	50.179994	6.682968	2679.301529	  0.000002	0	9.760667e-01
7	57.845667	6.579958	2588.191579	  0.000003	0	9.760667e-01
8	65.240892	6.476948	2496.298387	  0.000003	0	9.760667e-01
9	72.373705	6.373937	2410.432853	  0.000003	0	9.760667e-01
10	79.272051	6.270927	2337.166076	  0.000003	0	9.760667e-01
11	85.981068	6.167917	2281.524396	  0.000003	0	9.760667e-01
12	92.556008	6.064906	2245.443199	  0.000005	0	9.760667e-01
13	99.052500	5.961896	2227.282583	  0.000008	0	9.760667e-01
14	105.517691	5.858886	2222.982727	  0.000014	0	9.760667e-01
15	111.985834	5.755875	2227.859473	  0.000023	0	9.760667e-01
16	118.478586	5.652865	2238.094075	  0.000033	0	9.760667e-01
17	125.007602	5.549855	2250.702130	  0.000043	0	9.760667e-01
18	131.577150	5.446845	2263.709243	  0.000048	0	9.760667e-01
19	138.186334	5.343834	2275.621773	  0.000048	0	9.760667e-01
20	144.830462	5.240824	2285.420722	  0.000049	0	9.760667e-01
21	151.502458	5.137814	2292.554966	  0.000046	0	9.760667e-01
22	158.194063	5.034803	2296.842119	  0.000036	0	9.760667e-01
23	164.896624	4.931793	2298.232286	  0.000014	0	9.760667e-01
24	171.601246	4.828783	2296.631952	 -0.000018	0	9.760667e-01
25	178.298435	4.725772	2291.735772	 -0.000054	0	9.760667e-01
26	184.977813	4.622762	2283.285407	 -0.000083	0	9.760667e-01
27	191.628614	4.519752	2271.252912	 -0.000067	0	9.760667e-01
28	198.240391	4.416742	2255.886778	 -0.000033	0	9.760667e-01
29	204.803988	4.313731	2237.797253	 -0.000028	0	9.760667e-01
30	211.312361	4.210721	2217.773571	 -0.000028	0	9.760667e-01
31	217.760922	4.107711	2196.654319	 -0.000019	0	9.760667e-01
32	224.147983	4.004700	2175.526460	 -0.000005	0	9.760667e-01
33	230.474449	3.901690	2155.076597	 -0.000036	0	9.760667e-01
34	236.740459	3.798680	2134.048605	  0.000043	0	9.760667e-01
35	242.944921	3.695669	2112.909988	  0.000186	0	9.760667e-01
36	249.087448	3.592659	2091.650070	  0.000313	0	9.760667e-01
37	255.167524	3.489649	2070.187299	  0.000494	0	9.760667e-01
