Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  3.591408	4.900000	57.562951	0.144441	0	1	1	2.360951e+03	2322.335472
2	  7.100534	4.800000	57.617202	0.144305	0	0	0	0.000000e+00	2272.114833
3	 10.570923	4.700000	57.721150	0.144046	0	0	0	0.000000e+00	2249.448965
4	 14.006170	4.600000	57.725624	0.144034	0	0	0	0.000000e+00	2227.519876
5	 17.406272	4.500000	57.731134	0.144021	0	0	0	0.000000e+00	2205.595266
6	 20.770798	4.400000	57.739137	0.144001	0	0	0	0.000000e+00	2183.427518
7	 24.099904	4.300000	57.748267	0.143978	0	0	0	0.000000e+00	2161.366256
8	 27.394535	4.200000	57.755004	0.143961	0	0	0	0.000000e+00	2139.854656
9	 30.656355	4.100000	57.756264	0.143958	0	0	0	0.000000e+00	2119.306656
10	 33.887469	4.000000	57.751302	0.143970	0	0	0	0.000000e+00	2099.989572
11	 37.089610	3.900000	57.741041	0.143996	0	0	0	0.000000e+00	2081.689662
12	 40.263657	3.800000	57.727541	0.144030	0	0	0	0.000000e+00	2063.897779
13	 43.410096	3.700000	57.713187	0.144065	0	0	0	0.000000e+00	2046.400725
14	 46.529185	3.600000	57.699838	0.144099	0	0	0	0.000000e+00	2029.081018
15	 49.620778	3.500000	57.688682	0.144127	0	0	0	0.000000e+00	2011.697004
16	 52.684401	3.400000	57.681044	0.144146	0	0	0	0.000000e+00	1994.061262
17	 55.719477	3.300000	57.677130	0.144155	0	0	0	0.000000e+00	1976.108618
18	 58.725523	3.200000	57.675720	0.144159	0	0	0	0.000000e+00	1957.880795
19	 61.702533	3.100000	57.675182	0.144160	0	0	0	0.000000e+00	1939.657406
20	 64.651169	3.000000	57.673822	0.144164	0	0	0	0.000000e+00	1921.837562
21	 67.571921	2.900000	57.671658	0.144169	0	0	0	0.000000e+00	1904.312303
22	 70.464782	2.800000	57.668304	0.144178	0	0	0	0.000000e+00	1886.767616
23	 73.330053	2.700000	57.663752	0.144189	0	0	0	0.000000e+00	1869.397748
24	 76.168484	2.600000	57.657254	0.144205	0	0	0	0.000000e+00	1852.473834
25	 78.980842	2.500000	57.648610	0.144227	0	0	0	0.000000e+00	1836.006950
26	 81.767722	2.400000	57.638049	0.144253	0	0	0	0.000000e+00	1819.894363
27	 84.529383	2.300000	57.626344	0.144282	0	0	0	0.000000e+00	1803.932077
28	 87.265727	2.200000	57.614590	0.144312	0	0	0	0.000000e+00	1787.909291
29	 89.976561	2.100000	57.602816	0.144341	0	0	0	0.000000e+00	1771.766223
30	 92.661496	2.000000	57.592627	0.144367	0	0	0	0.000000e+00	1755.395669
31	 95.319239	1.900000	57.583788	0.144389	0	0	0	0.000000e+00	1738.232601
32	 97.947686	1.800000	57.575831	0.144409	0	0	0	0.000000e+00	1719.752462
33	100.544870	1.700000	57.565946	0.144434	0	0	0	0.000000e+00	1700.021802
34	103.109304	1.600000	57.551160	0.144471	0	0	0	0.000000e+00	1679.306515
