Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	4.900000	0	1.8385e-03	0.0000e+00	1.7596e-13	0.0000e+00
2	4.800000	0	1.8676e-03	0.0000e+00	1.4139e-13	0.0000e+00
3	4.700000	0	1.8915e-03	0.0000e+00	1.1397e-13	0.0000e+00
4	4.600000	0	1.9005e-03	0.0000e+00	9.3436e-14	0.0000e+00
5	4.500000	0	1.9096e-03	0.0000e+00	7.6551e-14	0.0000e+00
6	4.400000	0	1.9191e-03	0.0000e+00	6.2662e-14	0.0000e+00
7	4.300000	0	1.9289e-03	0.0000e+00	5.1262e-14	0.0000e+00
8	4.200000	0	1.9381e-03	0.0000e+00	4.1953e-14	0.0000e+00
9	4.100000	0	1.9462e-03	0.0000e+00	3.4375e-14	0.0000e+00
10	4.000000	0	1.9531e-03	0.0000e+00	2.8199e-14	0.0000e+00
11	3.900000	0	1.9588e-03	0.0000e+00	2.3166e-14	0.0000e+00
12	3.800000	0	1.9640e-03	0.0000e+00	1.9047e-14	0.0000e+00
13	3.700000	0	1.9690e-03	0.0000e+00	1.5664e-14	0.0000e+00
14	3.600000	0	1.9741e-03	0.0000e+00	1.2875e-14	0.0000e+00
15	3.500000	0	1.9796e-03	0.0000e+00	1.0577e-14	0.0000e+00
16	3.400000	0	1.9857e-03	0.0000e+00	8.6770e-15	0.0000e+00
17	3.300000	0	1.9926e-03	0.0000e+00	7.1112e-15	0.0000e+00
18	3.200000	0	2.0000e-03	0.0000e+00	5.8232e-15	0.0000e+00
19	3.100000	0	2.0075e-03	0.0000e+00	4.7631e-15	0.0000e+00
20	3.000000	0	2.0149e-03	0.0000e+00	3.8987e-15	0.0000e+00
21	2.900000	0	2.0221e-03	0.0000e+00	3.1913e-15	0.0000e+00
22	2.800000	0	2.0293e-03	0.0000e+00	2.6126e-15	0.0000e+00
23	2.700000	0	2.0363e-03	0.0000e+00	2.1391e-15	0.0000e+00
24	2.600000	0	2.0430e-03	0.0000e+00	1.7526e-15	0.0000e+00
25	2.500000	0	2.0492e-03	0.0000e+00	1.4362e-15	0.0000e+00
26	2.400000	0	2.0551e-03	0.0000e+00	1.1779e-15	0.0000e+00
27	2.300000	0	2.0609e-03	0.0000e+00	9.6664e-16	0.0000e+00
28	2.200000	0	2.0669e-03	0.0000e+00	7.9289e-16	0.0000e+00
29	2.100000	0	2.0730e-03	0.0000e+00	6.5066e-16	0.0000e+00
30	2.000000	0	2.0797e-03	0.0000e+00	5.3374e-16	0.0000e+00
31	1.900000	0	2.0872e-03	0.0000e+00	4.3792e-16	0.0000e+00
32	1.800000	0	2.0957e-03	0.0000e+00	3.5911e-16	0.0000e+00
33	1.700000	0	2.1051e-03	0.0000e+00	2.9513e-16	0.0000e+00
34	1.600000	0	2.1147e-03	0.0000e+00	2.4344e-16	0.0000e+00
35	1.500000	0	2.1241e-03	0.0000e+00	2.0195e-16	0.0000e+00
36	1.400000	0	2.1328e-03	0.0000e+00	1.6890e-16	0.0000e+00
37	1.300000	0	2.1404e-03	0.0000e+00	1.4234e-16	0.0000e+00
38	1.200000	0	2.1468e-03	0.0000e+00	1.2091e-16	0.0000e+00
39	1.100000	0	2.1520e-03	0.0000e+00	1.0339e-16	0.0000e+00
40	1.000000	0	2.1560e-03	0.0000e+00	8.8953e-17	0.0000e+00
41	0.900000	0	2.1591e-03	0.0000e+00	7.6577e-17	0.0000e+00
42	0.800000	0	2.1616e-03	0.0000e+00	6.6042e-17	0.0000e+00
43	0.700000	0	2.1634e-03	0.0000e+00	5.7166e-17	0.0000e+00
44	0.600000	0	2.1647e-03	0.0000e+00	4.9476e-17	0.0000e+00
45	0.500000	0	2.1656e-03	0.0000e+00	4.2943e-17	0.0000e+00
46	0.400000	0	2.1663e-03	0.0000e+00	3.7251e-17	0.0000e+00
47	0.300000	0	2.1667e-03	0.0000e+00	3.2355e-17	0.0000e+00
48	0.200000	0	2.1667e-03	0.0000e+00	2.8212e-17	0.0000e+00
49	0.100000	0	2.1667e-03	0.0000e+00	2.4589e-17	0.0000e+00
50	0.000000	0	2.1664e-03	0.0000e+00	2.1471e-17	0.0000e+00
51	-0.100000	0	2.1659e-03	0.0000e+00	1.8842e-17	0.0000e+00
52	-0.200000	0	2.1653e-03	0.0000e+00	1.6544e-17	0.0000e+00
53	-0.300000	0	2.1644e-03	0.0000e+00	1.4578e-17	0.0000e+00
54	-0.400000	0	2.1634e-03	0.0000e+00	1.2850e-17	0.0000e+00
55	-0.500000	0	2.1621e-03	0.0000e+00	1.1377e-17	0.0000e+00
56	-0.600000	0	2.1609e-03	0.0000e+00	1.0032e-17	0.0000e+00
57	-0.700000	0	2.1593e-03	0.0000e+00	8.8877e-18	0.0000e+00
58	-0.800000	0	2.1577e-03	0.0000e+00	7.8259e-18	0.0000e+00
59	-0.900000	0	2.1561e-03	0.0000e+00	6.8703e-18	0.0000e+00
60	-1.000000	0	2.1542e-03	0.0000e+00	6.0191e-18	0.0000e+00
61	-1.100000	0	2.1526e-03	0.0000e+00	5.2269e-18	0.0000e+00
62	-1.200000	0	2.1511e-03	0.0000e+00	4.5045e-18	0.0000e+00
63	-1.300000	0	2.1494e-03	0.0000e+00	3.8720e-18	0.0000e+00
64	-1.400000	0	2.1479e-03	0.0000e+00	3.2931e-18	0.0000e+00
65	-1.500000	0	2.1465e-03	0.0000e+00	2.7829e-18	0.0000e+00
66	-1.600000	0	2.1453e-03	0.0000e+00	2.3349e-18	0.0000e+00
67	-1.700000	0	2.1441e-03	0.0000e+00	1.9433e-18	0.0000e+00
68	-1.800000	0	2.1429e-03	0.0000e+00	1.6149e-18	0.0000e+00
69	-1.900000	0	2.1420e-03	0.0000e+00	1.3279e-18	0.0000e+00
70	-2.000000	0	2.1411e-03	0.0000e+00	1.0884e-18	0.0000e+00
71	-2.100000	0	2.1403e-03	0.0000e+00	8.8636e-19	0.0000e+00
72	-2.200000	0	2.1397e-03	0.0000e+00	7.1889e-19	0.0000e+00
73	-2.300000	0	2.1389e-03	0.0000e+00	5.8278e-19	0.0000e+00
74	-2.400000	0	2.1383e-03	0.0000e+00	4.6993e-19	0.0000e+00
75	-2.500000	0	2.1377e-03	0.0000e+00	3.7810e-19	0.0000e+00
76	-2.600000	0	2.1370e-03	0.0000e+00	3.0446e-19	0.0000e+00
77	-2.700000	0	2.1365e-03	0.0000e+00	2.4372e-19	0.0000e+00
78	-2.800000	0	2.1359e-03	0.0000e+00	1.9490e-19	0.0000e+00
79	-2.900000	0	2.1353e-03	0.0000e+00	1.5577e-19	0.0000e+00
80	-3.000000	0	2.1347e-03	0.0000e+00	1.2437e-19	0.0000e+00
