Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  7.705240	4.900000	37.196632	0.223528	0	0	0	0.000000e+00	2429.689634
2	 15.189943	4.800000	37.119272	0.223993	0	0	0	0.000000e+00	2360.549475
3	 22.604281	4.700000	37.094116	0.224145	0	0	0	0.000000e+00	2338.638956
4	 29.950019	4.600000	37.068511	0.224300	0	0	0	0.000000e+00	2316.959695
5	 37.224337	4.500000	37.041312	0.224465	0	0	0	0.000000e+00	2294.407270
6	 44.422952	4.400000	37.012101	0.224642	0	0	0	0.000000e+00	2270.541472
7	 51.542672	4.300000	36.981086	0.224830	0	0	0	0.000000e+00	2245.699477
8	 58.581997	4.200000	36.948862	0.225026	0	0	0	0.000000e+00	2220.405036
9	 65.541037	4.100000	36.915990	0.225227	0	0	0	0.000000e+00	2195.152845
10	 72.421780	4.000000	36.883154	0.225427	0	0	0	0.000000e+00	2170.520593
11	 79.227511	3.900000	36.851069	0.225624	0	0	0	0.000000e+00	2146.922208
12	 85.958800	3.800000	36.818766	0.225822	0	0	0	0.000000e+00	2123.516815
13	 92.614154	3.700000	36.784845	0.226030	0	0	0	0.000000e+00	2099.636654
14	 99.192763	3.600000	36.749900	0.226245	0	0	0	0.000000e+00	2075.517243
15	105.693883	3.500000	36.713972	0.226466	0	0	0	0.000000e+00	2051.178303
16	112.117072	3.400000	36.676873	0.226695	0	0	0	0.000000e+00	2026.699453
17	118.462638	3.300000	36.639054	0.226929	0	0	0	0.000000e+00	2002.315718
18	124.732921	3.200000	36.601569	0.227162	0	0	0	0.000000e+00	1978.662577
19	130.932665	3.100000	36.565712	0.227384	0	0	0	0.000000e+00	1956.491417
20	137.067760	3.000000	36.531847	0.227595	0	0	0	0.000000e+00	1936.146271
21	143.141304	2.900000	36.499190	0.227799	0	0	0	0.000000e+00	1916.781162
22	149.152149	2.800000	36.465112	0.228012	0	0	0	0.000000e+00	1897.050732
23	155.098414	2.700000	36.429366	0.228235	0	0	0	0.000000e+00	1876.740617
24	160.978900	2.600000	36.392166	0.228469	0	0	0	0.000000e+00	1856.060054
25	166.792356	2.500000	36.353510	0.228712	0	0	0	0.000000e+00	1834.995599
26	172.537705	2.400000	36.313181	0.228966	0	0	0	0.000000e+00	1813.590375
27	178.214083	2.300000	36.271491	0.229229	0	0	0	0.000000e+00	1791.920368
28	183.821208	2.200000	36.228574	0.229500	0	0	0	0.000000e+00	1770.158995
29	189.360039	2.100000	36.185158	0.229776	0	0	0	0.000000e+00	1748.693647
30	194.832691	2.000000	36.142056	0.230050	0	0	0	0.000000e+00	1727.889285
31	200.240675	1.900000	36.099006	0.230324	0	0	0	0.000000e+00	1707.559624
32	205.584595	1.800000	36.055058	0.230605	0	0	0	0.000000e+00	1687.402841
33	210.865652	1.700000	36.011114	0.230886	0	0	0	0.000000e+00	1667.630117
34	216.085838	1.600000	35.967437	0.231167	0	0	0	0.000000e+00	1648.476540
35	221.247106	1.500000	35.924122	0.231445	0	0	0	0.000000e+00	1629.932303
36	226.351195	1.400000	35.880947	0.231724	0	0	0	0.000000e+00	1611.926295
37	231.399456	1.300000	35.837906	0.232002	0	0	0	0.000000e+00	1594.346872
38	236.392939	1.200000	35.794705	0.232282	0	0	0	0.000000e+00	1577.095796
39	241.332608	1.100000	35.751093	0.232566	0	0	0	0.000000e+00	1560.140247
40	246.219210	1.000000	35.707224	0.232851	0	0	0	0.000000e+00	1543.422043
41	251.053104	0.900000	35.662607	0.233143	0	0	0	0.000000e+00	1526.815845
42	255.834432	0.800000	35.616995	0.233441	0	0	0	0.000000e+00	1510.250038
43	260.563337	0.700000	35.570558	0.233746	0	0	0	0.000000e+00	1493.732842
44	265.240193	0.600000	35.523204	0.234057	0	0	0	0.000000e+00	1477.327420
45	269.865769	0.500000	35.475369	0.234373	0	0	0	0.000000e+00	1461.161070
46	274.441280	0.400000	35.427581	0.234689	0	0	0	0.000000e+00	1445.377133
47	278.968398	0.300000	35.380193	0.235004	0	0	0	0.000000e+00	1430.115001
48	283.449284	0.200000	35.333733	0.235313	0	0	0	0.000000e+00	1415.528098
49	287.886531	0.100000	35.289147	0.235610	0	0	0	0.000000e+00	1401.766099
50	292.283254	0.000000	35.246695	0.235894	0	0	0	0.000000e+00	1388.978157
51	296.642979	-0.100000	35.207156	0.236159	0	0	0	0.000000e+00	1377.301222
52	300.969427	-0.200000	35.171041	0.236401	0	0	0	0.000000e+00	1366.798477
53	305.266254	-0.300000	35.138038	0.236623	0	0	0	0.000000e+00	1357.438223
54	309.536692	-0.400000	35.108304	0.236824	0	0	0	0.000000e+00	1349.100052
55	313.783352	-0.500000	35.081378	0.237005	0	0	0	0.000000e+00	1341.592688
56	318.008183	-0.600000	35.056004	0.237177	0	0	0	0.000000e+00	1334.687632
57	322.212314	-0.700000	35.031799	0.237341	0	0	0	0.000000e+00	1328.143492
58	326.396199	-0.800000	35.007890	0.237503	0	0	0	0.000000e+00	1321.743614
59	330.559792	-0.900000	34.983657	0.237667	0	0	0	0.000000e+00	1315.328904
60	334.702754	-1.000000	34.958647	0.237837	0	0	0	0.000000e+00	1308.805698
61	338.824641	-1.100000	34.932863	0.238013	0	0	0	0.000000e+00	1302.144080
62	342.925112	-1.200000	34.885331	0.238337	0	0	0	0.000000e+00	1295.375858
63	347.004107	-1.300000	34.863485	0.238487	0	0	0	0.000000e+00	1288.589063
64	351.061929	-1.400000	34.841294	0.238638	0	0	0	0.000000e+00	1281.893319
65	355.099101	-1.500000	34.819371	0.238789	0	0	0	0.000000e+00	1275.369797
66	359.116244	-1.600000	34.797490	0.238939	0	0	0	0.000000e+00	1269.037435
67	363.113784	-1.700000	34.775721	0.239088	0	0	0	0.000000e+00	1262.841822
68	367.091824	-1.800000	34.753664	0.239240	0	0	0	0.000000e+00	1256.680534
69	371.050177	-1.900000	34.730883	0.239397	0	0	0	0.000000e+00	1250.457100
70	374.988527	-2.000000	34.707246	0.239560	0	0	0	0.000000e+00	1244.133749
71	378.906699	-2.100000	34.683087	0.239727	0	0	0	0.000000e+00	1237.758961
72	382.804925	-2.200000	34.658726	0.239895	0	0	0	0.000000e+00	1231.456101
73	386.683934	-2.300000	34.634901	0.240061	0	0	0	0.000000e+00	1225.385169
74	390.544957	-2.400000	34.612169	0.240218	0	0	0	0.000000e+00	1219.699391
75	394.389606	-2.500000	34.591042	0.240365	0	0	0	0.000000e+00	1214.516732
76	398.219684	-2.600000	34.572150	0.240496	0	0	0	0.000000e+00	1209.907774
77	402.037091	-2.700000	34.555452	0.240612	0	0	0	0.000000e+00	1205.893731
78	405.843670	-2.800000	34.540951	0.240713	0	0	0	0.000000e+00	1202.456464
79	409.641146	-2.900000	34.529268	0.240795	0	0	0	0.000000e+00	1199.560086
80	413.431041	-3.000000	34.519139	0.240866	0	0	0	0.000000e+00	1197.150676
