Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	5.000000	2487.670485	 -0.000000	0	1.348915e-04
1	7.705240	4.900000	2371.708783	 -0.000000	0	1.073673e+00
2	15.189943	4.800000	2349.390167	  0.000000	0	1.073673e+00
3	22.604281	4.700000	2327.887745	  0.000000	0	1.073673e+00
4	29.950019	4.600000	2306.031645	  0.000000	0	1.073673e+00
5	37.224337	4.500000	2282.782896	  0.000000	0	1.073673e+00
6	44.422952	4.400000	2258.300048	  0.000000	0	1.073673e+00
7	51.542672	4.300000	2233.098907	  0.000000	0	1.073673e+00
8	58.581997	4.200000	2207.711165	  0.000000	0	1.073673e+00
9	65.541037	4.100000	2182.594525	  0.000000	0	1.073673e+00
10	72.421780	4.000000	2158.446661	 -0.000000	0	1.073673e+00
11	79.227511	3.900000	2135.397755	 -0.000001	0	1.073673e+00
12	85.958800	3.800000	2111.635875	 -0.000001	0	1.073673e+00
13	92.614154	3.700000	2087.637433	 -0.000001	0	1.073673e+00
14	99.192763	3.600000	2063.397054	 -0.000000	0	1.073673e+00
15	105.693883	3.500000	2038.959552	  0.000000	0	1.073673e+00
16	112.117072	3.400000	2014.439355	  0.000000	0	1.073673e+00
17	118.462638	3.300000	1990.192082	  0.000000	0	1.073673e+00
18	124.732921	3.200000	1967.133072	 -0.000001	0	1.073673e+00
19	130.932665	3.100000	1945.849761	 -0.000002	0	1.073673e+00
20	137.067760	3.000000	1926.442782	 -0.000004	0	1.073673e+00
21	143.141304	2.900000	1907.119543	 -0.000005	0	1.073673e+00
22	149.152149	2.800000	1886.981921	 -0.000005	0	1.073673e+00
23	155.098414	2.700000	1866.499312	 -0.000005	0	1.073673e+00
24	160.978900	2.600000	1845.620797	 -0.000003	0	1.073673e+00
25	166.792356	2.500000	1824.370401	  0.000001	0	1.073673e+00
26	172.537705	2.400000	1802.810349	  0.000006	0	1.073673e+00
27	178.214083	2.300000	1781.030386	  0.000013	0	1.073673e+00
28	183.821208	2.200000	1759.287603	  0.000019	0	1.073673e+00
29	189.360039	2.100000	1738.099690	  0.000024	0	1.073673e+00
30	194.832691	2.000000	1717.678880	  0.000026	0	1.073673e+00
31	200.240675	1.900000	1697.440368	  0.000024	0	1.073673e+00
32	205.584595	1.800000	1677.365315	  0.000019	0	1.073673e+00
33	210.865652	1.700000	1657.894919	  0.000014	0	1.073673e+00
34	216.085838	1.600000	1639.058161	  0.000006	0	1.073673e+00
35	221.247106	1.500000	1620.806446	 -0.000002	0	1.073673e+00
36	226.351195	1.400000	1603.046144	 -0.000010	0	1.073673e+00
37	231.399456	1.300000	1585.647600	 -0.000026	0	1.073673e+00
38	236.392939	1.200000	1568.543992	 -0.000039	0	1.073673e+00
39	241.332608	1.100000	1551.736502	 -0.000045	0	1.073673e+00
40	246.219210	1.000000	1535.107585	 -0.000048	0	1.073673e+00
41	251.053104	0.900000	1518.524105	 -0.000024	0	1.073673e+00
42	255.834432	0.800000	1501.975970	  0.000001	0	1.073673e+00
43	260.563337	0.700000	1485.489713	 -0.000002	0	1.073673e+00
44	265.240193	0.600000	1469.165126	  0.000012	0	1.073673e+00
