Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	4.900000	0	1.3368e-05	0.0000e+00	1.0594e-06	0.0000e+00
2	4.800000	0	1.0948e-05	0.0000e+00	9.0990e-07	0.0000e+00
3	4.700000	0	8.9413e-06	0.0000e+00	7.7658e-07	0.0000e+00
4	4.600000	0	7.1998e-06	0.0000e+00	6.4856e-07	0.0000e+00
5	4.500000	0	5.8171e-06	0.0000e+00	5.4396e-07	0.0000e+00
6	4.400000	0	4.7068e-06	0.0000e+00	4.5703e-07	0.0000e+00
7	4.300000	0	3.8147e-06	0.0000e+00	3.8529e-07	0.0000e+00
8	4.200000	0	3.0996e-06	0.0000e+00	3.2603e-07	0.0000e+00
9	4.100000	0	2.5204e-06	0.0000e+00	2.7616e-07	0.0000e+00
10	4.000000	0	2.0426e-06	0.0000e+00	2.3250e-07	0.0000e+00
11	3.900000	0	1.6455e-06	0.0000e+00	1.9386e-07	0.0000e+00
12	3.800000	0	1.3211e-06	0.0000e+00	1.6055e-07	0.0000e+00
13	3.700000	0	1.0605e-06	0.0000e+00	1.3284e-07	0.0000e+00
14	3.600000	0	8.5266e-07	0.0000e+00	1.1010e-07	0.0000e+00
15	3.500000	0	6.8582e-07	0.0000e+00	9.1269e-08	0.0000e+00
16	3.400000	0	5.5181e-07	0.0000e+00	7.5676e-08	0.0000e+00
17	3.300000	0	4.4400e-07	0.0000e+00	6.2707e-08	0.0000e+00
18	3.200000	0	3.5704e-07	0.0000e+00	5.1821e-08	0.0000e+00
19	3.100000	0	2.8617e-07	0.0000e+00	4.2581e-08	0.0000e+00
20	3.000000	0	2.2907e-07	0.0000e+00	3.4766e-08	0.0000e+00
21	2.900000	0	1.8307e-07	0.0000e+00	2.8296e-08	0.0000e+00
22	2.800000	0	1.4644e-07	0.0000e+00	2.3054e-08	0.0000e+00
23	2.700000	0	1.1733e-07	0.0000e+00	1.8830e-08	0.0000e+00
24	2.600000	0	9.4102e-08	0.0000e+00	1.5392e-08	0.0000e+00
25	2.500000	0	7.5430e-08	0.0000e+00	1.2567e-08	0.0000e+00
26	2.400000	0	6.0450e-08	0.0000e+00	1.0237e-08	0.0000e+00
27	2.300000	0	4.8379e-08	0.0000e+00	8.3078e-09	0.0000e+00
28	2.200000	0	3.8642e-08	0.0000e+00	6.7043e-09	0.0000e+00
29	2.100000	0	3.0788e-08	0.0000e+00	5.3729e-09	0.0000e+00
30	2.000000	0	2.4494e-08	0.0000e+00	4.2856e-09	0.0000e+00
31	1.900000	0	1.9493e-08	0.0000e+00	3.4203e-09	0.0000e+00
32	1.800000	0	1.5542e-08	0.0000e+00	2.7422e-09	0.0000e+00
33	1.700000	0	1.2413e-08	0.0000e+00	2.2081e-09	0.0000e+00
34	1.600000	0	9.9197e-09	0.0000e+00	1.7803e-09	0.0000e+00
35	1.500000	0	7.9234e-09	0.0000e+00	1.4341e-09	0.0000e+00
36	1.400000	0	6.3261e-09	0.0000e+00	1.1531e-09	0.0000e+00
37	1.300000	0	5.0463e-09	0.0000e+00	9.2490e-10	0.0000e+00
38	1.200000	0	4.0208e-09	0.0000e+00	7.4003e-10	0.0000e+00
39	1.100000	0	3.2012e-09	0.0000e+00	5.9094e-10	0.0000e+00
