Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  7.018418	4.900000	40.394546	0.205832	0	1	1	2.531512e+03	2472.921921
2	 13.839912	4.800000	40.315911	0.206233	0	0	0	0.000000e+00	2403.917379
3	 20.604668	4.700000	40.294799	0.206341	0	0	0	0.000000e+00	2384.175142
4	 27.316633	4.600000	40.267906	0.206479	0	0	0	0.000000e+00	2365.387066
5	 33.972881	4.500000	40.240052	0.206622	0	0	0	0.000000e+00	2345.606281
6	 40.568100	4.400000	40.210193	0.206775	0	0	0	0.000000e+00	2324.001887
7	 47.097148	4.300000	40.178564	0.206938	0	0	0	0.000000e+00	2300.648660
8	 53.556264	4.200000	40.145507	0.207108	0	0	0	0.000000e+00	2276.023004
9	 59.943642	4.100000	40.111290	0.207285	0	0	0	0.000000e+00	2250.781595
10	 66.259968	4.000000	40.076919	0.207463	0	0	0	0.000000e+00	2225.794351
11	 72.507917	3.900000	40.043111	0.207638	0	0	0	0.000000e+00	2201.745814
12	 78.688813	3.800000	40.009287	0.207814	0	0	0	0.000000e+00	2178.163553
13	 84.802776	3.700000	39.974835	0.207993	0	0	0	0.000000e+00	2154.623391
14	 90.850471	3.600000	39.940297	0.208173	0	0	0	0.000000e+00	2131.330007
15	 96.832400	3.500000	39.905469	0.208354	0	0	0	0.000000e+00	2108.220159
16	102.748813	3.400000	39.870114	0.208539	0	0	0	0.000000e+00	2085.200500
17	108.599821	3.300000	39.834399	0.208726	0	0	0	0.000000e+00	2062.233288
18	114.385789	3.200000	39.798222	0.208916	0	0	0	0.000000e+00	2039.397125
19	120.107863	3.100000	39.762036	0.209106	0	0	0	0.000000e+00	2016.967072
20	125.768299	3.000000	39.726181	0.209295	0	0	0	0.000000e+00	1995.318947
21	131.369038	2.900000	39.690774	0.209481	0	0	0	0.000000e+00	1974.355482
22	136.910765	2.800000	39.655104	0.209670	0	0	0	0.000000e+00	1953.633925
23	142.394431	2.700000	39.619334	0.209859	0	0	0	0.000000e+00	1933.246929
24	147.821863	2.600000	39.583901	0.210047	0	0	0	0.000000e+00	1913.497827
25	153.194977	2.500000	39.548672	0.210234	0	0	0	0.000000e+00	1894.409174
26	158.515390	2.400000	39.513895	0.210419	0	0	0	0.000000e+00	1875.892370
27	163.784295	2.300000	39.479036	0.210605	0	0	0	0.000000e+00	1857.786166
28	169.002405	2.200000	39.444122	0.210791	0	0	0	0.000000e+00	1839.934968
29	174.170243	2.100000	39.409244	0.210978	0	0	0	0.000000e+00	1822.279839
