Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	2982.476639	 -0.000003	0	1.226646e-04
1	8.659572	7.198020	2963.255594	 -0.000001	0	9.760667e-01
2	17.253647	7.095009	2936.588227	  0.000001	0	9.760667e-01
3	25.748886	6.991999	2894.579075	  0.000001	0	9.760667e-01
4	34.098218	6.888989	2836.576460	  0.000001	0	9.760667e-01
5	42.255109	6.785978	2763.640295	  0.000002	0	9.760667e-01
6	50.180016	6.682968	2679.302830	  0.000002	0	9.760667e-01
7	57.845691	6.579958	2588.193368	  0.000003	0	9.760667e-01
8	65.240934	6.476948	2496.302130	  0.000003	0	9.760667e-01
9	72.373745	6.373937	2410.437725	  0.000003	0	9.760667e-01
10	79.272106	6.270927	2337.172988	  0.000003	0	9.760667e-01
11	85.981124	6.167917	2281.531073	  0.000003	0	9.760667e-01
12	92.556083	6.064906	2245.449608	  0.000005	0	9.760667e-01
13	99.052601	5.961896	2227.289516	  0.000008	0	9.760667e-01
14	105.517813	5.858886	2222.990391	  0.000014	0	9.760667e-01
15	111.985963	5.755875	2227.866451	  0.000022	0	9.760667e-01
16	118.478747	5.652865	2238.099545	  0.000033	0	9.760667e-01
17	125.007796	5.549855	2250.707533	  0.000042	0	9.760667e-01
18	131.577367	5.446845	2263.715384	  0.000048	0	9.760667e-01
19	138.186563	5.343834	2275.628534	  0.000048	0	9.760667e-01
20	144.830714	5.240824	2285.427758	  0.000049	0	9.760667e-01
21	151.502725	5.137814	2292.562812	  0.000046	0	9.760667e-01
22	158.194342	5.034803	2296.850780	  0.000036	0	9.760667e-01
23	164.896950	4.931793	2298.242463	  0.000014	0	9.760667e-01
24	171.601613	4.828783	2296.645088	 -0.000017	0	9.760667e-01
25	178.298839	4.725772	2291.752563	 -0.000053	0	9.760667e-01
26	184.978283	4.622762	2283.306330	 -0.000082	0	9.760667e-01
27	191.629158	4.519752	2271.277603	 -0.000066	0	9.760667e-01
28	198.241018	4.416742	2255.913650	 -0.000033	0	9.760667e-01
29	204.804701	4.313731	2237.823788	 -0.000028	0	9.760667e-01
30	211.313163	4.210721	2217.797273	 -0.000028	0	9.760667e-01
31	217.761794	4.107711	2196.672645	 -0.000021	0	9.760667e-01
32	224.148905	4.004700	2175.537797	 -0.000006	0	9.760667e-01
33	230.475404	3.901690	2155.080432	 -0.000038	0	9.760667e-01
34	236.741408	3.798680	2134.044536	  0.000042	0	9.760667e-01
35	242.945840	3.695669	2112.898665	  0.000188	0	9.760667e-01
36	249.088317	3.592659	2091.632346	  0.000316	0	9.760667e-01
37	255.168335	3.489649	2070.164677	  0.000493	0	9.760667e-01
38	261.185152	3.386639	2048.430290	  0.000607	0	9.760667e-01
39	267.138009	3.283628	2026.495394	  0.000656	0	9.760667e-01
40	273.026679	3.180618	2004.609137	  0.000994	0	9.760667e-01
41	278.852379	3.077608	1983.513220	  0.001151	0	9.760667e-01
42	284.617834	2.974597	1963.477524	  0.000916	0	9.760667e-01
43	290.324491	2.871587	1943.352140	  0.000423	0	9.760667e-01
44	295.972488	2.768577	1923.428066	 -0.000336	0	9.760667e-01
45	301.562934	2.665566	1904.054300	 -0.000907	0	9.760667e-01
46	307.097493	2.562556	1885.276808	 -0.001388	0	9.760667e-01
47	312.577865	2.459546	1867.038195	 -0.001841	0	9.760667e-01
48	318.005385	2.356536	1849.188763	 -0.004410	0	9.760667e-01
49	323.380908	2.253525	1831.527693	 -0.001822	0	9.760667e-01
50	328.704892	2.150515	1814.000569	  0.001265	0	9.760667e-01
51	333.977685	2.047505	1796.599032	  0.000378	0	9.760667e-01
52	339.198428	1.944494	1778.499556	 -0.000004	0	9.760667e-01
53	344.363781	1.841484	1758.932054	  0.000781	0	9.760667e-01
54	349.470013	1.738474	1738.341699	  0.001590	0	9.760667e-01
55	354.514214	1.635463	1716.893216	  0.002106	0	9.760667e-01
56	359.494196	1.532453	1694.856802	  0.001946	0	9.760667e-01
57	364.408693	1.429443	1672.607715	 -0.002095	0	9.760667e-01
58	369.257773	1.326433	1650.634923	 -0.007045	0	9.760667e-01
59	374.042849	1.223422	1629.357830	  0.006633	0	9.760667e-01
60	378.766427	1.120412	1609.074735	  0.003445	0	9.760667e-01
61	383.431624	1.017402	1589.874462	 -0.006414	0	9.760667e-01
62	388.041568	0.914391	1571.686604	 -0.006765	0	9.760667e-01
63	392.599296	0.811381	1554.520238	 -0.005140	0	9.760667e-01
64	397.107773	0.708371	1538.305140	 -0.002341	0	9.760667e-01
65	401.569649	0.605360	1522.889098	  0.000533	0	9.760667e-01
66	405.987064	0.502350	1508.116703	  0.001641	0	9.760667e-01
67	410.361645	0.399340	1493.790978	 -0.011932	0	9.760667e-01
68	414.694512	0.296330	1479.759811	  0.027919	0	9.760667e-01
69	418.986474	0.193319	1465.992122	  0.016294	0	9.760667e-01
70	423.238178	0.090309	1452.413206	 -0.002532	0	9.760667e-01
71	427.450139	-0.012701	1438.958227	 -0.009822	0	9.760667e-01
72	431.622596	-0.115712	1425.571596	 -0.016514	0	9.760667e-01
73	435.755649	-0.218722	1412.196184	 -0.021970	0	9.760667e-01
74	439.849182	-0.321732	1398.729084	 -0.022993	0	9.760667e-01
75	443.902827	-0.424743	1385.114164	 -0.024677	0	9.760667e-01
76	447.916217	-0.527753	1371.429681	 -0.025325	0	9.760667e-01
