Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	7.198020	0	5.7055e-03	0.0000e+00	3.3032e-08	0.0000e+00
2	7.095009	0	5.6913e-03	0.0000e+00	2.7098e-08	0.0000e+00
3	6.991999	0	5.6765e-03	0.0000e+00	2.2238e-08	0.0000e+00
4	6.888989	0	5.6653e-03	0.0000e+00	1.8547e-08	0.0000e+00
5	6.785978	0	5.6556e-03	0.0000e+00	1.5751e-08	0.0000e+00
6	6.682968	0	5.6415e-03	0.0000e+00	1.3607e-08	0.0000e+00
7	6.579958	0	5.6172e-03	0.0000e+00	1.1924e-08	0.0000e+00
8	6.476948	0	5.5787e-03	0.0000e+00	1.0550e-08	0.0000e+00
9	6.373937	0	5.5263e-03	0.0000e+00	9.3636e-09	0.0000e+00
10	6.270927	0	5.4655e-03	0.0000e+00	8.2669e-09	0.0000e+00
11	6.167917	0	5.4061e-03	0.0000e+00	7.1941e-09	0.0000e+00
12	6.064906	0	5.3580e-03	0.0000e+00	6.1253e-09	0.0000e+00
13	5.961896	0	5.3271e-03	0.0000e+00	5.0860e-09	0.0000e+00
14	5.858886	0	5.3126e-03	0.0000e+00	4.1251e-09	0.0000e+00
15	5.755875	0	5.3094e-03	0.0000e+00	3.2852e-09	0.0000e+00
16	5.652865	0	5.3107e-03	0.0000e+00	2.5847e-09	0.0000e+00
17	5.549855	0	5.3114e-03	0.0000e+00	2.0196e-09	0.0000e+00
18	5.446845	0	5.3085e-03	0.0000e+00	1.5730e-09	0.0000e+00
19	5.343834	0	5.3005e-03	0.0000e+00	1.2241e-09	0.0000e+00
20	5.240824	0	5.2866e-03	0.0000e+00	9.5336e-10	0.0000e+00
21	5.137814	0	5.2673e-03	0.0000e+00	7.4402e-10	0.0000e+00
22	5.034803	0	5.2433e-03	0.0000e+00	5.8236e-10	0.0000e+00
23	4.931793	0	5.2150e-03	0.0000e+00	4.5741e-10	0.0000e+00
24	4.828783	0	5.1839e-03	0.0000e+00	3.6065e-10	0.0000e+00
25	4.725772	0	5.1504e-03	0.0000e+00	2.8566e-10	0.0000e+00
26	4.622762	0	5.1157e-03	0.0000e+00	2.2749e-10	0.0000e+00
27	4.519752	0	5.0807e-03	0.0000e+00	1.8227e-10	0.0000e+00
28	4.416742	0	5.0460e-03	0.0000e+00	1.4698e-10	0.0000e+00
29	4.313731	0	5.0119e-03	0.0000e+00	1.1924e-10	0.0000e+00
