Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 88.191916	7.908333	29.386237	0.282938	0	0	0	0.000000e+00	1158.791269
2	174.560837	7.816667	29.301165	0.283759	0	0	0	0.000000e+00	1134.837699
3	258.951816	7.725000	29.210655	0.284638	0	0	0	0.000000e+00	1108.849719
4	341.459843	7.633333	29.126589	0.285460	0	0	0	0.000000e+00	1084.105836
5	422.107217	7.541667	29.045854	0.286253	0	0	0	0.000000e+00	1059.656710
6	500.913845	7.450000	28.968671	0.287016	0	0	0	0.000000e+00	1035.469878
7	577.909501	7.358333	28.895781	0.287740	0	0	0	0.000000e+00	1011.673016
8	653.179496	7.266667	28.826018	0.288436	0	0	0	0.000000e+00	988.996985
9	726.870862	7.175000	28.765468	0.289044	0	0	0	0.000000e+00	968.253817
10	799.143390	7.083333	28.712808	0.289574	0	0	0	0.000000e+00	949.609274
11	870.145649	6.991667	28.667126	0.290035	0	0	0	0.000000e+00	932.916705
12	939.969087	6.900000	28.625998	0.290452	0	0	0	0.000000e+00	917.427801
13	1008.606262	6.808333	28.585924	0.290859	0	0	0	0.000000e+00	901.838480
14	1075.955790	6.716667	28.543934	0.291287	0	0	0	0.000000e+00	884.918725
15	1141.841774	6.625000	28.498221	0.291754	0	0	0	0.000000e+00	865.688605
16	1206.019945	6.533333	28.447607	0.292273	0	0	0	0.000000e+00	843.255479
17	1268.025067	6.441667	28.387559	0.292891	0	0	0	0.000000e+00	814.710540
18	1326.953154	6.350000	28.310931	0.293684	0	1	1	7.982816e+02	774.290866
19	1382.334344	6.258333	28.235204	0.294472	0	1	1	7.982816e+02	727.692848
20	1434.374523	6.166667	28.176257	0.295088	0	1	1	7.982816e+02	683.797483
21	1483.269474	6.075000	28.131367	0.295559	0	1	1	7.982816e+02	642.475936
22	1529.205449	5.983333	28.097859	0.295911	0	1	1	7.982816e+02	603.598745
23	1572.358524	5.891667	28.072912	0.296174	0	1	1	7.982816e+02	567.037076
24	1612.895627	5.800000	28.053884	0.296375	0	1	1	7.982816e+02	532.663865
25	1650.973690	5.708333	28.037942	0.296544	0	1	1	7.982816e+02	500.354763
26	1686.740618	5.616667	28.022641	0.296706	0	1	1	7.982816e+02	469.988993
27	1720.335701	5.525000	28.005114	0.296891	0	1	1	7.982816e+02	441.449915
28	1751.889305	5.433333	27.982561	0.297130	0	1	1	7.982816e+02	414.625289
29	1781.523528	5.341667	27.952193	0.297453	0	1	1	7.982816e+02	389.407664
30	1809.353215	5.250000	27.911365	0.297888	0	1	1	7.982816e+02	365.694666
31	1835.485267	5.158333	27.856944	0.298470	0	1	1	7.982816e+02	343.388981
32	1860.020269	5.066667	27.786029	0.299232	0	1	1	7.982816e+02	322.398312
33	1883.051256	4.975000	27.693146	0.300236	0	1	1	7.982816e+02	302.634618
34	1904.665217	4.883333	27.574190	0.301531	0	1	1	7.982816e+02	284.013848
35	1924.943442	4.791667	27.431000	0.303105	0	1	1	7.982816e+02	266.458352
36	1943.961471	4.700000	27.254936	0.305063	0	1	1	7.982816e+02	249.895165
37	1961.789501	4.608333	27.040283	0.307485	0	1	1	7.982816e+02	234.253636
38	1978.492393	4.516667	26.780274	0.310470	0	1	1	7.982816e+02	219.466318
39	1994.130406	4.425000	26.467020	0.314145	0	1	1	7.982816e+02	205.468503
40	2008.758849	4.333333	26.090602	0.318677	0	1	1	7.982816e+02	192.197560
41	2022.428336	4.241667	25.638722	0.324294	0	1	1	7.982816e+02	179.592056
42	2035.184717	4.150000	25.095661	0.331311	0	1	1	7.982816e+02	167.590616
43	2047.069134	4.058333	24.440790	0.340188	0	1	1	7.982816e+02	156.130247
44	2058.117497	3.966667	23.644982	0.351638	0	1	1	7.982816e+02	145.143467
45	2068.719338	3.875000	23.134790	0.359393	0	0	0	0.000000e+00	139.274002
46	2079.331687	3.783333	23.149242	0.359168	0	0	0	0.000000e+00	139.412972
47	2090.052333	3.691667	23.278755	0.357170	0	0	0	0.000000e+00	140.835298
48	2100.899631	3.600000	23.425107	0.354938	0	0	0	0.000000e+00	142.500404
49	2111.878284	3.508333	23.571098	0.352740	0	0	0	0.000000e+00	144.225591
50	2122.982618	3.416667	23.705667	0.350738	0	0	0	0.000000e+00	145.877322
51	2134.201346	3.325000	23.823874	0.348997	0	0	0	0.000000e+00	147.379364
52	2145.524797	3.233333	23.928751	0.347468	0	0	0	0.000000e+00	148.754964
53	2156.956398	3.141667	24.033896	0.345948	0	0	0	0.000000e+00	150.177222
54	2168.527603	3.050000	24.164871	0.344073	0	0	0	0.000000e+00	152.011933
55	2180.253286	2.958333	24.303880	0.342105	0	0	0	0.000000e+00	154.041060
56	2192.078748	2.866667	24.390586	0.340889	0	0	0	0.000000e+00	155.352920
57	2203.947853	2.775000	24.427753	0.340370	0	0	0	0.000000e+00	155.926200
58	2215.841778	2.683333	24.448642	0.340079	0	0	0	0.000000e+00	156.251083
59	2227.749293	2.591667	24.460086	0.339920	0	0	0	0.000000e+00	156.430754
60	2239.664921	2.500000	24.466868	0.339826	0	0	0	0.000000e+00	156.537303
61	2251.586761	2.408333	24.472047	0.339754	0	0	0	0.000000e+00	156.618665
62	2263.519607	2.316667	24.481174	0.339627	0	0	0	0.000000e+00	156.762125
63	2275.482888	2.225000	24.506443	0.339277	0	0	0	0.000000e+00	157.163761
64	2287.525343	2.133333	24.571023	0.338385	0	0	0	0.000000e+00	158.203231
65	2299.751875	2.041667	24.715999	0.336400	0	0	0	0.000000e+00	160.623430
66	2312.217834	1.950000	24.894039	0.333994	0	0	0	0.000000e+00	163.768671
67	2324.832137	1.858333	24.998839	0.332594	0	0	0	0.000000e+00	165.719039
68	2337.515515	1.766667	25.046239	0.331965	0	0	0	0.000000e+00	166.626534
69	2350.257135	1.675000	25.085533	0.331445	0	0	0	0.000000e+00	167.390910
70	2363.045100	1.583333	25.116424	0.331037	0	0	0	0.000000e+00	168.001825
71	2375.870069	1.491667	25.140772	0.330717	0	0	0	0.000000e+00	168.487018
72	2388.727060	1.400000	25.161698	0.330442	0	0	0	0.000000e+00	168.909242
73	2401.619393	1.308333	25.184544	0.330142	0	0	0	0.000000e+00	169.372564
74	2414.557821	1.216667	25.214050	0.329756	0	0	0	0.000000e+00	169.978134
75	2427.562473	1.125000	25.255846	0.329210	0	0	0	0.000000e+00	170.848681
76	2440.667124	1.033333	25.317609	0.328407	0	0	0	0.000000e+00	172.162971
77	2453.864210	0.941667	25.373315	0.327686	0	0	0	0.000000e+00	173.378348
78	2467.079601	0.850000	25.384199	0.327545	0	0	0	0.000000e+00	173.619478
79	2480.264870	0.758333	25.366261	0.327777	0	0	0	0.000000e+00	173.222045
80	2493.414340	0.666667	25.344777	0.328055	0	0	0	0.000000e+00	172.751754
81	2506.526049	0.575000	25.321897	0.328351	0	0	0	0.000000e+00	172.254808
82	2519.602978	0.483333	25.300652	0.328627	0	0	0	0.000000e+00	171.799027
83	2532.647656	0.391667	25.280755	0.328885	0	0	0	0.000000e+00	171.374763
84	2545.654695	0.300000	25.257330	0.329190	0	0	0	0.000000e+00	170.880053
85	2558.606253	0.208333	25.222389	0.329646	0	0	0	0.000000e+00	170.150373
86	2571.472656	0.116667	25.167788	0.330362	0	0	0	0.000000e+00	169.031912
87	2584.217743	0.025000	25.087887	0.331414	0	0	0	0.000000e+00	167.438383
88	2596.803113	-0.066667	24.978712	0.332862	0	0	0	0.000000e+00	165.338160
89	2609.197923	-0.158333	24.842319	0.334690	0	0	0	0.000000e+00	162.834063
90	2621.392393	-0.250000	24.691252	0.336738	0	0	0	0.000000e+00	160.201628
91	2633.394775	-0.341667	24.538536	0.338833	0	0	0	0.000000e+00	157.678050
92	2645.221957	-0.433333	24.392043	0.340868	0	0	0	0.000000e+00	155.375182
93	2656.891777	-0.525000	24.254230	0.342805	0	0	0	0.000000e+00	153.305716
94	2668.412084	-0.616667	24.117596	0.344747	0	0	0	0.000000e+00	151.340546
95	2679.770593	-0.708333	23.963210	0.346968	0	0	0	0.000000e+00	149.216586
96	2690.932999	-0.800000	23.766116	0.349846	0	0	0	0.000000e+00	146.639110
97	2701.852946	-0.891667	23.506534	0.353709	0	0	0	0.000000e+00	143.454449
98	2712.491958	-0.983333	23.181535	0.358668	0	0	0	0.000000e+00	139.763526
99	2722.834965	-1.075000	22.807991	0.364542	0	0	0	0.000000e+00	135.874571
100	2732.893905	-1.166667	22.415917	0.370918	0	0	0	0.000000e+00	132.141708
101	2742.700138	-1.258333	22.036421	0.377306	0	0	0	0.000000e+00	128.821892
102	2752.293678	-1.350000	21.692188	0.383293	0	0	0	0.000000e+00	126.027934
