Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	8.000000	1161.203173	 -0.000000	0	0.000000e+00
1	87.641007	7.908333	1141.810984	 -0.000000	1	7.522884e-03
2	173.445188	7.816667	1112.887315	 -0.000000	1	7.522884e-03
3	257.068647	7.725000	1084.431402	 -0.000000	1	7.522884e-03
4	338.568419	7.633333	1057.024322	 -0.000000	1	7.522884e-03
5	417.857998	7.541667	1026.298334	 -0.000000	1	7.522884e-03
6	494.817243	7.450000	995.872024	 -0.000000	1	1.241276e-02
7	569.434191	7.358333	964.731496	 -0.000000	1	1.241276e-02
8	641.737728	7.266667	935.014462	 -0.000000	1	1.241276e-02
9	711.878755	7.175000	907.908790	 -0.000000	1	1.241276e-02
10	780.079839	7.083333	883.918608	 -0.000000	1	1.241276e-02
11	846.586984	6.991667	863.347595	 -0.000000	1	1.241276e-02
12	911.604483	6.900000	844.752989	 -0.000000	1	2.048105e-02
13	975.200535	6.808333	826.034385	 -0.000000	1	2.048105e-02
14	1037.327707	6.716667	806.231592	 -0.000000	1	2.048105e-02
15	1097.864946	6.625000	784.228307	 -0.000001	1	2.048105e-02
16	1156.573058	6.533333	758.303889	 -0.000000	1	3.379374e-02
17	1213.127042	6.441667	727.056242	 -0.000005	1	7.522884e-03
18	1267.055465	6.350000	690.128682	 -0.000000	1	3.379374e-02
19	1317.946202	6.258333	648.934160	 -0.000020	1	7.522884e-03
20	1365.784768	6.166667	610.045877	 -0.000019	1	2.048105e-02
21	1410.745284	6.075000	573.223712	 -0.000026	1	2.048105e-02
22	1452.976171	5.983333	537.546868	 -0.000031	1	2.048105e-02
23	1492.632113	5.891667	504.270262	 -0.000002	1	3.379374e-02
24	1529.876789	5.800000	473.273068	 -0.000080	1	2.048105e-02
25	1564.863839	5.708333	444.519522	 -0.000115	1	2.048105e-02
26	1597.745557	5.616667	417.828123	 -0.000132	0	2.048105e-02
27	1628.669766	5.525000	393.104300	 -0.000148	0	2.048105e-02
28	1657.765074	5.433333	369.830103	 -0.000155	0	2.048105e-02
29	1685.144539	5.341667	348.011383	 -0.000168	0	2.048105e-02
30	1710.914940	5.250000	327.560438	 -0.000190	0	2.048105e-02
31	1735.176159	5.158333	308.356721	 -0.000248	0	2.048105e-02
32	1758.012853	5.066667	289.697719	 -0.000329	0	2.048105e-02
33	1779.508217	4.975000	273.379660	 -0.000568	0	2.048105e-02
34	1799.764862	4.883333	258.078051	 -0.000973	0	2.048105e-02
35	1818.870447	4.791667	242.912158	 -0.001478	0	2.048105e-02
36	1836.845913	4.700000	227.661512	 -0.002043	0	2.048105e-02
37	1853.700980	4.608333	213.152885	 -0.002620	0	2.048105e-02
38	1869.488646	4.516667	199.551909	 -0.003199	0	2.048105e-02
39	1884.279305	4.425000	186.977509	 -0.003793	0	2.048105e-02
40	1898.129805	4.333333	175.556557	 -0.004403	0	2.048105e-02
41	1911.098531	4.241667	165.153340	 -0.005034	0	2.048105e-02
42	1923.328839	4.150000	156.837149	 -0.005703	0	2.048105e-02
43	1935.061521	4.058333	152.281323	 -0.006368	0	2.048105e-02
44	1946.497816	3.966667	149.005707	 -0.007330	0	2.048105e-02
45	1957.747088	3.875000	147.014059	 -0.008447	0	2.048105e-02
46	1968.875111	3.783333	145.682856	 -0.009347	0	2.048105e-02
47	1979.927824	3.691667	144.958957	 -0.010202	0	2.048105e-02
48	1990.931664	3.600000	144.386100	 -0.011675	0	2.048105e-02
49	2001.899495	3.508333	144.065174	 -0.013479	0	2.048105e-02
50	2012.844719	3.416667	143.780674	 -0.015476	0	2.048105e-02
51	2023.761717	3.325000	143.528947	 -0.017625	0	2.048105e-02
52	2034.639431	3.233333	142.935087	 -0.019887	0	2.048105e-02
53	2045.466600	3.141667	142.260896	 -0.022271	1	2.048105e-02
54	2056.231168	3.050000	141.588361	 -0.024905	1	2.048105e-02
55	2066.881963	2.958333	139.563953	 -0.028227	0	2.048105e-02
56	2077.341191	2.866667	136.645708	 -0.032399	0	2.048105e-02
57	2087.566444	2.775000	133.438683	 -0.036300	0	2.048105e-02
58	2097.544474	2.683333	130.151628	 -0.039875	0	2.048105e-02
59	2107.272711	2.591667	126.862174	 -0.045102	0	2.048105e-02
60	2116.752153	2.500000	123.584199	 -0.051969	0	2.048105e-02
61	2125.996088	2.408333	120.645675	 -0.069113	0	2.048105e-02
62	2135.037750	2.316667	118.253882	 -0.079595	0	2.048105e-02
63	2143.901849	2.225000	115.963707	 -0.082362	0	2.048105e-02
64	2152.616438	2.133333	114.308714	 -0.076233	0	2.048105e-02
65	2161.261594	2.041667	114.126839	 -0.059100	0	2.048105e-02
66	2169.915354	1.950000	114.518358	 -0.016500	0	2.048105e-02
67	2178.574323	1.858333	114.247709	 -0.002023	0	2.048105e-02
68	2187.208023	1.766667	113.840272	 -0.002077	0	1.241276e-02
69	2195.809208	1.675000	113.377437	 -0.004281	0	1.241276e-02
