#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1561.885515
14.038301	7.908333	1536.821608
27.833568	7.816667	1510.241519
41.391769	7.725000	1485.058896
54.727536	7.633333	1461.629887
67.862971	7.541667	1440.609050
80.817810	7.450000	1420.838523
93.600013	7.358333	1401.983237
106.211374	7.266667	1383.340371
118.657675	7.175000	1365.222533
130.941156	7.083333	1347.525619
143.066599	6.991667	1330.263519
155.038341	6.900000	1312.796330
166.850380	6.808333	1294.094759
178.484672	6.716667	1273.108247
189.917277	6.625000	1249.348858
201.121366	6.533333	1222.653470
212.069909	6.441667	1193.046210
222.737263	6.350000	1159.534697
233.082690	6.258333	1122.452635
243.070025	6.166667	1082.317162
252.684518	6.075000	1041.249837
261.920734	5.983333	999.734339
270.776865	5.891667	958.634300
279.254311	5.800000	918.283001
287.359350	5.708333	879.262741
295.097233	5.616667	841.571483
302.474720	5.525000	805.203008
309.498087	5.433333	770.144842
316.176380	5.341667	736.374401
322.523045	5.250000	703.859530
328.552994	5.158333	672.564299
334.276469	5.066667	642.456783
339.704116	4.975000	613.502098
344.852381	4.883333	585.660868
349.739050	4.791667	558.886823
354.380803	4.700000	533.138418
358.792666	4.608333	508.716341
362.992413	4.516667	485.568157
366.995955	4.425000	463.643262
370.813361	4.333333	442.555360
374.453443	4.241667	422.278540
377.924140	4.150000	402.608828
381.230582	4.058333	383.545203
384.377660	3.966667	365.085897
387.372416	3.875000	347.408401
390.221499	3.783333	330.487557
392.931283	3.691667	314.298786
395.507863	3.600000	302.583929
398.004685	3.508333	295.127046
400.472500	3.416667	291.719061
402.911984	3.325000	288.392010
405.323849	3.233333	285.142916
407.708709	3.141667	281.969043
410.067154	3.050000	278.867701
412.399809	2.958333	275.836370
414.707242	2.866667	272.989717
416.991528	2.775000	270.320038
419.254609	2.683333	267.820201
421.496815	2.591667	265.366279
423.718608	2.500000	262.956986
425.920314	2.408333	260.591148
428.102304	2.316667	258.267598
430.264943	2.225000	255.985090
432.408574	2.133333	253.742657
434.533463	2.041667	251.539253
436.639952	1.950000	249.374021
438.728415	1.858333	247.245828
440.799126	1.766667	245.153730
442.852462	1.675000	243.096899
444.888573	1.583333	241.073551
446.907885	1.491667	239.083670
448.910581	1.400000	237.126431
450.896898	1.308333	235.201571
452.867180	1.216667	233.307771
454.821632	1.125000	231.444286
456.760534	1.033333	229.610213
458.684156	0.941667	227.805035
460.592701	0.850000	226.028072
462.486409	0.758333	224.279129
464.365506	0.666667	222.557107
466.230254	0.575000	220.861373
468.080846	0.483333	219.191337
469.917493	0.391667	217.546197
471.740406	0.300000	215.925627
473.549783	0.208333	214.329071
475.345878	0.116667	212.756211
477.128831	0.025000	211.206317
478.898834	-0.066667	209.678886
480.656055	-0.158333	208.173428
482.400728	-0.250000	206.689479
484.133036	-0.341667	205.226586
485.853108	-0.433333	203.784305
487.561156	-0.525000	202.362189
489.257291	-0.616667	200.959825
490.941703	-0.708333	199.576800
492.614583	-0.800000	198.212741
494.276058	-0.891667	196.867239
495.926287	-0.983333	195.539923
497.565473	-1.075000	194.230022
499.193694	-1.166667	192.937582
500.811041	-1.258333	191.662259
502.417762	-1.350000	190.403820
504.013996	-1.441667	189.161834
505.599872	-1.533333	187.935974
507.175499	-1.625000	186.726213
508.740995	-1.716667	185.531961
510.296513	-1.808333	184.352928
511.842237	-1.900000	183.188820
513.378194	-1.991667	182.039353
514.904510	-2.083333	180.904252
516.421378	-2.175000	179.783250
517.928868	-2.266667	178.676083
519.427122	-2.358333	177.582494
520.916236	-2.450000	176.502244
522.396263	-2.541667	175.435060
523.867412	-2.633333	174.380737
525.329711	-2.725000	173.339046
526.783315	-2.816667	172.309766
528.228326	-2.908333	171.292659
529.664870	-3.000000	170.263300
