No.	Species Name	H	O	N	C	S	"Redox (H=1, O=-2, N=0, C=4, S=4)"
1	O	0	1	0	0	0	-2
2	O3	0	3	0	0	0	-6
3	H	1	0	0	0	0	1
4	OH	1	1	0	0	0	-1
5	HO2	1	2	0	0	0	-3
6	H2O2	2	2	0	0	0	-2
7	H2O	2	1	0	0	0	0
8	N	0	0	1	0	0	0
9	NH3	3	0	1	0	0	3
10	NH2	2	0	1	0	0	2
11	N2O	0	1	2	0	0	-2
12	NO	0	1	1	0	0	-2
13	NO2	0	2	1	0	0	-4
14	NO3	0	3	1	0	0	-6
15	N2O5	0	5	2	0	0	-10
16	HNO	1	1	1	0	0	-1
17	HNO2	1	2	1	0	0	-3
18	HNO3	1	3	1	0	0	-5
19	C	0	0	0	1	0	4
20	CO	0	1	0	1	0	2
21	CH4	4	0	0	1	0	8
22	CH2O	2	1	0	1	0	4
23	CH2O2	2	2	0	1	0	2
24	CH4O	4	1	0	1	0	6
25	CH4O2	4	2	0	1	0	4
26	C2	0	0	0	2	0	8
27	C2H2	2	0	0	2	0	10
28	C2H3	3	0	0	2	0	11
29	C2H4	4	0	0	2	0	12
30	C2H5	5	0	0	2	0	13
31	C2H6	6	0	0	2	0	14
32	C2HO	1	1	0	2	0	7
33	C2H2O	2	1	0	2	0	8
34	C2H3O	3	1	0	2	0	9
35	C2H4O	4	1	0	2	0	10
36	C2H5O	5	1	0	2	0	11
37	HCN	1	0	1	1	0	5
38	CN	0	0	1	1	0	4
39	CNO	0	1	1	1	0	2
40	S	0	0	0	0	1	4
41	S2	0	0	0	0	2	8
42	SO	0	1	0	0	1	2
43	SO2	0	2	0	0	1	0
44	SO3	0	3	0	0	1	-2
45	H2S	2	0	0	0	1	6
46	HS	1	0	0	0	1	5
47	HSO	1	1	0	0	1	3
48	HSO2	1	2	0	0	1	1
49	OCS	0	1	0	1	1	6
50	CS	0	0	0	1	1	8
51	CH3S	3	0	0	1	1	11
52	CO2	0	2	0	1	0	0
53	H2	2	0	0	0	0	2
54	O2	0	2	0	0	0	-4
55	N2	0	0	2	0	0	0
56	O(1D)	0	1	0	0	0	-2
57	NH	1	0	1	0	0	1
58	CH	1	0	0	1	0	5
59	CH2	2	0	0	1	0	6
60	CH3	3	0	0	1	0	7
61	CHO	1	1	0	1	0	3
62	CH3O	3	1	0	1	0	5
63	CHO2	1	2	0	1	0	1
64	C2H	1	0	0	2	0	9
65	CH3NO2	3	2	1	1	0	3
66	CH3NO3	3	3	1	1	0	1
67	C2H2N	2	0	1	2	0	10
68	HSO3	1	3	0	0	1	-1
69	CH4S	4	0	0	1	1	12
70	HNO4	1	4	1	0	0	-7
71	CH3O2	3	2	0	1	0	3
72	HCNO	1	1	1	1	0	3
73	H2SO4	2	4	0	0	1	-2
74	SO21	0	2	0	0	1	0
75	SO23	0	2	0	0	1	0
76	S3	0	0	0	0	3	12
77	S4	0	0	0	0	4	16
78	H2SO4A	2	4	0	0	1	-2
79	S8	0	0	0	0	8	32
80	CH21	2	0	0	1	0	6
81	C3H2	2	0	0	3	0	14
82	C3H3	3	0	0	3	0	15
83	C3H41	4	0	0	3	0	16
84	C3H42	4	0	0	3	0	16
85	C3H5	5	0	0	3	0	17
86	C3H6	6	0	0	3	0	18
87	C3H7	7	0	0	3	0	19
88	C3H8	8	0	0	3	0	20
89	C4H	1	0	0	4	0	17
90	C4H2	2	0	0	4	0	18
91	C4H3	3	0	0	4	0	19
92	C4H4	4	0	0	4	0	20
93	C4H5	5	0	0	4	0	21
94	C4H61	6	0	0	4	0	22
95	C4H62	6	0	0	4	0	22
96	C4H63	6	0	0	4	0	22
97	C4H8	8	0	0	4	0	24
98	C4H9	9	0	0	4	0	25
99	C4H10	10	0	0	4	0	26
100	C6H	1	0	0	6	0	25
101	C6H2	2	0	0	6	0	26
102	C6H3	3	0	0	6	0	27
103	C6H6	6	0	0	6	0	30
104	C8H2	2	0	0	8	0	34
105	CMHA	0	0	0	0	0	0
106	N2H2	2	0	2	0	0	2
107	N2H3	3	0	2	0	0	3
108	N2H4	4	0	2	0	0	4
109	CH5N	5	0	1	1	0	9
110	C2H5N	5	0	1	2	0	13
111	S8A	0	0	0	0	8	32
