Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 52.882415	7.215188	29.199405	0.284748	0	0	0	0.000000e+00	1004.645869
2	103.705929	7.129346	29.073189	0.285984	0	0	0	0.000000e+00	965.580660
3	152.570273	7.043504	28.961446	0.287088	0	0	0	0.000000e+00	928.411626
4	199.740400	6.957662	28.870274	0.287994	0	0	0	0.000000e+00	896.267084
5	245.450576	6.871820	28.795755	0.288740	0	0	0	0.000000e+00	868.557646
6	289.819815	6.785978	28.730598	0.289394	0	0	0	0.000000e+00	843.101189
7	332.974773	6.700137	28.674484	0.289961	0	0	0	0.000000e+00	820.032717
8	375.018601	6.614295	28.625697	0.290455	0	0	0	0.000000e+00	798.918956
9	416.025505	6.528453	28.582484	0.290894	0	0	0	0.000000e+00	779.217599
10	456.036421	6.442611	28.543190	0.291294	0	0	0	0.000000e+00	760.292535
11	495.068593	6.356769	28.506687	0.291667	0	0	0	0.000000e+00	741.695906
12	533.114336	6.270927	28.472033	0.292022	0	0	0	0.000000e+00	722.956346
13	570.150001	6.185085	28.438755	0.292364	0	0	0	0.000000e+00	703.770135
14	606.131509	6.099243	28.406372	0.292697	0	0	0	0.000000e+00	683.744242
15	640.992730	6.013401	28.374513	0.293026	0	0	0	0.000000e+00	662.464430
16	674.672482	5.927559	28.343635	0.293345	0	0	0	0.000000e+00	640.017303
17	707.122543	5.841717	28.314282	0.293649	0	0	0	0.000000e+00	616.656028
18	738.316350	5.755875	28.287027	0.293932	0	0	0	0.000000e+00	592.782549
19	768.251949	5.670034	28.262170	0.294191	0	0	0	0.000000e+00	568.875254
20	796.947704	5.584192	28.239662	0.294425	0	0	0	0.000000e+00	545.313403
21	824.438670	5.498350	28.219109	0.294640	0	0	0	0.000000e+00	522.418859
22	850.777421	5.412508	28.200015	0.294839	0	0	0	0.000000e+00	500.525314
23	876.006832	5.326666	28.198370	0.294856	0	0	0	0.000000e+00	479.442320
24	900.145846	5.240824	28.179063	0.295059	0	0	0	0.000000e+00	458.722527
25	923.198030	5.154982	28.157579	0.295284	0	0	0	0.000000e+00	438.070527
26	945.165030	5.069140	28.132581	0.295546	0	0	0	0.000000e+00	417.447725
27	966.093013	4.983298	28.092852	0.295964	0	0	0	0.000000e+00	397.702312
28	986.001745	4.897456	28.058092	0.296331	0	0	0	0.000000e+00	378.332691
29	1004.854540	4.811614	28.015937	0.296777	0	0	0	0.000000e+00	358.266179
30	1022.652339	4.725772	27.962222	0.297347	0	1	1	3.414255e+02	338.217763
31	1039.352918	4.639931	27.880470	0.298219	0	1	1	3.414255e+02	317.366806
32	1055.007314	4.554089	27.769955	0.299405	0	1	1	3.414255e+02	297.486520
33	1069.744694	4.468247	27.211906	0.305545	0	1	1	3.414255e+02	280.059122
34	1083.501664	4.382405	27.084617	0.159406	1	1	1	3.414255e+02	261.427112
35	1096.337937	4.296563	27.004771	0.255928	1	1	1	3.414255e+02	243.930872
36	1108.423241	4.210721	26.722172	0.294968	1	1	1	3.414255e+02	229.660979
37	1119.802746	4.124879	26.638298	0.306453	1	0	0	0.000000e+00	216.248746
38	1130.738413	4.039037	26.585293	0.309514	1	0	0	0.000000e+00	207.812761
39	1141.537590	3.953195	26.565130	0.310190	1	0	0	0.000000e+00	205.221562
