Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	1024.380183	 -0.000133	0	0.000000e+00
1	52.882415	7.215188	984.911555	  0.000000	1	1.157600e-04
2	103.705929	7.129346	946.249765	  0.000000	1	1.157600e-04
3	152.570273	7.043504	910.573488	  0.000000	1	7.015759e-05
4	199.740400	6.957662	881.960680	  0.000000	1	4.251975e-05
5	245.450576	6.871820	855.154612	  0.000000	1	5.200085e-04
6	289.819815	6.785978	831.047766	  0.000000	1	7.015759e-05
7	332.974773	6.700137	809.017668	 -0.000000	1	1.415723e-03
8	375.018601	6.614295	788.820244	 -0.000000	1	1.157600e-04
9	416.025505	6.528453	769.614955	  0.000000	1	7.015759e-05
10	456.036421	6.442611	750.970116	 -0.000000	1	3.151566e-04
11	495.068593	6.356769	732.421697	 -0.000000	1	5.200085e-04
12	533.114336	6.270927	713.490995	  0.000000	1	7.015759e-05
13	570.150001	6.185085	694.049275	 -0.000000	1	3.151566e-04
14	606.131509	6.099243	673.439209	  0.000000	1	5.200085e-04
15	640.992730	6.013401	651.489651	  0.000008	1	4.251975e-05
16	674.672482	5.927559	628.544955	 -0.000000	1	8.580140e-04
17	707.122543	5.841717	604.767101	  0.000000	1	1.910040e-04
18	738.316350	5.755875	580.797998	  0.000000	1	1.910040e-04
19	768.251949	5.670034	556.952511	 -0.000000	1	1.157600e-04
20	796.947704	5.584192	533.674296	  0.000000	1	7.015759e-05
21	824.438670	5.498350	511.163422	 -0.000000	1	4.251975e-05
22	850.777421	5.412508	489.887205	 -0.000000	1	4.251975e-05
23	876.006832	5.326666	468.997434	  0.000000	1	4.251975e-05
24	900.145846	5.240824	448.447620	  0.000000	1	2.576954e-05
25	923.198030	5.154982	427.693434	 -0.000000	1	4.251975e-05
26	945.165030	5.069140	407.202017	 -0.000000	0	4.251975e-05
27	966.093013	4.983298	388.202608	  0.000000	0	2.576954e-05
28	986.001745	4.897456	368.462773	 -0.000000	1	4.251975e-05
29	1004.854540	4.811614	348.069585	  0.000000	0	4.251975e-05
30	1022.652339	4.725772	328.365940	  0.000000	0	4.251975e-05
31	1039.352918	4.639931	306.367671	  0.000000	0	7.015759e-05
32	1055.007314	4.554089	288.605369	  0.000000	0	1.910040e-04
33	1069.744694	4.468247	271.512874	  0.000003	0	1.561791e-05
34	1083.501664	4.382405	251.341349	  0.000000	0	7.015759e-05
35	1096.337937	4.296563	236.520396	  0.000000	0	7.015759e-05
36	1108.423241	4.210721	222.801561	  0.000001	0	1.157600e-04
37	1119.802746	4.124879	209.695930	  0.000002	0	4.251975e-05
38	1130.738413	4.039037	205.929591	 -0.000000	0	1.157600e-04
39	1141.537590	3.953195	204.513534	  0.000001	0	7.015759e-05
40	1152.288803	3.867353	204.101231	  0.000015	0	1.561791e-05
41	1163.022497	3.781511	203.850693	 -0.000000	0	1.157600e-04
42	1173.744308	3.695669	203.650215	 -0.000000	0	1.157600e-04
43	1184.453400	3.609828	203.371751	  0.000001	0	1.157600e-04
44	1195.148607	3.523986	203.116846	  0.000001	1	1.157600e-04
45	1205.826240	3.438144	202.705596	  0.000002	0	1.157600e-04
46	1216.483622	3.352302	202.348435	  0.000003	1	1.157600e-04
47	1227.125345	3.266460	202.106987	 -0.000002	1	1.910040e-04
48	1237.760921	3.180618	202.115959	 -0.000002	1	1.910040e-04
49	1248.412204	3.094776	202.703819	 -0.000001	1	1.910040e-04
50	1259.115051	3.008934	204.072841	  0.000001	1	1.910040e-04
51	1269.883919	2.923092	205.216200	 -0.000001	1	1.910040e-04
52	1280.695284	2.837250	205.689636	 -0.000001	1	1.910040e-04
53	1291.530300	2.751408	206.115123	  0.000000	1	1.910040e-04
54	1302.385549	2.665566	206.454984	  0.000005	1	1.910040e-04
55	1313.256875	2.579725	206.733649	  0.000008	1	1.910040e-04
56	1324.141431	2.493883	206.952887	  0.000006	1	1.910040e-04
57	1335.037834	2.408041	207.183092	  0.000009	1	1.910040e-04
58	1345.949059	2.322199	207.516038	  0.000016	1	1.910040e-04
59	1356.885646	2.236357	208.153536	  0.000028	1	1.910040e-04
60	1367.871521	2.150515	209.379863	  0.000054	1	1.910040e-04
61	1378.951718	2.064673	211.738433	  0.000098	1	1.910040e-04
62	1390.165603	1.978831	214.470051	  0.000193	1	1.910040e-04
63	1401.487461	1.892989	215.837792	  0.000290	1	1.910040e-04
64	1412.864161	1.807147	216.552418	 -0.000314	1	1.415723e-03
65	1424.275667	1.721305	217.161708	  0.001696	1	4.251975e-05
66	1435.717714	1.635463	217.714122	  0.000686	1	1.910040e-04
67	1447.188764	1.549622	218.259804	  0.000631	1	3.151566e-04
68	1458.689025	1.463780	218.826889	  0.000048	1	5.200085e-04
69	1470.220626	1.377938	219.451462	 -0.000422	1	8.580140e-04
70	1481.787952	1.292096	220.189309	  0.003205	1	3.151566e-04
71	1493.398391	1.206254	221.085449	 -0.000201	1	8.580140e-04
72	1505.061742	1.120412	222.200814	 -0.000405	1	8.580140e-04
73	1516.793607	1.034570	223.691980	  0.006295	1	5.200085e-04
74	1528.589303	0.948728	224.628615	  0.002977	1	3.151566e-04
75	1540.410694	0.862886	224.661019	 -0.002537	1	2.335943e-03
76	1552.231428	0.777044	224.607110	  0.035329	1	3.151566e-04
77	1564.047631	0.691202	224.486158	 -0.000751	1	2.335943e-03
78	1575.856625	0.605360	224.334371	  0.046218	1	3.151566e-04
