Layer	  log(P)	nClouds	Molec.   7	Cloud    7
1	7.215188	0	8.4180e-04	0.0000e+00
2	7.129346	0	8.4181e-04	0.0000e+00
3	7.043504	0	8.4178e-04	0.0000e+00
4	6.957662	0	8.4181e-04	0.0000e+00
5	6.871820	0	8.4183e-04	0.0000e+00
6	6.785978	0	8.4181e-04	0.0000e+00
7	6.700137	0	8.4180e-04	0.0000e+00
8	6.614295	0	8.4181e-04	0.0000e+00
9	6.528453	0	8.4179e-04	0.0000e+00
10	6.442611	0	8.4177e-04	0.0000e+00
11	6.356769	0	8.4182e-04	0.0000e+00
12	6.270927	0	8.4183e-04	0.0000e+00
13	6.185085	0	8.4181e-04	0.0000e+00
14	6.099243	0	8.4183e-04	0.0000e+00
15	6.013401	0	8.4184e-04	0.0000e+00
16	5.927559	0	8.4182e-04	0.0000e+00
17	5.841717	0	8.4183e-04	0.0000e+00
18	5.755875	0	8.4176e-04	0.0000e+00
19	5.670034	0	8.4182e-04	0.0000e+00
20	5.584192	0	8.4183e-04	0.0000e+00
21	5.498350	0	8.4179e-04	0.0000e+00
22	5.412508	0	8.4178e-04	0.0000e+00
23	5.326666	0	8.4181e-04	0.0000e+00
24	5.240824	0	8.4182e-04	0.0000e+00
25	5.154982	0	8.4183e-04	0.0000e+00
26	5.069140	0	8.4183e-04	0.0000e+00
27	4.983298	0	8.4179e-04	0.0000e+00
28	4.897456	0	8.4186e-04	0.0000e+00
29	4.811614	0	8.4182e-04	0.0000e+00
30	4.725772	0	8.4184e-04	0.0000e+00
31	4.639931	0	8.4184e-04	0.0000e+00
32	4.554089	0	8.4186e-04	0.0000e+00
33	4.468247	1	8.3958e-04	2.2680e-06
34	4.382405	1	2.0105e-04	4.1695e-04
35	4.296563	1	4.3116e-05	5.2527e-05
36	4.210721	1	1.2722e-05	1.2974e-05
37	4.124879	1	7.2650e-06	4.4383e-06
38	4.039037	1	5.7771e-06	1.4879e-06
39	3.953195	1	5.5281e-06	2.4896e-07
40	3.867353	0	5.5281e-06	0.0000e+00
41	3.781511	0	5.5281e-06	0.0000e+00
42	3.695669	0	5.5281e-06	0.0000e+00
43	3.609828	0	5.5281e-06	0.0000e+00
44	3.523986	0	5.5281e-06	0.0000e+00
