#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1534.122087
120.440469	7.908333	1507.759283
238.586438	7.816667	1478.678610
354.409786	7.725000	1451.679051
468.321698	7.633333	1428.670871
580.657078	7.541667	1409.212595
691.576261	7.450000	1391.641270
801.264608	7.358333	1378.025370
910.148235	7.266667	1372.018121
1019.120037	7.175000	1370.363077
1128.442440	7.083333	1370.047220
1237.787528	6.991667	1366.569287
1347.116494	6.900000	1362.631113
1456.454088	6.808333	1358.654403
1565.833778	6.716667	1354.571839
1675.241988	6.625000	1350.012882
1784.610826	6.533333	1344.757922
1893.847524	6.441667	1338.330059
2002.801177	6.350000	1330.424838
2111.265856	6.258333	1320.368822
2219.004974	6.166667	1307.968228
2325.748281	6.075000	1292.771884
2431.205476	5.983333	1274.754490
2535.073662	5.891667	1253.829199
2637.068375	5.800000	1230.384890
2736.944173	5.708333	1204.767887
2834.512291	5.616667	1177.503564
2929.635877	5.525000	1149.064698
3022.233693	5.433333	1120.067666
3112.289146	5.341667	1090.958613
3199.820040	5.250000	1062.054284
3284.855013	5.158333	1033.555763
3367.448566	5.066667	1005.752453
3447.669929	4.975000	978.208669
3525.491743	4.883333	949.938977
3600.705569	4.791667	916.187691
3672.576955	4.700000	874.893247
3740.301367	4.608333	827.712341
3803.901759	4.516667	779.913791
3863.754686	4.425000	734.689392
3920.112019	4.333333	691.891500
3973.174819	4.241667	651.424898
4023.124442	4.150000	613.183656
4070.132772	4.058333	577.070538
4114.361286	3.966667	542.984599
4155.964915	3.875000	513.106780
4195.359829	3.783333	487.897179
4233.021263	3.691667	466.118341
4269.006649	3.600000	443.930203
4303.121534	3.508333	420.078425
4335.233220	3.416667	395.619880
4365.393884	3.325000	371.959026
4393.734233	3.233333	349.640972
4420.369183	3.141667	330.939632
4445.673810	3.050000	317.471494
4470.216175	2.958333	309.143601
4494.279230	2.866667	303.463235
4517.931676	2.775000	298.468926
4541.214806	2.683333	293.942991
4564.155269	2.591667	289.770201
4586.782048	2.500000	285.984172
4609.126544	2.408333	282.638347
4631.225623	2.316667	279.839408
4653.127399	2.225000	277.845587
4674.906580	2.133333	277.197904
4696.694361	2.041667	277.819959
4718.592695	1.950000	278.712856
4740.550683	1.858333	279.137410
4762.493744	1.766667	278.923488
4784.417453	1.675000	278.706919
4806.324634	1.583333	278.595312
4828.229158	1.491667	278.732078
4850.156236	1.400000	279.295252
4872.146922	1.308333	280.522482
4894.264918	1.216667	282.692953
4916.597753	1.125000	286.001512
4939.246048	1.033333	289.703955
4962.213844	0.941667	292.622604
4985.361009	0.850000	294.216097
5008.581148	0.758333	294.852804
5031.851038	0.666667	295.306167
5055.163663	0.575000	295.718730
5078.520161	0.483333	296.133208
5101.918641	0.391667	296.522547
5125.353759	0.300000	296.918251
5148.826834	0.208333	297.441756
5172.355205	0.116667	298.177776
5195.957185	0.025000	298.962202
5219.625358	-0.066667	299.541593
5243.327054	-0.158333	299.856430
5267.043878	-0.250000	300.066865
5290.780817	-0.341667	300.379304
5314.549435	-0.433333	300.829511
5338.361002	-0.525000	301.387612
5362.221076	-0.616667	301.973507
5386.128095	-0.708333	302.501465
5410.073866	-0.800000	302.907068
5434.046693	-0.891667	303.142059
5458.031424	-0.983333	303.162965
5482.008397	-1.075000	302.954262
5505.959447	-1.166667	302.536960
5529.869923	-1.258333	301.945466
5553.727655	-1.350000	301.180743
5577.518302	-1.441667	300.185340
5601.220828	-1.533333	298.888958
5624.807588	-1.625000	297.241344
5648.249013	-1.716667	295.218182
5671.515365	-1.808333	292.801452
5694.574969	-1.900000	289.970572
5717.393518	-1.991667	286.727706
5739.939803	-2.083333	283.104515
5762.184609	-2.175000	279.159199
5784.105094	-2.266667	274.966128
5805.685607	-2.358333	270.607035
5826.915424	-2.450000	266.167419
5847.791562	-2.541667	261.727655
5868.318319	-2.633333	257.326499
5888.499231	-2.725000	252.908890
5908.329157	-2.816667	247.830112
5927.728232	-2.908333	242.819997
5946.711109	-3.000000	237.984497
