Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	8.000000	1427.062310	  0.003753	0	1.517859e-28
1	153.552862	7.908333	1403.055026	  0.000000	1	3.476730e-06
2	304.436230	7.816667	1377.710203	  0.000000	1	3.476730e-06
3	452.816418	7.725000	1356.776377	 -0.000000	1	3.476730e-06
4	599.044588	7.633333	1337.892073	 -0.000000	1	3.476730e-06
5	743.555019	7.541667	1324.954301	 -0.000000	1	3.476730e-06
6	886.663408	7.450000	1311.887566	 -0.000000	1	3.476730e-06
7	1028.473648	7.358333	1300.862695	  0.000000	1	3.476730e-06
8	1169.174090	7.266667	1291.269051	  0.000000	1	3.476730e-06
9	1308.960914	7.175000	1283.859433	  0.000000	1	3.476730e-06
10	1448.077486	7.083333	1278.739253	  0.000000	1	3.476730e-06
11	1586.806305	6.991667	1276.519695	  0.000000	1	3.476730e-06
12	1725.226308	6.900000	1272.817554	  0.000000	1	3.476730e-06
13	1863.268008	6.808333	1269.287945	  0.000000	1	3.476730e-06
14	2000.934984	6.716667	1265.595970	  0.000000	1	3.476730e-06
15	2138.209883	6.625000	1261.677572	  0.000000	1	3.476730e-06
16	2275.062961	6.533333	1257.350432	  0.000000	1	3.476730e-06
17	2411.403825	6.441667	1251.672618	  0.000000	1	3.476730e-06
18	2547.073604	6.350000	1244.349387	  0.000000	1	3.476730e-06
19	2681.872443	6.258333	1234.968691	  0.000000	1	3.476730e-06
20	2815.544005	6.166667	1222.978478	  0.000000	1	3.476730e-06
21	2947.780707	6.075000	1208.044812	  0.000000	1	3.476730e-06
22	3078.250086	5.983333	1190.125677	 -0.000000	1	3.476730e-06
23	3206.595636	5.891667	1168.855342	 -0.000000	1	3.476730e-06
24	3332.442991	5.800000	1144.300152	 -0.000000	1	3.476730e-06
25	3455.438427	5.708333	1116.755819	 -0.000000	1	3.476730e-06
26	3575.274716	5.616667	1086.741866	 -0.000000	1	3.476730e-06
27	3691.674404	5.525000	1054.213044	 -0.000000	1	3.476730e-06
28	3804.384324	5.433333	1019.582214	 -0.000000	1	3.476730e-06
29	3913.214285	5.341667	983.471537	  0.000000	1	3.476730e-06
30	4017.982497	5.250000	945.348837	  0.000000	1	3.476730e-06
31	4118.505748	5.158333	905.671106	  0.000000	1	3.476730e-06
32	4214.656389	5.066667	865.028791	  0.000000	1	3.476730e-06
33	4306.379136	4.975000	824.224300	  0.000000	1	3.476730e-06
34	4393.653434	4.883333	783.151440	  0.000000	1	3.476730e-06
35	4476.404470	4.791667	740.939574	  0.000000	1	3.476730e-06
36	4554.537777	4.700000	698.121076	 -0.000000	1	3.476730e-06
37	4628.070854	4.608333	656.259621	 -0.000000	1	3.476730e-06
38	4697.186480	4.516667	616.820009	 -0.000000	0	3.476730e-06
39	4762.140968	4.425000	579.703184	 -0.000000	1	3.476730e-06
40	4823.177626	4.333333	544.777069	  0.000000	1	3.476730e-06
41	4880.525333	4.241667	511.926041	  0.000000	0	3.476730e-06
42	4934.453747	4.150000	481.995815	  0.000000	0	3.476730e-06
43	4985.311976	4.058333	455.536310	  0.000000	0	3.476730e-06
44	5033.585524	3.966667	434.462461	 -0.000000	1	3.476730e-06
45	5079.601485	3.875000	413.959406	  0.000000	1	3.476730e-06
46	5123.397636	3.783333	393.557792	  0.000000	1	3.476730e-06
47	5164.974766	3.691667	373.051337	 -0.000000	1	3.476730e-06
48	5204.361523	3.600000	353.174993	 -0.000001	1	3.476730e-06
49	5241.687961	3.508333	335.056621	  0.000000	1	3.476730e-06
50	5277.191407	3.416667	319.571109	  0.000000	1	3.476730e-06
51	5311.186499	3.325000	307.236058	 -0.000001	1	3.476730e-06
52	5344.012850	3.233333	298.026611	 -0.000001	1	3.476730e-06
53	5375.962490	3.141667	291.071011	 -0.000001	1	3.476730e-06
54	5407.293831	3.050000	286.624103	  0.000000	1	3.476730e-06
55	5438.259197	2.958333	284.320019	  0.000000	1	3.476730e-06
56	5468.952330	2.866667	281.609959	 -0.000001	1	3.476730e-06
57	5499.352329	2.775000	278.916500	 -0.000003	1	3.476730e-06
58	5529.462642	2.683333	276.263364	  0.000001	1	3.476730e-06
59	5559.286579	2.591667	273.642129	  0.000000	1	3.476730e-06
60	5588.827299	2.500000	271.037495	 -0.000000	1	3.476730e-06
61	5618.087317	2.408333	268.468645	  0.000002	1	3.476730e-06
62	5647.078648	2.316667	266.080564	  0.000003	1	3.476730e-06
63	5675.841311	2.225000	264.253220	 -0.000006	1	3.476730e-06
64	5704.473441	2.133333	263.672412	  0.000001	1	3.476730e-06
