#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1409.803354
inf	7.908333	1386.987868
inf	7.816667	1361.751654
inf	7.725000	1337.853244
inf	7.633333	1318.541409
inf	7.541667	1301.900462
inf	7.450000	1290.057619
inf	7.358333	1282.791644
inf	7.266667	1277.806133
inf	7.175000	1273.421046
inf	7.083333	1269.331689
inf	6.991667	1266.038071
inf	6.900000	1262.452034
inf	6.808333	1258.783537
inf	6.716667	1255.096837
inf	6.625000	1251.108276
inf	6.533333	1246.308114
inf	6.441667	1240.268417
inf	6.350000	1232.545107
inf	6.258333	1222.706302
inf	6.166667	1210.342705
inf	6.075000	1195.147677
inf	5.983333	1176.870127
inf	5.891667	1155.400246
inf	5.800000	1130.817148
inf	5.708333	1103.383191
inf	5.616667	1073.356934
inf	5.525000	1041.033481
inf	5.433333	1006.671977
inf	5.341667	970.364171
inf	5.250000	932.201099
inf	5.158333	892.214615
inf	5.066667	851.049941
inf	4.975000	809.112033
inf	4.883333	766.515231
inf	4.791667	723.468920
inf	4.700000	680.882607
inf	4.608333	639.964509
inf	4.516667	601.354394
inf	4.425000	565.050618
inf	4.333333	531.026144
inf	4.241667	499.492671
inf	4.150000	470.679705
inf	4.058333	445.572751
inf	3.966667	423.407783
inf	3.875000	403.226378
inf	3.783333	383.305571
inf	3.691667	363.785102
inf	3.600000	345.370001
inf	3.508333	328.994390
inf	3.416667	315.322477
inf	3.325000	304.538701
inf	3.233333	296.294065
inf	3.141667	290.377878
inf	3.050000	286.515662
inf	2.958333	283.943917
inf	2.866667	281.830065
inf	2.775000	279.544876
inf	2.683333	277.258896
inf	2.591667	274.989408
inf	2.500000	272.765159
inf	2.408333	270.676959
inf	2.316667	268.942075
inf	2.225000	267.972400
inf	2.133333	268.445116
inf	2.041667	270.200565
inf	1.950000	272.057976
inf	1.858333	273.232671
inf	1.766667	273.661133
inf	1.675000	274.142626
inf	1.583333	274.791347
inf	1.491667	275.736316
inf	1.400000	277.061837
inf	1.308333	278.839292
inf	1.216667	281.150280
inf	1.125000	284.009461
inf	1.033333	286.843297
inf	0.941667	288.876814
inf	0.850000	289.857104
inf	0.758333	290.108863
inf	0.666667	290.139243
inf	0.575000	289.992704
inf	0.483333	289.704306
inf	0.391667	289.308861
inf	0.300000	288.873639
inf	0.208333	288.481706
inf	0.116667	288.163128
inf	0.025000	287.799974
inf	-0.066667	287.254861
inf	-0.158333	286.548248
inf	-0.250000	285.851025
inf	-0.341667	285.348968
inf	-0.433333	285.093834
inf	-0.525000	285.063453
inf	-0.616667	285.170287
inf	-0.708333	285.291401
inf	-0.800000	285.301963
inf	-0.891667	285.092517
inf	-0.983333	284.566036
inf	-1.075000	283.640096
inf	-1.166667	282.258403
inf	-1.258333	280.404185
inf	-1.350000	278.103972
inf	-1.441667	275.422248
inf	-1.533333	272.450082
inf	-1.625000	269.284767
inf	-1.716667	266.016830
inf	-1.808333	262.725090
inf	-1.900000	259.475843
inf	-1.991667	256.320848
inf	-2.083333	253.294475
inf	-2.175000	250.410995
inf	-2.266667	247.663516
inf	-2.358333	245.020942
inf	-2.450000	242.422061
inf	-2.541667	239.771557
inf	-2.633333	236.898477
inf	-2.725000	233.654157
inf	-2.816667	228.353174
inf	-2.908333	223.072549
inf	-3.000000	218.463907
