#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1760.654293
inf	7.908333	1729.080838
inf	7.816667	1693.766762
inf	7.725000	1665.771443
inf	7.633333	1634.360472
inf	7.541667	1599.095853
inf	7.450000	1562.518571
inf	7.358333	1528.042625
inf	7.266667	1494.654373
inf	7.175000	1463.391139
inf	7.083333	1433.703751
inf	6.991667	1406.658806
inf	6.900000	1382.258730
inf	6.808333	1360.521561
inf	6.716667	1341.109263
inf	6.625000	1323.826114
inf	6.533333	1307.975003
inf	6.441667	1292.963951
inf	6.350000	1278.006529
inf	6.258333	1262.420201
inf	6.166667	1245.530404
inf	6.075000	1226.859605
inf	5.983333	1205.997750
inf	5.891667	1182.635622
inf	5.800000	1156.621761
inf	5.708333	1128.049515
inf	5.616667	1097.130667
inf	5.525000	1064.062150
inf	5.433333	1029.081266
inf	5.341667	992.315149
inf	5.250000	953.890784
inf	5.158333	914.054677
inf	5.066667	873.283774
inf	4.975000	831.950142
inf	4.883333	789.924572
inf	4.791667	747.007532
inf	4.700000	703.838327
inf	4.608333	661.560255
inf	4.516667	621.306072
inf	4.425000	583.347038
inf	4.333333	547.897090
inf	4.241667	514.997818
inf	4.150000	485.097140
inf	4.058333	459.054189
inf	3.966667	436.192504
inf	3.875000	415.352962
inf	3.783333	394.712076
inf	3.691667	374.287794
inf	3.600000	354.644279
inf	3.508333	336.663705
inf	3.416667	321.195768
inf	3.325000	308.713764
inf	3.233333	299.111371
inf	3.141667	292.172515
inf	3.050000	287.562269
inf	2.958333	284.375809
inf	2.866667	281.782438
inf	2.775000	279.076432
inf	2.683333	276.402619
inf	2.591667	273.760486
inf	2.500000	271.148227
inf	2.408333	268.615357
inf	2.316667	266.343046
inf	2.225000	264.734512
inf	2.133333	264.512813
inf	2.041667	265.636079
inf	1.950000	266.979929
inf	1.858333	267.758004
inf	1.766667	267.829678
inf	1.675000	267.967352
inf	1.583333	268.284700
inf	1.491667	268.930629
inf	1.400000	270.030121
inf	1.308333	271.702406
inf	1.216667	274.073302
inf	1.125000	277.181267
inf	1.033333	280.367793
inf	0.941667	282.737841
inf	0.850000	283.972642
inf	0.758333	284.427633
inf	0.666667	284.664488
inf	0.575000	284.724750
inf	0.483333	284.641010
inf	0.391667	284.445403
inf	0.300000	284.204578
inf	0.208333	284.016877
inf	0.116667	283.932794
inf	0.025000	283.820994
inf	-0.066667	283.497054
inf	-0.158333	282.951200
inf	-0.250000	282.376193
inf	-0.341667	282.010334
inf	-0.433333	281.946812
inf	-0.525000	282.192587
inf	-0.616667	282.665542
inf	-0.708333	283.217091
inf	-0.800000	283.668955
inf	-0.891667	283.853237
inf	-0.983333	283.636358
inf	-1.075000	282.934344
inf	-1.166667	281.712790
inf	-1.258333	279.975613
inf	-1.350000	277.751975
inf	-1.441667	275.094725
inf	-1.533333	272.084398
inf	-1.625000	268.817515
inf	-1.716667	265.393571
inf	-1.808333	261.907029
inf	-1.900000	258.444561
inf	-1.991667	255.082886
inf	-2.083333	251.882318
inf	-2.175000	248.877219
inf	-2.266667	246.068110
inf	-2.358333	243.418786
inf	-2.450000	240.854119
inf	-2.541667	238.259302
inf	-2.633333	235.446792
inf	-2.725000	232.246163
inf	-2.816667	227.163477
inf	-2.908333	222.081915
inf	-3.000000	217.626956
