Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	       inf	7.908333	33.318734	0.249543	0	0	0	0.000000e+00	2253.841539
2	       inf	7.816667	33.146043	0.250844	0	0	0	0.000000e+00	2195.518966
3	       inf	7.725000	32.984710	0.252070	0	0	0	0.000000e+00	2142.495866
4	       inf	7.633333	32.837630	0.253200	0	0	0	0.000000e+00	2095.587737
5	       inf	7.541667	32.695184	0.254303	0	0	0	0.000000e+00	2050.723191
6	       inf	7.450000	32.546968	0.255461	0	0	0	0.000000e+00	2004.107483
7	       inf	7.358333	32.399098	0.256627	0	0	0	0.000000e+00	1957.716218
8	       inf	7.266667	32.245987	0.257845	0	0	0	0.000000e+00	1910.037486
9	       inf	7.175000	32.093639	0.259069	0	0	0	0.000000e+00	1863.382339
10	       inf	7.083333	31.941507	0.260303	0	0	0	0.000000e+00	1817.874017
11	       inf	6.991667	31.791086	0.261535	0	0	0	0.000000e+00	1773.876829
12	       inf	6.900000	31.644833	0.262743	0	0	0	0.000000e+00	1731.712224
13	       inf	6.808333	31.507300	0.263890	0	0	0	0.000000e+00	1692.464259
14	       inf	6.716667	31.375081	0.265002	0	0	0	0.000000e+00	1654.959398
15	       inf	6.625000	31.245009	0.266106	0	0	0	0.000000e+00	1618.281876
16	       inf	6.533333	31.116307	0.267206	0	0	0	0.000000e+00	1582.186166
17	       inf	6.441667	30.987339	0.268318	0	0	0	0.000000e+00	1546.178201
18	       inf	6.350000	30.862183	0.269406	0	0	0	0.000000e+00	1511.338698
19	       inf	6.258333	30.738006	0.270495	0	0	0	0.000000e+00	1476.883993
20	       inf	6.166667	30.613409	0.271596	0	0	0	0.000000e+00	1442.471446
21	       inf	6.075000	30.489897	0.272696	0	0	0	0.000000e+00	1408.451162
22	       inf	5.983333	30.367254	0.273797	0	0	0	0.000000e+00	1374.603564
23	       inf	5.891667	30.245178	0.274902	0	0	0	0.000000e+00	1340.587392
24	       inf	5.800000	30.123280	0.276015	0	0	0	0.000000e+00	1306.162585
25	       inf	5.708333	30.001379	0.277136	0	0	0	0.000000e+00	1271.144141
26	       inf	5.616667	29.878799	0.278273	0	0	0	0.000000e+00	1235.441333
27	       inf	5.525000	29.757553	0.279407	0	0	0	0.000000e+00	1199.159815
28	       inf	5.433333	29.638152	0.280533	0	0	0	0.000000e+00	1162.049624
29	       inf	5.341667	29.519127	0.281664	0	0	0	0.000000e+00	1123.716995
30	       inf	5.250000	29.398936	0.282815	0	0	0	0.000000e+00	1084.008714
31	       inf	5.158333	29.275179	0.284011	0	0	0	0.000000e+00	1042.580145
32	       inf	5.066667	29.146512	0.285265	0	0	0	0.000000e+00	999.662891
33	       inf	4.975000	29.015142	0.286556	0	0	0	0.000000e+00	955.432433
34	       inf	4.883333	28.872058	0.287976	0	1	1	9.329567e+02	905.425260
35	       inf	4.791667	28.731858	0.289382	0	0	0	0.000000e+00	852.099899
36	       inf	4.700000	28.610646	0.290608	0	1	2	8.244701e+02	801.045441
37	       inf	4.608333	28.508935	0.291644	0	1	2	8.244701e+02	752.669926
38	       inf	4.516667	28.427848	0.292476	0	1	2	8.244701e+02	707.752662
39	       inf	4.425000	28.362467	0.293151	0	1	2	8.244701e+02	665.340991
40	       inf	4.333333	28.310402	0.293690	0	1	2	8.244701e+02	625.313175
41	       inf	4.241667	28.268103	0.294129	0	1	2	8.244701e+02	586.779646
42	       inf	4.150000	28.234797	0.294476	0	1	2	8.244701e+02	550.612086
43	       inf	4.058333	28.207731	0.294759	0	1	2	8.244701e+02	516.997247
44	       inf	3.966667	28.201110	0.294828	0	0	0	0.000000e+00	486.468939
45	       inf	3.875000	28.177505	0.295075	0	1	3	4.725473e+02	458.280445
46	       inf	3.783333	28.150489	0.295358	0	0	0	0.000000e+00	432.105863
47	       inf	3.691667	28.118623	0.295693	0	1	4	4.202914e+02	407.529821
48	       inf	3.600000	28.068182	0.296224	0	0	0	0.000000e+00	383.539104
49	       inf	3.508333	28.021029	0.296723	0	0	0	0.000000e+00	361.722256
50	       inf	3.416667	27.964661	0.297321	0	0	0	0.000000e+00	341.775802
51	       inf	3.325000	27.902666	0.297981	0	0	0	0.000000e+00	324.624897
52	       inf	3.233333	27.842169	0.298629	0	0	0	0.000000e+00	311.074406
53	       inf	3.141667	27.789893	0.299191	0	0	0	0.000000e+00	301.134413
54	       inf	3.050000	27.314807	0.304394	0	0	0	0.000000e+00	294.309293
55	       inf	2.958333	27.282120	0.304759	0	0	0	0.000000e+00	290.107481
56	       inf	2.866667	27.258124	0.305027	0	0	0	0.000000e+00	287.022624
57	       inf	2.775000	27.233351	0.305305	0	0	0	0.000000e+00	283.834295
58	       inf	2.683333	27.209197	0.305576	0	0	0	0.000000e+00	280.729292
