Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	120.440469	7.908333	32.681317	0.254411	0	0	0	0.000000e+00	1522.890171
2	238.586438	7.816667	32.541020	0.255507	0	0	0	0.000000e+00	1493.320597
3	354.409786	7.725000	32.398619	0.256630	0	0	0	0.000000e+00	1463.446071
4	468.321698	7.633333	32.277564	0.257593	0	0	0	0.000000e+00	1438.769824
5	580.657078	7.541667	32.173648	0.258425	0	0	0	0.000000e+00	1418.308988
6	691.576261	7.450000	32.074744	0.259222	0	0	0	0.000000e+00	1399.746387
7	801.264608	7.358333	31.977725	0.260008	0	0	0	0.000000e+00	1383.225423
8	910.148235	7.266667	31.889109	0.260731	0	0	0	0.000000e+00	1371.528150
9	1019.120037	7.175000	31.830345	0.261212	0	0	0	0.000000e+00	1370.311664
10	1128.442440	7.083333	31.768491	0.261721	0	0	0	0.000000e+00	1371.731984
11	1237.787528	6.991667	31.675898	0.262486	0	0	0	0.000000e+00	1368.571797
12	1347.116494	6.900000	31.573078	0.263341	0	0	0	0.000000e+00	1364.620978
13	1456.454088	6.808333	31.461637	0.264273	0	0	0	0.000000e+00	1360.607823
14	1565.833778	6.716667	31.344531	0.265261	0	0	0	0.000000e+00	1356.699471
15	1675.241988	6.625000	31.224175	0.266283	0	0	0	0.000000e+00	1352.532068
16	1784.610826	6.533333	31.103912	0.267313	0	0	0	0.000000e+00	1347.645542
17	1893.847524	6.441667	30.988933	0.268305	0	0	0	0.000000e+00	1341.978596
18	2002.801177	6.350000	30.881126	0.269241	0	0	0	0.000000e+00	1335.007834
19	2111.265856	6.258333	30.779912	0.270127	0	0	0	0.000000e+00	1326.145915
20	2219.004974	6.166667	30.683935	0.270972	0	0	0	0.000000e+00	1315.036741
21	2325.748281	6.075000	30.592668	0.271780	0	0	0	0.000000e+00	1301.322918
22	2431.205476	5.983333	30.506381	0.272549	0	0	0	0.000000e+00	1284.750508
23	2535.073662	5.891667	30.423869	0.273288	0	0	0	0.000000e+00	1265.216135
24	2637.068375	5.800000	30.346281	0.273987	0	0	0	0.000000e+00	1242.908891
25	2736.944173	5.708333	30.273114	0.274649	0	0	0	0.000000e+00	1218.196108
26	2834.512291	5.616667	30.203528	0.275281	0	0	0	0.000000e+00	1191.624167
27	2929.635877	5.525000	30.134435	0.275913	0	0	0	0.000000e+00	1163.586901
28	3022.233693	5.433333	30.065518	0.276545	0	0	0	0.000000e+00	1134.641324
29	3112.289146	5.341667	29.997432	0.277173	0	0	0	0.000000e+00	1105.470321
30	3199.820040	5.250000	29.930719	0.277791	0	0	0	0.000000e+00	1076.427774
31	3284.855013	5.158333	29.865205	0.278400	0	0	0	0.000000e+00	1047.621250
32	3367.448566	5.066667	29.802749	0.278983	0	0	0	0.000000e+00	1019.366045
33	3447.669929	4.975000	29.744865	0.279526	0	0	0	0.000000e+00	991.975028
34	3525.491743	4.883333	29.699625	0.279952	0	0	0	0.000000e+00	964.600610
35	3600.705569	4.791667	29.676193	0.280173	0	0	0	0.000000e+00	935.645830
36	3672.576955	4.700000	29.663384	0.280294	0	0	0	0.000000e+00	898.943562
37	3740.301367	4.608333	29.616988	0.280733	0	1	1	8.772627e+02	852.032016
38	3803.901759	4.516667	29.511404	0.281738	0	1	1	8.772627e+02	802.932804
39	3863.754686	4.425000	29.373926	0.283056	0	1	1	8.772627e+02	756.474378
40	3920.112019	4.333333	29.236903	0.284383	0	1	1	8.772627e+02	712.497592
41	3973.174819	4.241667	29.112442	0.285599	0	1	1	8.772627e+02	670.899367
42	4023.124442	4.150000	29.001877	0.286687	0	1	1	8.772627e+02	631.577637
43	4070.132772	4.058333	28.903878	0.287659	0	1	1	8.772627e+02	594.435827
44	4114.361286	3.966667	28.816775	0.288529	0	1	1	8.772627e+02	559.367827
45	4155.964915	3.875000	28.738579	0.289314	0	1	1	8.772627e+02	526.279051
46	4195.359829	3.783333	28.760217	0.289096	0	0	0	0.000000e+00	498.490190
47	4233.021263	3.691667	28.712519	0.289577	0	0	0	0.000000e+00	476.736698
48	4269.006649	3.600000	28.667406	0.290032	0	0	0	0.000000e+00	455.796392
49	4303.121534	3.508333	28.617184	0.290541	0	0	0	0.000000e+00	432.539726
50	4335.233220	3.416667	28.559765	0.291125	0	1	2	4.201966e+02	407.676824
51	4365.393884	3.325000	28.439821	0.292353	0	1	2	4.201966e+02	383.330908
52	4393.734233	3.233333	28.363142	0.293144	0	1	2	4.201966e+02	360.360628
53	4420.369183	3.141667	28.275526	0.294052	0	1	2	4.201966e+02	338.708461
54	4445.673810	3.050000	28.195020	0.294892	0	0	0	0.000000e+00	321.801817
55	4470.216175	2.958333	28.143003	0.295437	0	0	0	0.000000e+00	312.106410
56	4494.279230	2.866667	28.107720	0.295807	0	0	0	0.000000e+00	306.014415
57	4517.931676	2.775000	28.075726	0.296145	0	0	0	0.000000e+00	300.789429
58	4541.214806	2.683333	27.598023	0.301271	0	0	0	0.000000e+00	296.094398
59	4564.155269	2.591667	27.565431	0.301627	0	0	0	0.000000e+00	291.734048
60	4586.782048	2.500000	27.535630	0.301953	0	0	0	0.000000e+00	287.741340
61	4609.126544	2.408333	27.508850	0.302247	0	0	0	0.000000e+00	284.156171
62	4631.225623	2.316667	27.485526	0.302504	0	0	0	0.000000e+00	281.036267
63	4653.127399	2.225000	27.466764	0.302710	0	0	0	0.000000e+00	278.524194
64	4674.906580	2.133333	27.455144	0.302838	0	0	0	0.000000e+00	276.967032
65	4696.694361	2.041667	27.455936	0.302830	0	0	0	0.000000e+00	277.074011
66	4718.592695	1.950000	27.466478	0.302713	0	0	0	0.000000e+00	278.485752
67	4740.550683	1.858333	27.472097	0.302652	0	0	0	0.000000e+00	279.239460
68	4762.493744	1.766667	27.470655	0.302667	0	0	0	0.000000e+00	279.050187
69	4784.417453	1.675000	27.468802	0.302688	0	0	0	0.000000e+00	278.801700
70	4806.324634	1.583333	27.467210	0.302705	0	0	0	0.000000e+00	278.593724
71	4828.229158	1.491667	27.466897	0.302709	0	0	0	0.000000e+00	278.557922
72	4850.156236	1.400000	27.468911	0.302687	0	0	0	0.000000e+00	278.839439
73	4872.146922	1.308333	27.474760	0.302622	0	0	0	0.000000e+00	279.643635
74	4894.264918	1.216667	27.486351	0.302495	0	0	0	0.000000e+00	281.243529
75	4916.597753	1.125000	27.505725	0.302282	0	0	0	0.000000e+00	283.935990
76	4939.246048	1.033333	27.533178	0.301980	0	0	0	0.000000e+00	287.862179
77	4962.213844	0.941667	27.559095	0.301696	0	0	0	0.000000e+00	291.760031
78	4985.361009	0.850000	27.570978	0.301566	0	0	0	0.000000e+00	293.867629
79	5008.581148	0.758333	27.573192	0.301542	0	0	0	0.000000e+00	294.630392
80	5031.851038	0.666667	27.573632	0.301537	0	0	0	0.000000e+00	295.105331
81	5055.163663	0.575000	27.573579	0.301538	0	0	0	0.000000e+00	295.502733
82	5078.520161	0.483333	27.574028	0.301533	0	0	0	0.000000e+00	295.929281
