Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  1.641410	5.218020	20.926977	0.397309	0	0	0	0.000000e+00	278.184807
2	  3.308589	5.135009	21.026532	0.395428	0	0	0	0.000000e+00	283.051925
3	  5.012310	5.051999	21.189085	0.392394	0	0	0	0.000000e+00	290.111928
4	  6.757283	4.968989	21.471700	0.387229	0	0	0	0.000000e+00	298.679223
5	  8.536578	4.885978	21.873970	0.380108	0	0	0	0.000000e+00	306.881181
6	 10.336526	4.802968	22.310602	0.372669	0	0	0	0.000000e+00	313.076427
7	 12.145267	4.719958	22.677874	0.366634	0	0	0	0.000000e+00	316.921125
8	 13.953899	4.636948	22.936074	0.362506	0	0	0	0.000000e+00	318.568290
9	 15.755527	4.553937	23.086371	0.360146	0	0	0	0.000000e+00	318.324456
10	 17.544691	4.470927	23.142047	0.359280	0	0	0	0.000000e+00	316.491488
11	 19.316081	4.387917	23.137636	0.359348	0	0	0	0.000000e+00	313.312629
12	 21.065743	4.304906	23.076925	0.360294	0	0	0	0.000000e+00	309.067160
13	 22.791531	4.221896	22.959742	0.362133	0	0	0	0.000000e+00	304.107904
14	 24.491893	4.138886	22.785265	0.364906	0	0	0	0.000000e+00	298.542798
15	 26.163232	4.055875	22.569339	0.368397	0	0	0	0.000000e+00	292.161333
16	 27.806809	3.972865	22.390721	0.371336	0	0	0	0.000000e+00	286.274947
17	 29.435999	3.889855	22.303395	0.372790	0	0	0	0.000000e+00	283.273025
18	 31.055331	3.806845	22.269634	0.373355	0	0	0	0.000000e+00	281.367003
19	 32.658551	3.723834	22.219464	0.374198	0	0	0	0.000000e+00	278.283284
20	 34.243380	3.640824	22.114444	0.375975	0	0	0	0.000000e+00	274.527182
21	 35.807175	3.557814	21.967443	0.378491	0	0	0	0.000000e+00	270.107980
22	 37.346363	3.474803	21.780834	0.381733	0	0	0	0.000000e+00	264.907942
23	 38.856081	3.391793	21.563126	0.385588	0	0	0	0.000000e+00	258.780596
24	 40.330223	3.308783	21.339395	0.389630	0	0	0	0.000000e+00	251.642386
25	 41.762280	3.225772	21.139320	0.393318	0	0	0	0.000000e+00	243.580958
26	 43.146719	3.142762	20.988368	0.396147	0	0	0	0.000000e+00	234.854430
27	 44.480643	3.059752	20.899221	0.397836	0	0	0	0.000000e+00	225.934124
28	 45.776735	2.976742	20.859525	0.398594	0	0	0	0.000000e+00	219.379754
29	 47.058734	2.893731	20.846091	0.398850	0	0	0	0.000000e+00	216.939295
30	 48.333068	2.810721	20.842706	0.398915	0	0	0	0.000000e+00	215.639135
31	 49.594979	2.727711	20.839502	0.398977	0	0	0	0.000000e+00	213.525058
32	 50.843340	2.644700	20.833985	0.399082	0	0	0	0.000000e+00	211.205300
33	 52.077544	2.561690	20.828132	0.399194	0	0	0	0.000000e+00	208.792525
34	 53.297217	2.478680	20.822326	0.399306	0	0	0	0.000000e+00	206.315887
35	 54.502102	2.395669	20.817009	0.399408	0	0	0	0.000000e+00	203.794121
36	 55.692575	2.312659	20.812356	0.399497	0	0	0	0.000000e+00	201.339230
37	 56.869328	2.229649	20.808434	0.399572	0	0	0	0.000000e+00	199.010484
38	 58.032655	2.146639	20.805285	0.399633	0	0	0	0.000000e+00	196.726128
39	 59.183111	2.063628	20.803302	0.399671	0	0	0	0.000000e+00	194.551396
40	 60.326136	1.980618	20.803295	0.399671	0	0	0	0.000000e+00	193.290669
41	 61.471058	1.897608	20.805428	0.399630	0	0	0	0.000000e+00	193.615388
42	 62.618792	1.814597	20.808728	0.399567	0	0	0	0.000000e+00	194.100969
43	 63.765029	1.731587	20.811862	0.399506	0	0	0	0.000000e+00	193.854803
44	 64.908718	1.648577	20.814104	0.399463	0	0	0	0.000000e+00	193.430452
45	 66.049178	1.565566	20.816068	0.399426	0	0	0	0.000000e+00	192.890648
46	 67.185957	1.482556	20.817872	0.399391	0	0	0	0.000000e+00	192.277752
47	 68.319059	1.399546	20.819873	0.399353	0	0	0	0.000000e+00	191.657418
48	 69.449027	1.316536	20.822522	0.399302	0	0	0	0.000000e+00	191.137704
49	 70.577226	1.233525	20.826767	0.399220	0	0	0	0.000000e+00	190.850052
50	 71.705747	1.150515	20.834211	0.399078	0	0	0	0.000000e+00	190.927719
51	 72.837756	1.067505	20.847255	0.398828	0	0	0	0.000000e+00	191.554053
52	 73.976382	0.984494	20.868629	0.398420	0	0	0	0.000000e+00	192.743445
53	 75.122371	0.901484	20.900232	0.397817	0	0	0	0.000000e+00	194.082909
54	 76.274858	0.818474	20.943911	0.396988	0	0	0	0.000000e+00	195.319684
55	 77.433862	0.735463	21.002991	0.395871	0	0	0	0.000000e+00	196.608638
56	 78.599746	0.652453	21.083010	0.394368	0	0	0	0.000000e+00	198.022902
57	 79.772214	0.569443	21.188258	0.392409	0	0	0	0.000000e+00	199.490222
58	 80.950590	0.486433	21.320006	0.389985	0	0	0	0.000000e+00	200.923578
59	 82.133576	0.403422	21.477000	0.387134	0	0	0	0.000000e+00	202.231935
60	 83.319435	0.320412	21.648118	0.384074	0	0	0	0.000000e+00	203.308450
61	 84.505845	0.237402	21.842753	0.380651	0	0	0	0.000000e+00	204.072887
62	 85.689281	0.154391	22.117480	0.375923	0	0	0	0.000000e+00	204.522228
63	 86.864955	0.071381	22.566449	0.368444	0	0	0	0.000000e+00	204.786470
64	 88.030743	-0.011629	23.160446	0.358994	0	0	0	0.000000e+00	205.263601
65	 89.194074	-0.094640	23.633263	0.351812	0	0	0	0.000000e+00	206.687788
66	 90.364991	-0.177650	23.842467	0.348725	0	0	0	0.000000e+00	208.942173
67	 91.545260	-0.260660	23.908022	0.347769	0	0	0	0.000000e+00	210.936221
68	 92.731961	-0.343670	23.926067	0.347507	0	0	0	0.000000e+00	212.197149
69	 93.921889	-0.426681	23.948394	0.347183	0	0	0	0.000000e+00	212.889617
70	 95.113551	-0.509691	23.945729	0.347222	0	0	0	0.000000e+00	213.193800
71	 96.305320	-0.592701	23.947657	0.347194	0	0	0	0.000000e+00	213.224454
72	 97.495967	-0.675712	23.955514	0.347080	0	0	0	0.000000e+00	213.053579
73	 98.684685	-0.758722	23.963884	0.346958	0	0	0	0.000000e+00	212.735052
74	 99.871631	-0.841732	23.942567	0.347267	0	0	0	0.000000e+00	212.315944
75	101.055395	-0.924743	23.970852	0.346858	0	0	0	0.000000e+00	211.849431
76	102.236979	-1.007753	23.956816	0.347061	0	0	0	0.000000e+00	211.389604
77	103.415694	-1.090763	23.987221	0.346621	0	0	0	0.000000e+00	210.988704
78	104.593131	-1.173773	23.974724	0.346802	0	0	0	0.000000e+00	210.700538
79	105.769723	-1.256784	23.974928	0.346799	0	0	0	0.000000e+00	210.547579
80	106.945974	-1.339794	23.977145	0.346767	0	0	0	0.000000e+00	210.492928
81	108.122028	-1.422804	23.977429	0.346762	0	0	0	0.000000e+00	210.455728
82	109.297647	-1.505815	23.969417	0.346878	0	0	0	0.000000e+00	210.340496
83	110.471226	-1.588825	23.991754	0.346555	0	0	0	0.000000e+00	210.063779
84	111.642262	-1.671835	23.987318	0.346619	0	0	0	0.000000e+00	209.575730
85	112.809634	-1.754846	23.981961	0.346697	0	0	0	0.000000e+00	208.871021
86	113.971920	-1.837856	23.993850	0.346525	0	0	0	0.000000e+00	207.986270
87	115.128578	-1.920866	24.003159	0.346391	0	0	0	0.000000e+00	206.985432
88	116.279113	-2.003876	24.024604	0.346082	0	0	0	0.000000e+00	205.940548
89	117.424095	-2.086887	24.024070	0.346089	0	0	0	0.000000e+00	204.912486
90	118.563724	-2.169897	24.026827	0.346050	0	0	0	0.000000e+00	203.935336
91	119.698529	-2.252907	24.017462	0.346184	0	0	0	0.000000e+00	203.007940
92	120.827710	-2.335918	24.049690	0.345721	0	0	0	0.000000e+00	202.097674
93	121.951813	-2.418928	24.050161	0.345714	0	0	0	0.000000e+00	201.157326
94	123.070196	-2.501938	24.059384	0.345581	0	0	0	0.000000e+00	200.137583
95	124.182318	-2.584949	24.065114	0.345499	0	0	0	0.000000e+00	198.999541
96	125.286709	-2.667959	24.104900	0.344929	0	0	0	0.000000e+00	197.723748
97	126.383829	-2.750969	24.077404	0.345323	0	0	0	0.000000e+00	196.273395
98	127.470915	-2.833979	24.110157	0.344853	0	0	0	0.000000e+00	194.531116
99	128.544295	-2.916990	24.140541	0.344419	0	0	0	0.000000e+00	192.100363
100	129.598386	-3.000000	24.184794	0.343789	0	0	0	0.000000e+00	188.670832
