Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  9.475482	4.885714	36.591539	0.227224	0	1	1	1.561797e+03	1516.472532
2	 18.399340	4.771429	36.359987	0.228671	0	1	1	1.561797e+03	1428.189694
3	 26.800438	4.657143	36.124107	0.230164	0	1	1	1.561797e+03	1344.526374
4	 34.706216	4.542857	35.881409	0.231721	0	1	1	1.561797e+03	1265.256570
5	 42.142644	4.428571	35.629904	0.233357	0	1	1	1.561797e+03	1190.160701
6	 49.133831	4.314286	35.367940	0.235085	0	1	1	1.561797e+03	1119.026985
7	 55.696820	4.200000	35.094060	0.236920	0	1	1	1.561797e+03	1051.652166
8	 61.829197	4.085714	34.806839	0.238875	0	1	1	1.561797e+03	987.841734
9	 67.546175	3.971429	34.518050	0.240873	0	0	0	0.000000e+00	929.914677
10	 72.899232	3.857143	34.245535	0.242790	0	0	0	0.000000e+00	880.314294
11	 77.941992	3.742857	33.983904	0.244659	0	0	0	0.000000e+00	836.818203
12	 82.709836	3.628571	33.724564	0.246541	0	0	0	0.000000e+00	797.270065
13	 87.238344	3.514286	33.468893	0.248424	0	0	0	0.000000e+00	761.412111
14	 91.552630	3.400000	33.211417	0.250350	0	0	0	0.000000e+00	728.139233
15	 95.663491	3.285714	32.940759	0.252407	0	0	0	0.000000e+00	695.207121
16	 99.554015	3.171429	32.650375	0.254652	0	0	0	0.000000e+00	658.713011
17	103.209802	3.057143	32.293445	0.257466	0	0	0	0.000000e+00	619.239124
18	106.698344	2.942857	32.018767	0.259675	0	0	0	0.000000e+00	591.076414
19	110.070842	2.828571	31.820562	0.261292	0	0	0	0.000000e+00	571.461376
20	113.308278	2.714286	31.584913	0.263242	0	0	0	0.000000e+00	548.602926
21	116.405599	2.600000	31.337565	0.265320	0	0	0	0.000000e+00	524.870315
22	119.357629	2.485714	31.081134	0.267509	0	0	0	0.000000e+00	500.252156
23	122.159464	2.371429	30.819543	0.269779	0	0	0	0.000000e+00	474.801711
24	124.811573	2.257143	30.565753	0.272019	0	0	0	0.000000e+00	449.429444
25	127.348900	2.142857	20.786153	0.400001	0	0	0	0.000000e+00	425.996685
26	129.778919	2.028571	20.786066	0.400002	0	0	0	0.000000e+00	407.868212
27	132.150303	1.914286	20.786039	0.400003	0	0	0	0.000000e+00	398.922717
28	134.486346	1.800000	20.786032	0.400003	0	0	0	0.000000e+00	394.413147
29	136.782006	1.685714	30.009797	0.277059	0	0	0	0.000000e+00	389.025361
30	139.047007	1.571429	29.966217	0.277462	0	0	0	0.000000e+00	383.830038
31	141.283095	1.457143	29.925847	0.277836	0	0	0	0.000000e+00	378.930153
32	143.503393	1.342857	20.786046	0.400003	0	0	0	0.000000e+00	374.664219
33	145.707039	1.228571	20.786345	0.399997	0	0	0	0.000000e+00	371.830159
34	147.907488	1.114286	20.789861	0.399929	0	0	0	0.000000e+00	371.714388
